"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer",4.48,1.22,5.71,2729012
"decls-fewer",1.08,0.38,1.48,697472
"decls-more2",1.54,0.36,1.90,818060
"decls-more",1.03,0.26,1.30,582156
"default2",1.00,0.24,1.25,545216
"default",0.87,0.21,1.09,487576
"nesting-less",1.04,0.21,1.26,549420
"nesting-more",1.96,0.50,2.47,1093652
"overloads-fewer2",0.18,0.06,0.25,117144
"overloads-fewer",0.22,0.07,0.29,129644
"overloads-more",8.57,1.63,10.23,3526028
"overloads-most",1.46,0.45,1.92,942424
"overloads-xtra",2.17,0.46,2.64,1157788
"parms-fewer",0.86,0.29,1.15,532624
"parms-more",2.70,0.58,3.29,1386992
"poly-less2",0.76,0.24,1.01,461768
"poly-less",0.79,0.22,1.01,482280
"poly-more",0.78,0.16,0.94,425640
"tuple-return-easy",4.74,1.26,6.01,2831572
