"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer",10.05,2.02,12.10,4815564
"decls-fewer",3.52,0.74,4.28,1867532
"decls-more2",3.39,0.64,4.04,1605624
"decls-more",2.23,0.52,2.76,1112204
"default2",2.93,0.65,3.60,1427468
"default",3.70,0.70,4.41,1653588
"nesting-less",3.11,0.63,3.75,1534208
"nesting-more",4.23,0.97,5.22,2168600
"overloads-fewer2",0.34,0.08,0.42,159752
"overloads-fewer",0.38,0.09,0.47,192432
"overloads-more",4.51,0.86,5.38,2054792
"overloads-most",6.28,1.40,7.69,3059244
"overloads-xtra",6.74,1.44,8.21,3274784
"parms-fewer",2.16,0.49,2.68,1130452
"parms-more",8.09,1.48,9.58,3326208
"poly-less2",1.62,0.37,2.01,829444
"poly-less",2.07,0.50,2.58,1085420
"poly-more",2.16,0.44,2.63,1068760
"tuple-return-easy",12.10,2.73,14.92,6324672
