"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer",10.15,2.12,12.32,5060752
"decls-fewer",3.62,0.84,4.48,1842884
"decls-more2",4.69,0.94,5.64,2153496
"decls-more",3.35,0.78,4.15,1705316
"default2",2.93,0.64,3.60,1411280
"default",3.43,0.72,4.16,1578048
"nesting-less",3.46,0.77,4.24,1683080
"nesting-more",4.34,0.97,5.34,2236988
"overloads-fewer2",0.34,0.09,0.44,177848
"overloads-fewer",0.41,0.09,0.51,212452
"overloads-more",12.60,2.38,15.00,5355264
"overloads-most",5.33,1.17,6.51,2593500
"overloads-xtra",6.53,1.31,7.85,3172412
"parms-fewer",2.38,0.49,2.88,1201260
"parms-more",8.01,1.38,9.41,3279284
"poly-less2",2.20,0.42,2.66,1074732
"poly-less",2.44,0.50,2.94,1216540
"poly-more",2.47,0.47,2.96,1150516
"tuple-return-easy",10.39,2.22,12.64,5521488
