"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",2.14,0.56,2.71,1192828
"decls-fewer-easy",1.11,0.23,1.35,611408
"decls-more2-easy",0.72,0.16,0.89,436576
"decls-more-easy",0.66,0.19,0.86,405528
"default2-easy",0.75,0.20,0.95,440380
"default-easy",0.76,0.14,0.91,407940
"nesting-less-easy",0.81,0.23,1.05,472344
"nesting-more-easy",1.15,0.29,1.45,667876
"overloads-fewer2",0.18,0.06,0.25,116620
"overloads-fewer-easy",0.21,0.06,0.27,127452
"overloads-more2-easy",0.68,0.18,0.86,399876
"overloads-more-easy",0.70,0.22,0.92,418620
"overloads-most-easy",0.81,0.20,1.02,459192
"overloads-xtra-easy",0.82,0.27,1.10,535556
"parms-fewer-easy",0.61,0.16,0.78,380292
"parms-more-easy",1.00,0.24,1.24,559116
"poly-less2-easy",0.57,0.18,0.75,372144
"poly-less-easy",0.59,0.15,0.75,354572
"poly-more-easy",0.60,0.18,0.79,374784
"tuple-return-easy",1.26,0.32,1.59,688916
