"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",4.12,0.77,4.91,1904424
"decls-fewer-easy",3.20,0.67,3.88,1584012
"decls-more2-easy",2.04,0.47,2.52,1030992
"decls-more-easy",1.91,0.39,2.31,914200
"default2-easy",2.53,0.59,3.15,1274608
"default-easy",3.32,0.59,3.92,1464600
"nesting-less-easy",2.98,0.64,3.65,1472988
"nesting-more-easy",2.74,0.67,3.42,1475832
"overloads-fewer2",0.32,0.08,0.40,159096
"overloads-fewer-easy",0.39,0.07,0.47,188304
"overloads-more2-easy",2.32,0.43,2.76,1113320
"overloads-more-easy",2.84,0.54,3.40,1321956
"overloads-most-easy",3.02,0.62,3.65,1462192
"overloads-xtra-easy",2.74,0.57,3.33,1356804
"parms-fewer-easy",1.45,0.34,1.80,772524
"parms-more-easy",2.68,0.60,3.30,1291068
"poly-less2-easy",1.32,0.25,1.58,680352
"poly-less-easy",1.68,0.38,2.07,859392
"poly-more-easy",1.88,0.37,2.26,957548
"tuple-return-easy",3.86,0.74,4.61,1910140
