"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",5.44,1.04,6.49,2476436
"decls-fewer-easy",3.67,0.62,4.30,1714560
"decls-more2-easy",3.06,0.60,3.67,1426220
"decls-more-easy",2.50,0.58,3.09,1199648
"default2-easy",2.63,0.52,3.16,1293084
"default-easy",3.20,0.64,3.85,1444232
"nesting-less-easy",3.42,0.65,4.08,1599340
"nesting-more-easy",3.24,0.71,3.96,1652320
"overloads-fewer2",0.35,0.08,0.43,178112
"overloads-fewer-easy",0.41,0.10,0.52,208772
"overloads-more2-easy",3.23,0.60,3.86,1509008
"overloads-more-easy",3.83,0.73,4.56,1774012
"overloads-most-easy",3.84,0.67,4.53,1782960
"overloads-xtra-easy",3.20,0.67,3.88,1572012
"parms-fewer-easy",1.63,0.35,2.00,861924
"parms-more-easy",2.77,0.52,3.29,1259324
"poly-less2-easy",1.80,0.40,2.21,917064
"poly-less-easy",1.98,0.43,2.42,985472
"poly-more-easy",2.09,0.50,2.59,1121112
"tuple-return-easy",4.73,0.94,5.68,2275472
