"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",5.20,0.86,6.07,2077308
"decls-fewer-easy",9.95,1.02,10.98,2499260
"decls-more2-easy",3.76,0.55,4.32,1353348
"decls-more-easy",8.21,0.86,9.09,1981312
"default2-easy",13.38,1.03,14.42,2362424
"default-easy",3.38,0.61,4.00,1470256
"nesting-less-easy",2.63,0.48,3.12,1031108
"nesting-more-easy",9.85,1.71,11.57,4226244
"overloads-fewer2",5.48,1.07,6.56,2608028
"overloads-fewer-easy",0.96,0.17,1.14,381544
"overloads-more2-easy",2.80,0.52,3.35,1284876
"overloads-more-easy",6.57,1.16,7.74,3010504
"overloads-most-easy",6.31,0.67,7.06,1653896
"overloads-xtra-easy",12.04,1.83,13.98,4557172
"parms-fewer-easy",4.52,0.87,5.40,1999340
"parms-more-easy",8.97,1.38,10.36,3476124
"poly-less2-easy",3.02,0.58,3.61,1546360
"poly-less-easy",4.06,0.90,4.97,2333296
"poly-more-easy",17.58,2.62,20.22,6299488
"tuple-return-easy",4.16,0.75,4.92,1852856
