"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",25.47,2.68,28.17,6608032
"decls-fewer-easy",29.36,3.06,32.46,7201780
"decls-more2-easy",36.90,3.76,40.70,9182840
"decls-more-easy",65.13,3.00,68.17,7576212
"default2-easy",23.85,3.53,27.41,8374636
"default-easy",24.36,3.69,28.09,8825692
"nesting-less-easy",53.96,4.61,58.82,10901920
"nesting-more-easy",38.36,4.23,42.63,10537948
"overloads-fewer2",1.94,0.31,2.26,704616
"overloads-fewer-easy",12.60,2.46,15.08,5697712
"overloads-more2-easy",21.30,2.51,23.84,5788920
"overloads-more-easy",19.87,2.32,22.21,5500904
"overloads-most-easy",82.19,2.30,84.54,6191028
"overloads-xtra-easy",56.25,2.59,58.90,6705408
"parms-fewer-easy",34.88,3.08,38.02,8214492
"parms-more-easy",22.85,3.90,26.80,9391100
"poly-less2-easy",21.37,2.98,24.39,7125708
"poly-less-easy",23.38,3.22,26.66,7807572
"poly-more-easy",19.68,2.90,22.62,6965932
"tuple-return-easy",27.62,3.94,31.63,10204464
