"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",27.98,2.88,30.97,6916480
"decls-fewer-easy",19.78,2.50,22.31,5548720
"decls-more2-easy",35.59,3.34,38.97,8177100
"decls-more-easy",65.48,3.43,68.96,8105504
"default2-easy",22.42,3.53,26.06,8236232
"default-easy",24.66,3.67,28.36,8656908
"nesting-less-easy",50.49,4.70,55.24,10814200
"nesting-more-easy",36.77,4.40,41.21,10783596
"overloads-fewer2",3.71,0.53,4.25,1292624
"overloads-fewer-easy",11.84,2.40,14.25,5411040
"overloads-more2-easy",17.54,2.24,19.93,5300572
"overloads-more-easy",24.94,3.14,28.12,7684716
"overloads-most-easy",76.14,2.01,78.20,4806868
"overloads-xtra-easy",125.44,4.80,130.36,10394740
"parms-fewer-easy",36.14,3.11,39.28,8074480
"parms-more-easy",19.10,3.28,22.40,7496424
"poly-less2-easy",21.60,2.69,24.40,6422456
"poly-less-easy",17.85,2.65,20.53,6224420
"poly-more-easy",20.68,3.04,23.76,7148788
"tuple-return-easy",27.21,4.06,31.30,9655812
