"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",2.11,0.46,2.58,1037288
"decls-fewer-easy",1.12,0.24,1.36,519320
"decls-more2-easy",0.72,0.17,0.89,371204
"decls-more-easy",0.71,0.14,0.86,355684
"default2-easy",0.79,0.18,0.97,383900
"default-easy",0.70,0.22,0.93,354356
"nesting-less-easy",0.85,0.20,1.05,405924
"nesting-more-easy",1.18,0.27,1.45,585916
"overloads-fewer2",0.18,0.06,0.25,101564
"overloads-fewer-easy",0.24,0.06,0.30,115860
"overloads-more2-easy",0.73,0.14,0.88,346424
"overloads-more-easy",0.77,0.15,0.93,366336
"overloads-most-easy",0.86,0.18,1.05,398652
"overloads-xtra-easy",0.90,0.18,1.09,463572
"parms-fewer-easy",0.65,0.13,0.78,327720
"parms-more-easy",1.04,0.18,1.23,478860
"poly-less2-easy",0.61,0.15,0.76,317956
"poly-less-easy",0.61,0.14,0.75,311424
"poly-more-easy",0.60,0.16,0.77,319320
"tuple-return-easy",1.34,0.23,1.58,597640
