"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",4.12,0.98,5.15,1902576
"decls-fewer-easy",3.30,0.68,4.01,1582732
"decls-more2-easy",2.11,0.48,2.60,1029468
"decls-more-easy",2.03,0.36,2.39,913160
"default2-easy",2.56,0.62,3.20,1272764
"default-easy",3.30,0.68,4.00,1463864
"nesting-less-easy",2.93,0.73,3.68,1472148
"nesting-more-easy",2.88,0.66,3.54,1473756
"overloads-fewer2",0.36,0.06,0.42,158396
"overloads-fewer-easy",0.36,0.12,0.48,188100
"overloads-more2-easy",2.34,0.51,2.87,1109776
"overloads-more-easy",2.94,0.57,3.52,1319912
"overloads-most-easy",3.11,0.78,3.91,1460528
"overloads-xtra-easy",2.88,0.64,3.52,1353932
"parms-fewer-easy",1.54,0.37,1.92,772632
"parms-more-easy",2.94,0.60,3.59,1289908
"poly-less2-easy",1.37,0.36,1.74,679580
"poly-less-easy",1.86,0.36,2.23,858936
"poly-more-easy",1.97,0.44,2.42,957188
"tuple-return-easy",4.05,0.87,4.93,1907752
