"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",5.62,1.18,6.82,2473108
"decls-fewer-easy",3.78,0.78,4.61,1712168
"decls-more2-easy",3.36,0.63,4.01,1424840
"decls-more-easy",2.54,0.62,3.22,1198280
"default2-easy",2.70,0.60,3.31,1292776
"default-easy",3.29,0.66,3.95,1442152
"nesting-less-easy",3.48,0.74,4.23,1597852
"nesting-more-easy",3.28,0.84,4.14,1649404
"overloads-fewer2",0.34,0.10,0.45,177404
"overloads-fewer-easy",0.42,0.12,0.54,208156
"overloads-more2-easy",3.27,0.75,4.03,1507164
"overloads-more-easy",3.85,0.82,4.68,1770340
"overloads-most-easy",3.95,0.78,4.75,1780244
"overloads-xtra-easy",3.26,0.72,4.03,1570816
"parms-fewer-easy",1.62,0.47,2.10,860684
"parms-more-easy",2.74,0.61,3.38,1257940
"poly-less2-easy",1.87,0.40,2.28,914828
"poly-less-easy",2.08,0.42,2.51,983612
"poly-more-easy",2.14,0.57,2.72,1118312
"tuple-return-easy",4.77,1.05,5.83,2271784
