"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"basic-fewer-easy",2.61,0.09,2.70,249728
"decls-fewer-easy",1.29,0.04,1.34,56092
"decls-more2-easy",0.78,0.00,0.79,14384
"decls-more-easy",0.94,0.02,0.97,60932
"default2-easy",0.96,0.01,0.98,31188
"default-easy",0.80,0.00,0.80,13520
"nesting-less-easy",0.92,0.02,0.94,25140
"nesting-more-easy",1.60,0.02,1.63,46232
"overloads-fewer2",0.24,0.00,0.24,10020
"overloads-fewer-easy",0.25,0.00,0.26,13240
"overloads-more2-easy",0.79,0.00,0.80,21100
"overloads-more-easy",0.86,0.00,0.88,16612
"overloads-most-easy",0.98,0.02,1.01,44956
"overloads-xtra-easy",1.04,0.01,1.05,43248
"parms-fewer-easy",0.63,0.01,0.65,16320
"parms-more-easy",1.26,0.04,1.31,65420
"poly-less2-easy",0.66,0.01,0.67,30384
"poly-less-easy",0.69,0.00,0.69,30412
"poly-more-easy",0.75,0.00,0.76,19596
"tuple-return-easy",1.95,0.06,2.02,101452
