"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"default-easy",39.54,3.32,42.92,9565364
"default2-easy",14.31,1.76,16.09,4993716
"tuple-return",12.59,2.30,14.91,5395140
"less-poly-easy",53.16,3.66,56.87,5660176
"less-poly2-easy",10.80,1.26,12.13,3182768
"more-poly-easy",6.68,0.69,7.39,1862052
"fewer-basic-easy",7.95,0.62,8.63,1126364
"fewer-overloads-easy",82.02,6.90,88.99,10312892
"fewer-overloads2",82.18,5.82,88.27,10912168
"more-overloads-easy",35.46,2.89,38.37,5757292
"most-overloads-easy",26.08,2.57,28.75,6435296
"long-tail-overloads-easy",6.44,0.59,7.06,1158908
"fewer-parms",1.16,0.06,1.23,162296
"more-parms-easier",430.69,13.79,444.95,7592844
"shallower-nesting",8.31,1.33,9.65,2935432
"deeper-nesting-easy",54.13,2.94,57.11,5481788
"fewer-decls",18.31,2.21,20.54,5288416
"more-decls-easy",29.45,3.54,33.21,9613956
"more-decls2-easy",40.01,2.34,42.38,5018856
