"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"default-easy",39.99,2.94,42.99,9561628
"default2-easy",14.93,1.81,16.85,4992800
"tuple-return",12.49,2.25,14.76,5394396
"less-poly-easy",53.06,3.84,56.95,5661660
"less-poly2-easy",10.80,1.25,12.07,3182776
"more-poly-easy",6.55,0.76,7.32,1861144
"fewer-basic-easier",6.95,0.39,7.37,1067016
"fewer-overloads-easy",81.28,6.82,88.36,10314564
"fewer-overloads2",80.36,5.69,86.31,10911668
"more-overloads-easy",34.36,2.95,37.55,5756660
"most-overloads-easy",26.30,2.71,29.04,6437088
"long-tail-overloads-easy",6.40,0.50,6.91,1158944
"fewer-parms",1.11,0.06,1.19,160736
"more-parms-easier",426.22,14.27,440.73,7592304
"shallower-nesting",8.82,1.25,10.09,2937324
"deeper-nesting-easier",54.92,2.89,57.85,5481272
"fewer-decls",18.43,2.08,20.53,5290228
"more-decls-easy",29.08,3.26,32.37,9614320
"more-decls2-easy",39.46,2.21,41.69,5018048
