"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"default-easy",0.17,0.05,0.22,91720
"default2-easy",0.20,0.06,0.26,116316
"tuple-return",0.83,0.16,0.99,487336
"less-poly-easy",0.12,0.00,0.13,45276
"less-poly2-easy",0.10,0.01,0.12,42204
"more-poly-easy",0.71,0.16,0.88,439632
"fewer-basic-easier",0.36,0.06,0.42,190452
"fewer-overloads-easy",0.06,0.00,0.07,22628
"fewer-overloads2",0.05,0.00,0.05,21420
"more-overloads-easy",0.22,0.03,0.26,117568
"most-overloads-easy",0.24,0.05,0.30,128064
"long-tail-overloads-easy",0.33,0.08,0.42,193424
"fewer-parms",0.13,0.04,0.17,72436
"more-parms-easier",0.18,0.05,0.23,100460
"shallower-nesting",0.21,0.05,0.27,113368
"deeper-nesting-easier",0.26,0.06,0.33,143956
"fewer-decls",0.21,0.05,0.27,123184
"more-decls-easy",0.20,0.06,0.26,113184
"more-decls2-easy",0.21,0.06,0.27,114568
