"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"default-easy",1.15,0.18,1.35,432792
"default2-easy",27.64,3.02,30.71,7873204
"tuple-return",24.31,2.66,27.01,7010476
"less-poly-easy",0.37,0.05,0.46,116420
"less-poly2-easy",0.93,0.13,1.07,257176
"more-poly-easy",27.53,1.79,29.46,4310084
"fewer-basic-easy",37.74,3.51,41.30,8659968
"fewer-overloads-easy",0.07,0.00,0.08,21532
"fewer-overloads2",0.08,0.00,0.10,27204
"more-overloads-easy",7.67,0.92,8.61,2340540
"most-overloads-easy",10.12,1.06,11.19,2657568
"long-tail-overloads-easy",28.55,4.59,33.19,11564912
"fewer-parms",20.02,4.43,24.48,12342788
"more-parms-easier",0.97,0.08,1.07,237160
"shallower-nesting",1.62,0.20,1.83,507056
"deeper-nesting-easy",33.28,3.97,37.29,9973464
"fewer-decls",23.25,2.75,26.04,6832272
"more-decls-easy",1.71,0.29,2.02,638972
"more-decls2-easy",1.81,0.25,2.07,672748
