"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"default-easy",0.89,0.14,1.03,428964
"default2-easy",9.19,1.43,10.64,3657216
"tuple-return",15.85,2.47,18.34,7315304
"less-poly-easy",0.23,0.02,0.26,90216
"less-poly2-easy",0.40,0.07,0.48,180260
"more-poly-easy",5.20,0.73,5.94,1917788
"fewer-basic-easier",4.04,0.55,4.60,1655036
"fewer-overloads-easy",0.05,0.00,0.05,21012
"fewer-overloads2",0.08,0.00,0.09,32196
"more-overloads-easy",4.01,0.53,4.56,1469740
"most-overloads-easy",7.10,0.95,8.06,2693684
"long-tail-overloads-easy",12.94,2.35,15.33,6001736
"fewer-parms",14.31,2.80,17.14,7860372
"more-parms-easier",0.52,0.07,0.60,238160
"shallower-nesting",1.52,0.28,1.81,764416
"deeper-nesting-easier",17.34,2.24,19.61,6375908
"fewer-decls",11.32,2.18,13.52,5652212
"more-decls-easy",2.74,0.43,3.18,1193956
"more-decls2-easy",1.16,0.20,1.37,544580
