"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"default-easy",0.88,0.17,1.10,428980
"default2-easy",9.18,1.46,10.67,3656428
"tuple-return",15.60,2.55,18.18,7315224
"less-poly-easy",0.20,0.04,0.25,90076
"less-poly2-easy",0.37,0.08,0.46,180960
"more-poly-easy",5.15,0.77,5.94,1918132
"fewer-basic-easier",3.98,0.60,4.59,1656528
"fewer-overloads-easy",0.05,0.00,0.06,21052
"fewer-overloads2",0.06,0.02,0.10,32168
"more-overloads-easy",4.00,0.58,4.59,1471672
"most-overloads-easy",7.21,0.96,8.20,2693324
"long-tail-overloads-easy",12.89,2.27,15.19,6003164
"fewer-parms",14.29,2.91,17.23,7859936
"more-parms-easier",0.50,0.11,0.62,239148
"shallower-nesting",1.50,0.31,1.82,763836
"deeper-nesting-easier",17.12,2.49,19.64,6377204
"fewer-decls",11.24,2.36,13.63,5649408
"more-decls-easy",2.76,0.44,3.21,1196020
"more-decls2-easy",1.18,0.20,1.43,543784
