"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",0.44,0.00,0.45,10468
"alloc",0.17,0.00,0.17,5960
"array",0.01,0.00,0.01,4516
"ato",0.28,0.00,0.29,7784
"attributes",0.02,0.00,0.02,4544
"avl_test",0.10,0.00,0.10,5624
"barge",0.46,0.00,0.46,8320
"block",0.60,0.00,0.60,8692
"boundedBufferEXT",0.49,0.00,0.49,9120
"boundedBufferINT",0.52,0.00,0.53,9092
"castError",0.01,0.00,0.01,4512
"cast",0.01,0.00,0.02,4556
"completeTypeError",0.01,0.00,0.01,4516
"complex",0.11,0.00,0.12,10584
"coroutineYield",0.53,0.00,0.54,7748
"counter",0.01,0.00,0.02,4516
"ctor-autogen",0.02,0.00,0.02,4688
"datingService",0.46,0.00,0.46,7140
"declarationSpecifier",0.02,0.00,0.02,4624
"designations",0.02,0.00,0.02,4648
"disjoint",0.58,0.02,0.60,9424
"div",0.12,0.00,0.12,7192
"dtor-early-exit",0.22,0.00,0.22,7736
"dtor",0.43,0.00,0.43,7328
"else",0.42,0.01,0.43,9552
"enum",0.01,0.00,0.01,4560
"expression",0.01,0.00,0.02,4516
"extension",0.02,0.00,0.02,4844
"fallthrough",0.01,0.00,0.01,4556
"fibonacci",0.22,0.00,0.23,10536
"fmtLines",0.20,0.00,0.21,6276
"forall",0.16,0.01,0.17,15200
"forctrl",0.12,0.00,0.12,14480
"fstream_test",0.12,0.00,0.13,11380
"function-operator",0.22,0.00,0.23,9104
"functions",0.01,0.00,0.01,4584
"gccExtensions",0.01,0.00,0.01,4784
"genericUnion",0.01,0.00,0.01,4592
"globals",0.10,0.00,0.11,6936
"gmp",0.31,0.00,0.31,10540
"heap",0.43,0.00,0.44,6700
"hello",0.04,0.00,0.04,5468
"identFuncDeclarator",0.01,0.00,0.01,4556
"identity",0.28,0.00,0.29,7808
"identParamDeclarator",0.01,0.00,0.01,4536
"ifwhileCtl",0.04,0.00,0.05,5464
"init_once",0.02,0.00,0.02,4660
"io1",1.23,0.02,1.25,43952
"io2",2.01,0.04,2.06,78424
"KRfunctions",0.01,0.00,0.01,4524
"labelledExit",0.01,0.00,0.02,4556
"limits",0.04,0.00,0.05,4756
"literals",0.10,0.00,0.10,6804
"math1",1.03,0.00,1.04,34588
"math2",1.35,0.00,1.35,24396
"math3",0.97,0.00,0.98,23916
"math4",1.07,0.00,1.08,15024
"matrixSum",0.43,0.00,0.44,8148
"maybe",0.02,0.00,0.02,4548
"memberCtors",0.00,0.00,0.01,4520
"minmax",0.72,0.00,0.73,14584
"monitor",0.43,0.00,0.43,8096
"multi-monitor",0.44,0.01,0.46,15036
"nested-types",0.01,0.00,0.01,4572
"numericConstants",0.01,0.00,0.02,4512
"operators",0.01,0.00,0.01,4560
"pingpong",0.22,0.00,0.22,6340
"polymorphism",0.02,0.00,0.03,6496
"preempt",0.50,0.00,0.51,6864
"prodcons",0.39,0.00,0.40,9744
"quickSort",0.45,0.00,0.46,7788
"quoted_keyword",0.02,0.00,0.02,6464
"random",0.23,0.00,0.23,7388
"rational",3.63,0.00,3.64,13276
"recurse",0.46,0.00,0.46,8120
"references",0.03,0.00,0.03,4824
"result",0.02,0.00,0.02,4776
"runningTotal",0.22,0.00,0.22,10492
"searchsort",0.80,0.00,0.81,18440
"self-assignment",0.01,0.00,0.01,4556
"shortCircuit",0.03,0.00,0.03,6100
"simpleGenericTriple",0.01,0.00,0.02,4568
"statement",0.64,0.00,0.65,10980
"stdincludes",0.52,0.00,0.52,6912
"sum",0.42,0.00,0.43,12160
"swap",1.00,0.00,1.01,16400
"switch",0.01,0.00,0.01,4556
"sync",0.06,0.00,0.06,4920
"thread",0.44,0.00,0.44,8748
"time",0.26,0.00,0.27,13640
"tupleAssign",0.29,0.00,0.29,14388
"tupleCast",0.01,0.00,0.01,4544
"tupleFunction",0.01,0.00,0.01,4592
"tupleMember",0.01,0.00,0.01,4568
"tuplePolymorphism",0.01,0.00,0.01,4688
"tupleVariadic",0.08,0.00,0.08,5312
"typedefRedef",0.01,0.00,0.02,4516
"typeof",0.01,0.00,0.01,4512
"user_literals",0.10,0.00,0.11,6860
"variableDeclarator",0.01,0.00,0.01,4648
"vector",0.37,0.00,0.37,8820
"voidPtr",0.02,0.00,0.02,4516
"wait",0.57,0.00,0.57,7704
"when",0.52,0.00,0.52,8836
"with-statement",0.01,0.00,0.01,4532
