"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",0.46,0.00,0.46,10892
"alloc",0.18,0.00,0.18,6040
"array",0.01,0.00,0.01,4492
"ato",0.30,0.00,0.31,8052
"attributes",0.01,0.00,0.01,4628
"avl_test",0.10,0.00,0.10,5676
"barge",0.44,0.00,0.44,8400
"block",0.59,0.00,0.59,8992
"boundedBufferEXT",0.49,0.00,0.50,8992
"boundedBufferINT",0.50,0.00,0.50,9008
"castError",0.01,0.00,0.01,4596
"cast",0.01,0.00,0.02,4488
"completeTypeError",0.01,0.00,0.01,4600
"complex",0.11,0.00,0.12,11044
"coroutineYield",0.53,0.00,0.54,7728
"counter",0.01,0.00,0.01,4604
"ctor-autogen",0.02,0.00,0.02,4772
"datingService",0.46,0.00,0.46,7184
"declarationSpecifier",0.02,0.00,0.02,4664
"designations",0.02,0.00,0.02,4580
"disjoint",0.59,0.00,0.59,9300
"div",0.11,0.00,0.12,7352
"dtor-early-exit",0.24,0.00,0.24,7772
"dtor",0.44,0.00,0.44,7092
"else",0.44,0.00,0.44,9572
"enum",0.01,0.00,0.01,4596
"expression",0.01,0.00,0.01,4496
"extension",0.01,0.00,0.01,4784
"fallthrough",0.01,0.00,0.01,4592
"fibonacci",0.22,0.00,0.23,10728
"fmtLines",0.21,0.00,0.21,6356
"forall",0.18,0.00,0.19,15216
"forctrl",0.11,0.00,0.11,14460
"fstream_test",0.16,0.00,0.17,13208
"function-operator",0.22,0.00,0.23,8980
"functions",0.01,0.00,0.01,4624
"gccExtensions",0.01,0.00,0.01,4768
"genericUnion",0.01,0.00,0.01,4628
"globals",0.10,0.00,0.11,7016
"gmp",0.35,0.00,0.35,11108
"heap",0.43,0.00,0.44,6644
"hello",0.04,0.00,0.04,5500
"identFuncDeclarator",0.01,0.00,0.01,4596
"identity",0.30,0.00,0.30,7936
"identParamDeclarator",0.01,0.00,0.01,4516
"ifwhileCtl",0.04,0.00,0.04,5660
"init_once",0.02,0.00,0.02,4592
"io1",905.16,6.64,912.28,12120808
"io2",2.29,0.03,2.33,78464
"KRfunctions",0.01,0.00,0.01,4504
"labelledExit",0.02,0.00,0.02,4596
"limits",0.05,0.00,0.05,4792
"literals",0.10,0.00,0.11,6992
"math1",1.08,0.01,1.09,35808
"math2",1.41,0.00,1.42,25376
"math3",1.02,0.01,1.04,24684
"math4",1.18,0.00,1.19,15432
"matrixSum",0.44,0.00,0.45,8168
"maybe",0.02,0.00,0.02,4632
"memberCtors",0.01,0.00,0.01,4500
"minmax",0.81,0.00,0.82,15360
"monitor",0.42,0.00,0.43,8076
"multi-monitor",0.46,0.00,0.46,14908
"nested-types",0.02,0.00,0.02,4508
"numericConstants",0.01,0.00,0.01,4596
"operators",0.02,0.00,0.02,4596
"pingpong",0.21,0.00,0.21,6476
"polymorphism",0.03,0.00,0.03,6476
"preempt",0.50,0.00,0.50,6872
"prodcons",0.40,0.00,0.40,9884
"quickSort",0.46,0.00,0.46,7988
"quoted_keyword",0.02,0.00,0.03,6404
"random",0.23,0.00,0.24,7524
"recurse",0.46,0.00,0.47,8264
"references",0.02,0.00,0.03,4760
"result",0.02,0.00,0.03,4708
"runningTotal",0.23,0.00,0.24,10720
"searchsort",0.82,0.00,0.83,18696
"self-assignment",0.01,0.00,0.02,4596
"shortCircuit",0.03,0.00,0.04,6148
"simpleGenericTriple",0.02,0.00,0.02,4548
"statement",0.65,0.00,0.67,11232
"stdincludes",0.51,0.00,0.52,6948
"sum",2.68,0.00,2.69,28504
"swap",1.06,0.00,1.07,16692
"switch",0.02,0.00,0.02,4596
"sync",0.06,0.00,0.08,4960
"thread",0.45,0.00,0.46,8880
"time",0.28,0.00,0.29,13660
"tupleAssign",0.41,0.00,0.43,15668
"tupleCast",0.01,0.00,0.02,4624
"tupleFunction",0.02,0.00,0.05,4632
"tupleMember",0.02,0.00,0.02,4544
"tuplePolymorphism",0.02,0.00,0.02,4728
"tupleVariadic",0.08,0.00,0.08,5348
"typedefRedef",0.01,0.00,0.02,4492
"typeof",0.01,0.00,0.01,4492
"user_literals",0.10,0.00,0.11,7104
"variableDeclarator",0.01,0.00,0.01,4584
"vector",0.44,0.00,0.44,9648
"voidPtr",0.01,0.00,0.01,4496
"wait",0.57,0.00,0.58,7880
"when",0.51,0.00,0.53,8976
"with-statement",0.01,0.00,0.01,4508
