"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",0.44,0.00,0.46,10448
"alloc",0.17,0.00,0.18,6044
"array",0.01,0.00,0.02,4604
"ato",0.29,0.00,0.30,7828
"attributes",0.01,0.00,0.02,4632
"avl_test",0.10,0.00,0.10,5560
"barge",0.46,0.00,0.47,8256
"block",0.58,0.00,0.61,8628
"boundedBufferEXT",0.49,0.00,0.51,9164
"boundedBufferINT",0.51,0.00,0.52,9176
"castError",0.01,0.00,0.03,4596
"cast",0.01,0.00,0.02,4492
"completeTypeError",0.01,0.00,0.02,4496
"complex",0.12,0.00,0.13,10624
"coroutineYield",0.55,0.00,0.55,7684
"counter",0.02,0.00,0.03,4600
"ctor-autogen",0.02,0.00,0.03,4724
"datingService",0.47,0.00,0.47,7080
"declarationSpecifier",0.02,0.00,0.02,4664
"designations",0.01,0.00,0.03,4688
"disjoint",0.60,0.00,0.61,9460
"div",0.12,0.00,0.12,7276
"dtor-early-exit",0.22,0.00,0.22,7716
"dtor",0.43,0.00,0.44,7204
"else",0.43,0.00,0.43,9632
"enum",0.02,0.00,0.02,4600
"expression",0.01,0.00,0.01,4600
"extension",0.02,0.00,0.03,4780
"fallthrough",0.01,0.00,0.01,4600
"fibonacci",0.23,0.00,0.24,10576
"fmtLines",0.22,0.00,0.22,6356
"forall",0.17,0.01,0.19,15176
"forctrl",0.12,0.00,0.12,14456
"fstream_test",0.12,0.00,0.12,11316
"function-operator",0.22,0.00,0.23,9148
"functions",0.01,0.00,0.02,4624
"gccExtensions",0.02,0.00,0.03,4764
"genericUnion",0.02,0.00,0.03,4528
"globals",0.11,0.00,0.11,6980
"gmp",0.31,0.01,0.33,10624
"heap",0.44,0.00,0.45,6736
"hello",0.04,0.00,0.04,5504
"identFuncDeclarator",0.01,0.00,0.01,4596
"identity",0.28,0.00,0.29,7884
"identParamDeclarator",0.01,0.00,0.01,4512
"ifwhileCtl",0.04,0.00,0.04,5444
"init_once",0.02,0.00,0.03,4592
"io1",1.20,0.01,1.22,43992
"io2",2.06,0.01,2.09,78500
"KRfunctions",0.01,0.00,0.05,4608
"labelledExit",0.01,0.00,0.01,4596
"limits",0.04,0.00,0.05,4796
"literals",0.10,0.00,0.11,6740
"math1",1.02,0.01,1.05,34524
"math2",1.34,0.00,1.36,24480
"math3",0.96,0.01,0.97,23952
"math4",1.06,0.01,1.08,15068
"matrixSum",0.44,0.00,0.45,8232
"maybe",0.02,0.00,0.03,4632
"memberCtors",0.02,0.00,0.03,4500
"minmax",0.73,0.00,0.74,14628
"monitor",0.42,0.00,0.43,8076
"multi-monitor",0.46,0.00,0.47,14972
"nested-types",0.01,0.00,0.01,4612
"numericConstants",0.02,0.00,0.02,4596
"operators",0.02,0.00,0.02,4496
"pingpong",0.21,0.00,0.21,6272
"polymorphism",0.03,0.00,0.04,6436
"preempt",0.49,0.00,0.49,6936
"prodcons",0.39,0.00,0.40,9680
"quickSort",0.46,0.00,0.46,7828
"quoted_keyword",0.03,0.00,0.04,6448
"random",0.23,0.00,0.24,7428
"rational",3.62,0.00,3.63,13316
"recurse",0.46,0.00,0.48,8060
"references",0.02,0.00,0.04,4760
"result",0.02,0.00,0.03,4816
"runningTotal",0.21,0.00,0.22,10580
"searchsort",0.81,0.00,0.82,18480
"self-assignment",0.01,0.00,0.01,4492
"shortCircuit",0.03,0.00,0.04,6188
"simpleGenericTriple",0.01,0.00,0.01,4544
"statement",0.63,0.00,0.65,11016
"stdincludes",0.52,0.00,0.53,6844
"sum",0.42,0.01,0.44,12196
"swap",1.01,0.00,1.03,16380
"switch",0.01,0.00,0.02,4596
"sync",0.07,0.00,0.07,4856
"thread",0.45,0.00,0.46,8680
"time",0.26,0.00,0.27,13680
"tupleAssign",0.29,0.00,0.30,14364
"tupleCast",0.01,0.00,0.01,4520
"tupleFunction",0.01,0.00,0.03,4528
"tupleMember",0.01,0.00,0.03,4652
"tuplePolymorphism",0.02,0.00,0.02,4732
"tupleVariadic",0.07,0.00,0.08,5248
"typedefRedef",0.01,0.00,0.02,4492
"typeof",0.01,0.00,0.01,4500
"user_literals",0.10,0.00,0.10,6844
"variableDeclarator",0.01,0.00,0.01,4688
"vector",0.38,0.00,0.38,8900
"voidPtr",0.01,0.00,0.01,4492
"wait",0.58,0.00,0.59,7784
"when",0.50,0.00,0.52,8880
"with-statement",0.02,0.00,0.02,4620
