"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",2.53,0.02,2.57,37304
"alloc",0.20,0.00,0.21,5956
"array",0.02,0.00,0.02,4868
"ato",1.39,0.01,1.41,14360
"attributes",0.03,0.00,0.03,4892
"avl_test",0.50,0.01,0.52,39472
"barge",0.56,0.00,0.57,14232
"block",0.70,0.00,0.70,9500
"boundedBufferEXT",0.65,0.00,0.65,19440
"boundedBufferINT",0.64,0.00,0.65,19452
"castError",0.02,0.00,0.02,4864
"cast",0.02,0.00,0.02,4760
"completeTypeError",0.02,0.00,0.02,4764
"complex",0.56,0.01,0.57,42092
"coroutineYield",0.63,0.00,0.63,7920
"counter",0.03,0.00,0.03,4756
"ctor-autogen",0.04,0.00,0.05,5224
"datingService",0.53,0.00,0.54,7212
"declarationSpecifier",0.04,0.00,0.04,4824
"designations",0.03,0.00,0.03,4784
"disjoint",0.79,0.00,0.79,19636
"div",0.16,0.00,0.16,7648
"dtor-early-exit",0.86,0.00,0.87,18256
"dtor",0.51,0.00,0.52,7720
"else",0.95,0.01,0.97,26124
"enum",0.02,0.00,0.02,4760
"expression",0.03,0.00,0.03,4760
"extension",0.02,0.00,0.02,4820
"fallthrough",0.02,0.00,0.02,4756
"fibonacci",0.80,0.06,0.86,102224
"fmtLines",0.26,0.00,0.27,8316
"forall",20.56,1.58,22.18,3257076
"forctrl",1.93,0.14,2.07,273924
"fstream_test",2.10,0.08,2.18,193352
"function-operator",0.34,0.00,0.35,17708
"functions",0.02,0.00,0.02,4884
"gccExtensions",0.02,0.00,0.02,4912
"genericUnion",0.03,0.00,0.03,4940
"globals",0.66,0.00,0.66,17404
"gmp",1.15,0.00,1.16,32480
"heap",0.50,0.00,0.51,7120
"hello",0.07,0.00,0.07,5676
"identFuncDeclarator",0.02,0.00,0.02,4760
"identity",1.33,0.01,1.34,19300
"identParamDeclarator",0.02,0.00,0.02,4880
"ifwhileCtl",0.08,0.00,0.08,5688
"init_once",0.04,0.00,0.04,4876
"KRfunctions",0.02,0.00,0.02,4872
"labelledExit",0.02,0.00,0.02,4864
"limits",0.05,0.00,0.06,5068
"literals",0.51,0.01,0.52,17300
"math1",24.24,0.32,24.67,690240
"math2",36.45,0.33,36.80,465352
"math3",26.72,0.29,27.05,464932
"math4",29.14,0.11,29.27,197208
"matrixSum",0.54,0.00,0.55,14040
"maybe",0.04,0.00,0.04,5268
"memberCtors",0.02,0.00,0.02,4768
"minmax",15.24,0.11,15.37,198324
"monitor",0.56,0.00,0.56,14064
"multi-monitor",1.68,0.09,1.78,191900
"nested-types",0.02,0.00,0.03,5028
"numericConstants",0.02,0.00,0.02,4860
"operators",0.02,0.00,0.02,4864
"pingpong",0.26,0.00,0.27,6664
"polymorphism",0.32,0.00,0.32,11464
"preempt",0.58,0.00,0.59,7200
"prodcons",0.79,0.00,0.79,26056
"quickSort",0.62,0.00,0.62,9296
"quoted_keyword",0.08,0.00,0.08,12252
"random",1.04,0.00,1.04,13208
"recurse",0.61,0.00,0.61,13996
"references",0.04,0.00,0.04,4884
"result",0.04,0.00,0.05,5712
"runningTotal",0.87,0.06,0.93,102224
"searchsort",17.60,0.22,17.83,361404
"self-assignment",0.02,0.00,0.02,4860
"shortCircuit",0.08,0.00,0.09,11856
"simpleGenericTriple",0.02,0.00,0.03,5028
"statement",1.80,0.00,1.81,31984
"stdincludes",0.58,0.00,0.59,6936
"sum",2.71,0.02,2.74,97300
"swap",27.88,0.14,28.10,280320
"switch",0.02,0.00,0.02,4756
"sync",0.08,0.00,0.08,4988
"thread",0.76,0.00,0.76,19208
"time",2.30,0.13,2.43,190572
"tupleAssign",3.40,0.06,3.48,135828
"tupleCast",0.02,0.00,0.03,4760
"tupleFunction",0.02,0.00,0.02,4764
"tupleMember",0.02,0.00,0.02,4768
"tuplePolymorphism",0.02,0.00,0.02,4776
"tupleVariadic",0.11,0.00,0.12,5952
"typedefRedef",0.02,0.00,0.02,4756
"typeof",0.02,0.00,0.02,4756
"user_literals",0.50,0.01,0.51,17412
"variableDeclarator",0.02,0.00,0.02,4956
"vector",1.97,0.01,1.99,20692
"voidPtr",0.02,0.00,0.02,4756
"wait",0.68,0.00,0.68,8108
"when",1.04,0.00,1.05,19428
"with-statement",0.03,0.00,0.03,5028
