"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",19.00,0.26,19.28,180632,19.00,0.28,19.29,180632,19.08,0.24,19.33,180632
"alloc",0.58,0.00,0.58,5812,0.55,0.00,0.56,5812,0.58,0.00,0.59,5812
"array",0.06,0.00,0.06,4980,0.06,0.00,0.06,4980,0.06,0.00,0.06,4980
"ato",5.78,0.02,5.81,28772,5.74,0.02,5.77,28772,5.80,0.02,5.83,28772
"attributes",0.08,0.00,0.08,5008,0.08,0.00,0.08,5008,0.08,0.00,0.08,5008
"avl_test",2.48,0.03,2.51,45224,2.56,0.04,2.61,45224,2.50,0.02,2.52,45224
"barge",1.57,0.01,1.58,25696,1.54,0.01,1.56,25696,1.56,0.00,1.57,25696
"block",1.81,0.00,1.81,13348,1.79,0.00,1.79,13348,1.79,0.00,1.79,13348
"boundedBufferEXT",1.90,0.03,1.93,52672,1.85,0.03,1.88,52672,1.84,0.02,1.87,52672
"boundedBufferINT",1.85,0.04,1.89,52672,1.97,0.01,1.99,52672,1.86,0.02,1.89,52672
"castError",0.07,0.00,0.07,4976,0.06,0.00,0.06,4976,0.06,0.00,0.07,4976
"cast",0.06,0.00,0.07,4976,0.06,0.00,0.06,4976,0.06,0.00,0.06,4976
"completeTypeError",0.07,0.00,0.07,4976,0.07,0.00,0.07,4980,0.07,0.00,0.07,4980
"complex",6.73,0.18,6.93,279920,6.68,0.26,6.94,279920,6.69,0.24,6.93,279920
"coroutineYield",1.58,0.00,1.59,8184,1.59,0.00,1.60,8184,1.61,0.00,1.61,8184
"counter",0.07,0.00,0.07,4980,0.07,0.00,0.07,4980,0.07,0.00,0.07,4980
"ctor-autogen",0.14,0.00,0.14,5496,0.14,0.00,0.14,5496,0.14,0.00,0.14,5496
"datingService",1.34,0.00,1.35,6840,1.34,0.00,1.35,6840,1.37,0.00,1.37,6840
"declarationSpecifier",0.12,0.00,0.12,5040,0.12,0.00,0.12,5040,0.12,0.00,0.12,5040
"designations",0.10,0.00,0.10,5004,0.10,0.00,0.10,5004,0.09,0.00,0.09,5004
"disjoint",2.28,0.02,2.31,53052,2.28,0.04,2.32,53052,2.27,0.04,2.31,53052
"div",0.50,0.00,0.50,9900,0.51,0.00,0.52,9900,0.52,0.00,0.52,9900
"dtor-early-exit",4.50,0.05,4.55,51772,4.52,0.04,4.57,51772,4.70,0.03,4.74,51768
"dtor",1.34,0.00,1.34,7896,1.36,0.00,1.37,7896,1.34,0.00,1.35,7896
"else",3.81,0.05,3.87,74604,3.80,0.05,3.86,74604,3.82,0.03,3.85,74604
"enum",0.06,0.00,0.06,4976,0.06,0.00,0.07,4980,0.07,0.00,0.07,4980
"expression",0.08,0.00,0.08,4884,0.07,0.00,0.07,4884,0.07,0.00,0.07,4884
"extension",0.08,0.00,0.08,4860,0.08,0.00,0.08,4860,0.08,0.00,0.08,4860
"fallthrough",0.06,0.00,0.06,4872,0.07,0.00,0.07,4872,0.06,0.00,0.06,4872
"fibonacci",3.66,0.26,3.92,357724,3.77,0.20,3.97,357724,3.70,0.24,3.95,357724
"fmtLines",0.68,0.01,0.70,11084,0.70,0.00,0.70,11084,0.70,0.00,0.70,11084
"forall",60.83,3.12,64.00,3438796,60.88,3.14,64.07,3438796,61.17,2.86,64.08,3438792
"forctrl",15.30,1.20,16.52,1542840,15.40,1.14,16.55,1542840,15.40,1.12,16.54,1542840
"fstream_test",20.12,0.76,20.90,1153864,20.11,0.87,20.99,1153864,20.19,0.89,21.10,1153864
"function-operator",0.92,0.01,0.93,34624,0.92,0.01,0.94,34624,0.93,0.00,0.94,34624
"functions",0.07,0.00,0.07,5004,0.06,0.00,0.07,5004,0.06,0.00,0.07,5004
"gccExtensions",0.07,0.00,0.08,5112,0.06,0.00,0.07,5112,0.07,0.00,0.07,5112
"genericUnion",0.07,0.00,0.07,5184,0.08,0.00,0.08,5184,0.08,0.00,0.08,5184
"globals",3.80,0.02,3.82,51056,3.78,0.04,3.83,51056,3.78,0.04,3.82,51056
"gmp",7.20,0.14,7.35,239552,7.18,0.15,7.34,239552,7.09,0.19,7.29,239552
"heap",1.27,0.00,1.28,6944,1.33,0.00,1.34,6944,1.28,0.00,1.28,6944
"hello",0.24,0.00,0.25,6292,0.25,0.00,0.25,6292,0.24,0.00,0.25,6292
"identFuncDeclarator",0.06,0.00,0.06,4964,0.06,0.00,0.06,4964,0.06,0.00,0.07,4964
"identity",7.13,0.08,7.22,58188,7.14,0.06,7.20,58188,7.14,0.06,7.20,58188
"identParamDeclarator",0.06,0.00,0.07,4896,0.06,0.00,0.06,4896,0.06,0.00,0.06,4896
"ifwhileCtl",0.26,0.00,0.27,6424,0.27,0.00,0.27,6424,0.26,0.00,0.27,6424
"init_once",0.13,0.00,0.13,5012,0.13,0.00,0.14,5012,0.12,0.00,0.13,5012
"KRfunctions",0.06,0.00,0.07,4880,0.07,0.00,0.07,4880,0.07,0.00,0.07,4880
"labelledExit",0.06,0.00,0.07,4976,0.07,0.00,0.07,4976,0.06,0.00,0.07,4976
"limits",0.13,0.00,0.13,5116,0.14,0.00,0.14,5116,0.13,0.00,0.13,5116
"literals",2.89,0.02,2.92,50956,2.88,0.04,2.93,50956,2.89,0.03,2.93,50956
"math1",337.67,9.63,347.48,8001396,340.40,9.26,349.84,8001396,337.74,9.62,347.55,8001396
"math2",513.98,10.22,524.45,4558680,514.78,10.00,525.02,4558680,519.34,10.26,529.86,4558680
"math3",367.65,7.43,375.27,4558652,366.00,7.63,373.81,4558652,366.77,7.45,374.36,4558652
"math4",264.25,5.35,269.74,1273244,263.83,3.28,267.26,1273244,262.94,3.11,266.17,1273244
