"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",4.14,0.12,4.26,110936,4.30,0.09,4.40,110936,4.22,0.12,4.35,110936
"alloc",0.84,0.01,0.86,18464,0.88,0.00,0.89,18464,0.84,0.01,0.86,18464
"array",0.06,0.00,0.07,8272,0.06,0.00,0.07,8272,0.06,0.00,0.07,8272
"ato",2.42,0.03,2.47,31792,2.33,0.01,2.35,31792,2.32,0.01,2.34,31792
"attributes",0.08,0.00,0.09,9144,0.08,0.00,0.08,9144,0.08,0.00,0.08,9144
"avl_test",1.54,0.28,1.84,241432,1.52,0.31,1.84,241432,1.55,0.29,1.85,241432
"barge",2.32,0.02,2.34,31100,2.25,0.03,2.29,31100,2.25,0.03,2.29,31100
"block",2.94,0.01,2.96,32160,2.90,0.01,2.92,32160,2.86,0.04,2.91,32160
"boundedBufferEXT",2.43,0.02,2.46,46524,2.47,0.02,2.49,46524,2.43,0.01,2.44,46524
"boundedBufferINT",2.46,0.04,2.51,46536,2.41,0.03,2.45,46536,2.45,0.03,2.48,46536
"castError",0.06,0.00,0.07,8272,0.06,0.00,0.07,8272,0.06,0.00,0.07,8272
"cast",0.06,0.00,0.07,8272,0.06,0.00,0.07,8272,0.07,0.00,0.07,8272
"completeTypeError",0.06,0.00,0.07,8280,0.06,0.00,0.07,8280,0.06,0.00,0.07,8280
"complex",1.14,0.08,1.23,125628,1.18,0.05,1.24,125628,1.15,0.07,1.23,125628
"coroutineYield",2.74,0.01,2.76,31668,2.72,0.00,2.73,31668,2.69,0.03,2.73,31668
"counter",0.07,0.00,0.07,8280,0.07,0.00,0.07,8280,0.07,0.00,0.07,8280
"ctor-autogen",0.12,0.00,0.12,10848,0.12,0.00,0.12,10848,0.12,0.00,0.13,10848
"datingService",2.25,0.02,2.28,31268,2.26,0.02,2.28,31268,2.28,0.02,2.31,31268
"declarationSpecifier",0.11,0.00,0.11,11260,0.11,0.00,0.11,11260,0.11,0.00,0.11,11260
"designations",0.11,0.00,0.11,9696,0.10,0.00,0.11,9696,0.10,0.00,0.10,9696
"disjoint",3.00,0.03,3.04,46800,2.99,0.04,3.04,46800,2.99,0.03,3.03,46800
"dtor-early-exit",1.67,0.01,1.69,45144,1.66,0.02,1.68,45144,1.64,0.03,1.68,45144
"dtor",2.12,0.02,2.15,30548,2.18,0.02,2.20,30604,2.16,0.01,2.17,30604
"else",2.58,0.06,2.65,73096,2.49,0.07,2.57,73096,2.54,0.04,2.59,73096
"enum",0.06,0.00,0.07,8272,0.06,0.00,0.07,8272,0.06,0.00,0.07,8272
"expression",0.08,0.00,0.08,8268,0.07,0.00,0.08,8268,0.07,0.00,0.08,8268
"extension",0.07,0.00,0.08,8696,0.08,0.00,0.08,8696,0.07,0.00,0.07,8696
"fallthrough",0.06,0.00,0.07,8268,0.06,0.00,0.07,8268,0.06,0.00,0.07,8268
"fibonacci",1.92,0.18,2.10,318768,1.89,0.19,2.09,318768,1.88,0.20,2.08,318768
