"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",3.69,0.02,3.71,37372,3.55,0.09,3.64,37372,3.35,0.04,3.40,37372
"alloc",0.30,0.00,0.30,5908,0.30,0.00,0.31,5908,0.30,0.00,0.30,5908
"array",0.03,0.00,0.03,4748,0.03,0.00,0.03,4748,0.03,0.00,0.03,4748
"ato",1.93,0.01,1.94,14308,1.91,0.00,1.92,14308,1.92,0.00,1.92,14308
"attributes",0.03,0.00,0.03,4776,0.03,0.00,0.03,4776,0.04,0.00,0.04,4776
"avl_test",0.70,0.01,0.71,39524,0.70,0.00,0.71,39524,0.68,0.02,0.71,39524
"barge",0.80,0.00,0.81,14180,0.81,0.00,0.81,14180,0.81,0.00,0.81,14180
"block",0.99,0.00,0.99,9452,1.00,0.00,1.01,9452,0.99,0.00,0.99,9452
"boundedBufferEXT",0.91,0.00,0.92,19388,0.92,0.00,0.92,19388,0.89,0.01,0.91,19388
"boundedBufferINT",0.92,0.01,0.93,19400,0.92,0.00,0.92,19400,0.92,0.00,0.93,19400
"castError",0.03,0.00,0.03,4744,0.03,0.00,0.03,4744,0.03,0.00,0.03,4744
"cast",0.03,0.00,0.03,4744,0.02,0.00,0.03,4744,0.03,0.00,0.03,4740
"completeTypeError",0.03,0.00,0.03,4748,0.03,0.00,0.03,4748,0.03,0.00,0.03,4748
"complex",0.75,0.02,0.78,42144,0.76,0.01,0.78,42140,0.76,0.01,0.77,42144
"coroutineYield",0.91,0.00,0.91,7972,0.90,0.00,0.90,7972,0.90,0.00,0.91,7972
"counter",0.03,0.00,0.03,4744,0.03,0.00,0.03,4744,0.03,0.00,0.03,4744
"ctor-autogen",0.06,0.00,0.06,5212,0.06,0.00,0.06,5212,0.06,0.00,0.06,5212
"datingService",0.77,0.00,0.78,7200,0.77,0.00,0.78,7200,0.78,0.00,0.78,7200
"declarationSpecifier",0.04,0.00,0.04,4808,0.04,0.00,0.05,4808,0.04,0.00,0.04,4808
"designations",0.04,0.00,0.05,4772,0.04,0.00,0.04,4772,0.04,0.00,0.05,4772
"disjoint",1.09,0.01,1.11,19692,1.10,0.00,1.11,19692,1.10,0.01,1.12,19688
"div",0.24,0.00,0.24,7700,0.23,0.00,0.24,7700,0.24,0.00,0.24,7700
"dtor-early-exit",1.18,0.00,1.19,18304,1.18,0.00,1.18,18304,1.16,0.02,1.18,18304
"dtor",0.74,0.00,0.74,7668,0.75,0.00,0.75,7668,0.74,0.00,0.74,7668
"else",1.32,0.01,1.34,26076,1.34,0.00,1.35,26072,1.32,0.01,1.34,26076
"enum",0.03,0.00,0.03,4748,0.03,0.00,0.03,4748,0.03,0.00,0.03,4748
"expression",0.02,0.00,0.03,4744,0.03,0.00,0.03,4744,0.03,0.00,0.03,4744
"extension",0.03,0.00,0.03,4804,0.03,0.00,0.03,4804,0.03,0.00,0.03,4804
"fallthrough",0.03,0.00,0.03,4744,0.03,0.00,0.03,4744,0.03,0.00,0.03,4744
"fibonacci",1.12,0.06,1.18,102172,1.09,0.08,1.18,102172,1.09,0.08,1.18,102172
"fmtLines",0.38,0.00,0.38,8376,0.39,0.00,0.39,8376,0.38,0.00,0.39,8376
"forall",27.74,2.76,30.54,3257216,27.72,2.70,30.47,3257216,27.66,2.78,30.48,3257216
"forctrl",2.58,0.23,2.82,274100,2.58,0.24,2.83,274100,2.60,0.24,2.85,274100
"fstream_test",2.86,0.13,3.00,193608,2.83,0.19,3.02,193608,2.85,0.15,3.01,193608
"function-operator",0.47,0.00,0.48,17920,0.46,0.00,0.48,17920,0.46,0.01,0.47,17920
"functions",0.03,0.00,0.03,4768,0.03,0.00,0.03,4768,0.03,0.00,0.03,4768
"gccExtensions",0.03,0.00,0.03,4792,0.03,0.00,0.03,4792,0.03,0.00,0.03,4792
"genericUnion",0.04,0.00,0.04,4924,0.04,0.00,0.04,4924,0.04,0.00,0.04,4924
"globals",0.87,0.02,0.89,17356,0.88,0.01,0.89,17356,0.89,0.00,0.90,17356
"gmp",1.55,0.02,1.58,32432,1.56,0.01,1.58,32432,1.56,0.01,1.58,32432
"heap",0.74,0.00,0.74,7004,0.73,0.00,0.73,7004,0.74,0.00,0.74,7004
"hello",0.10,0.00,0.10,5624,0.10,0.00,0.10,5624,0.10,0.00,0.10,5624
"identFuncDeclarator",0.03,0.00,0.03,4744,0.03,0.00,0.03,4744,0.02,0.00,0.03,4744
"identity",1.85,0.01,1.86,19252,1.84,0.00,1.84,19252,1.86,0.00,1.86,19252
"identParamDeclarator",0.02,0.00,0.03,4764,0.02,0.00,0.03,4764,0.03,0.00,0.03,4764
"ifwhileCtl",0.12,0.00,0.12,5744,0.12,0.00,0.12,5744,0.11,0.00,0.12,5744
"init_once",0.06,0.00,0.06,4760,0.06,0.00,0.06,4760,0.06,0.00,0.06,4760
"KRfunctions",0.03,0.00,0.03,4752,0.03,0.00,0.03,4752,0.03,0.00,0.03,4752
"labelledExit",0.03,0.00,0.03,4744,0.03,0.00,0.03,4744,0.02,0.00,0.03,4744
"limits",0.08,0.00,0.08,4948,0.08,0.00,0.08,4948,0.08,0.00,0.08,4948
"literals",0.72,0.00,0.72,17252,0.71,0.00,0.72,17252,0.71,0.00,0.72,17252
"math1",32.57,0.84,33.43,690484,32.20,0.96,33.18,690484,32.34,0.80,33.16,690484
"math2",47.60,0.75,48.39,465444,47.22,0.86,48.11,465444,47.42,0.71,48.16,465444
"math3",33.67,0.67,34.37,465132,34.29,0.75,35.07,465132,34.29,0.75,35.07,465132
"math4",38.52,0.48,39.02,197436,38.44,0.44,38.91,197436,38.46,0.47,38.96,197436
"matrixSum",0.78,0.00,0.79,14092,0.78,0.00,0.79,14092,0.79,0.01,0.80,14092
"maybe",0.04,0.00,0.04,5148,0.04,0.00,0.04,5148,0.04,0.00,0.04,5148
"memberCtors",0.03,0.00,0.03,4752,0.03,0.00,0.03,4752,0.03,0.00,0.03,4752
"minmax",20.01,0.21,20.24,198464,20.00,0.26,20.28,198464,19.90,0.32,20.24,198464
"monitor",0.79,0.00,0.80,14120,0.78,0.00,0.79,14120,0.79,0.00,0.79,14120
"multi-monitor",2.28,0.14,2.43,192096,2.27,0.15,2.43,192096,2.28,0.14,2.42,192096
"nested-types",0.03,0.00,0.04,4912,0.03,0.00,0.04,4912,0.04,0.00,0.04,4912
"numericConstants",0.02,0.00,0.03,4744,0.03,0.00,0.03,4744,0.03,0.00,0.03,4744
"operators",0.02,0.00,0.03,4748,0.03,0.00,0.03,4748,0.03,0.00,0.03,4748
"pingpong",0.36,0.00,0.36,6652,0.36,0.00,0.36,6652,0.38,0.00,0.38,6652
"polymorphism",0.41,0.00,0.41,11412,0.43,0.00,0.43,11412,0.41,0.00,0.41,11412
"preempt",0.81,0.00,0.81,7188,0.82,0.00,0.82,7188,0.80,0.01,0.81,7188
"prodcons",1.03,0.02,1.05,26008,1.07,0.00,1.08,26008,1.05,0.00,1.06,26008
"quickSort",0.84,0.00,0.84,9240,0.85,0.00,0.86,9244,0.85,0.00,0.85,9244
"quoted_keyword",0.11,0.00,0.11,12304,0.10,0.00,0.11,12304,0.11,0.00,0.11,12304
"random",1.40,0.00,1.40,13156,1.40,0.00,1.41,13156,1.41,0.00,1.42,13156
"recurse",0.86,0.00,0.87,13944,0.86,0.00,0.87,13944,0.86,0.00,0.87,13944
"references",0.05,0.00,0.05,4768,0.05,0.00,0.05,4768,0.05,0.00,0.05,4768
"result",0.06,0.00,0.06,5596,0.05,0.00,0.06,5596,0.06,0.00,0.06,5596
"runningTotal",1.16,0.04,1.20,102172,1.14,0.06,1.21,102172,1.14,0.06,1.21,102172
"searchsort",23.12,0.56,23.70,361660,23.25,0.54,23.80,361660,23.07,0.53,23.62,361660
"self-assignment",0.03,0.00,0.03,4740,0.03,0.00,0.03,4740,0.03,0.00,0.03,4740
"shortCircuit",0.11,0.00,0.12,11804,0.11,0.00,0.12,11804,0.10,0.01,0.12,11804
"simpleGenericTriple",0.04,0.00,0.04,5012,0.04,0.00,0.04,5012,0.04,0.00,0.04,5012
"statement",2.45,0.04,2.50,32040,2.46,0.03,2.50,32040,2.46,0.03,2.50,32040
"stdincludes",0.82,0.00,0.82,6888,0.82,0.00,0.83,6888,0.85,0.00,0.85,6888
