"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",9.03,0.10,9.15,68380,8.82,0.11,8.94,68380,8.86,0.10,8.97,68380
"array",0.52,0.01,0.54,25560,0.50,0.02,0.53,25560,0.53,0.00,0.54,25560
"ato",20.30,0.47,20.81,394596,20.24,0.50,20.77,394596,20.62,0.46,21.11,394688
"attributes",0.63,0.01,0.65,28844,0.63,0.01,0.64,28844,0.62,0.02,0.65,28844
"avl_test",6.32,0.14,6.48,136844,6.22,0.19,6.43,136844,6.42,0.16,6.59,136860
"barge",25.04,0.23,25.31,127452,25.00,0.26,25.30,127452,25.08,0.28,25.41,127452
"block",32.83,0.21,33.09,133272,32.70,0.32,33.07,133248,32.67,0.34,33.06,133240
"boundedBufferEXT",27.92,0.28,28.24,156016,28.05,0.24,28.34,156016,27.79,0.28,28.10,156016
"boundedBufferINT",28.04,0.26,28.35,156032,28.08,0.21,28.32,156032,28.16,0.27,28.47,156032
"castError",0.52,0.01,0.53,25556,0.52,0.01,0.53,25556,0.52,0.01,0.54,25556
"cast",0.50,0.02,0.53,25556,0.51,0.01,0.52,25556,0.52,0.00,0.53,25556
"completeTypeError",0.54,0.00,0.55,25872,0.51,0.00,0.52,25872,0.52,0.00,0.53,25872
"coroutineYield",30.32,0.33,30.70,130300,30.32,0.35,30.72,130300,30.32,0.40,30.76,130300
"counter",0.53,0.02,0.55,26432,0.55,0.02,0.57,26432,0.54,0.02,0.56,26432
"ctor-autogen",1.31,0.05,1.37,40504,1.32,0.04,1.37,40504,1.31,0.08,1.39,40504
"datingService",25.70,0.23,25.97,125604,26.02,0.18,26.24,125584,25.94,0.18,26.16,125640
"declarationSpecifier",1.14,0.02,1.16,45240,1.14,0.04,1.19,45240,1.14,0.02,1.17,45240
"disjoint",32.74,0.24,33.03,156296,32.77,0.27,33.09,156296,32.85,0.27,33.17,156296
"dtor-early-exit",9.52,0.12,9.66,149448,9.61,0.14,9.77,149448,9.55,0.14,9.71,149448
"dtor",23.63,0.15,23.82,124128,23.82,0.16,24.02,124132,23.76,0.17,23.96,124148
"else",23.65,0.31,23.99,276872,23.70,0.29,24.03,276872,23.74,0.34,24.11,276872
"enum",0.53,0.00,0.54,25560,0.52,0.02,0.54,25560,0.53,0.02,0.55,25560
"expression",0.62,0.02,0.64,25556,0.62,0.00,0.63,25556,0.60,0.02,0.63,25556
"extension",0.66,0.01,0.68,29592,0.66,0.02,0.68,29592,0.67,0.00,0.68,29592
"fallthrough",0.52,0.01,0.54,25556,0.52,0.01,0.53,25556,0.50,0.02,0.53,25556
"fibonacci",27.54,3.02,30.60,4562768,27.56,3.00,30.60,4562768,27.50,3.08,30.63,4562768
"fmtLines",11.90,0.10,12.02,79164,11.99,0.08,12.08,79164,12.01,0.07,12.10,79164
"function-operator",9.70,0.10,9.83,125404,9.68,0.14,9.84,125404,9.68,0.13,9.83,125404
"functions",0.53,0.01,0.55,26460,0.52,0.01,0.54,26460,0.54,0.02,0.56,26460
"gccExtensions",0.59,0.02,0.62,29544,0.60,0.02,0.62,29544,0.60,0.01,0.61,29544
"genericUnion",0.72,0.02,0.74,28656,0.70,0.02,0.73,28656,0.71,0.02,0.73,28656
"globals",5.01,0.12,5.14,148532,4.96,0.20,5.17,148532,5.01,0.14,5.16,148532
"heap",25.32,0.16,25.52,119784,24.96,0.15,25.14,119784,25.18,0.15,25.37,119784
