"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",3.67,0.04,3.71,33976,3.73,0.03,3.77,33976,3.80,0.02,3.83,33976
"array",0.28,0.00,0.28,6384,0.25,0.00,0.25,6384,0.27,0.00,0.27,6384
"ato",18.38,0.18,18.57,207228,17.95,0.20,18.17,207228,18.00,0.19,18.21,207228
"attributes",0.30,0.00,0.30,6412,0.29,0.00,0.29,6412,0.30,0.00,0.30,6412
"avl_test",3.31,0.02,3.34,36724,3.39,0.03,3.43,36724,3.38,0.02,3.41,36724
"barge",12.44,0.04,12.49,46512,12.50,0.03,12.54,46512,12.51,0.04,12.56,46512
"block",16.26,0.08,16.35,55856,16.16,0.07,16.24,55856,16.21,0.04,16.26,55856
"boundedBufferEXT",14.68,0.11,14.80,88112,14.70,0.08,14.79,88112,14.65,0.13,14.79,88112
"boundedBufferINT",14.83,0.06,14.91,88124,14.84,0.05,14.89,88124,14.72,0.10,14.83,88124
"castError",0.24,0.00,0.25,6380,0.26,0.00,0.26,6380,0.26,0.00,0.26,6380
"cast",0.25,0.00,0.25,6380,0.24,0.00,0.25,6380,0.24,0.00,0.25,6380
"completeTypeError",0.26,0.00,0.26,6384,0.27,0.00,0.27,6384,0.27,0.00,0.27,6384
"coroutineYield",14.85,0.02,14.88,35600,14.87,0.03,14.91,35600,14.96,0.04,15.00,35600
"counter",0.26,0.00,0.26,6384,0.27,0.00,0.27,6384,0.26,0.00,0.27,6384
"ctor-autogen",0.83,0.00,0.83,12348,0.87,0.00,0.88,12348,0.83,0.00,0.84,12348
"datingService",12.75,0.02,12.78,37848,12.86,0.04,12.91,37848,12.90,0.02,12.92,37848
"declarationSpecifier",0.48,0.00,0.49,6444,0.49,0.00,0.49,6444,0.48,0.00,0.48,6444
"disjoint",16.31,0.05,16.37,88380,16.28,0.06,16.35,88380,16.28,0.10,16.39,88380
"dtor-early-exit",6.54,0.06,6.61,86652,6.49,0.12,6.62,86652,6.54,0.10,6.65,86652
"dtor",11.81,0.04,11.86,35376,11.94,0.02,11.97,35376,11.79,0.04,11.84,35376
"else",13.66,0.10,13.78,153644,13.54,0.10,13.65,153644,13.71,0.11,13.83,153644
"enum",0.27,0.00,0.27,6384,0.26,0.00,0.27,6384,0.26,0.00,0.27,6384
"expression",0.30,0.00,0.31,7148,0.29,0.00,0.29,7148,0.31,0.00,0.31,7148
"extension",0.37,0.02,0.39,19984,0.38,0.00,0.38,19984,0.35,0.02,0.37,19984
"fallthrough",0.26,0.00,0.26,6380,0.25,0.00,0.25,6380,0.25,0.00,0.25,6380
"fibonacci",21.74,2.02,23.78,2516304,21.79,1.88,23.70,2516304,21.92,1.78,23.72,2516304
"fmtLines",6.17,0.02,6.19,13720,6.16,0.00,6.17,13720,6.22,0.00,6.22,13720
"forall",33.81,3.12,36.98,3252656,33.84,3.06,36.95,3252656,33.88,3.19,37.12,3252656
"function-operator",6.00,0.05,6.06,78280,5.86,0.08,5.95,78280,5.90,0.05,5.96,78280
"functions",0.25,0.00,0.25,6408,0.26,0.00,0.26,6408,0.25,0.00,0.25,6408
"gccExtensions",0.33,0.00,0.34,20016,0.35,0.00,0.36,20016,0.34,0.01,0.36,20012
"genericUnion",0.43,0.00,0.43,8652,0.42,0.00,0.43,8652,0.43,0.00,0.43,8652
"globals",4.38,0.10,4.48,85852,4.38,0.08,4.47,85852,4.56,0.06,4.63,85852
"heap",12.44,0.03,12.48,35068,12.36,0.02,12.39,35068,12.37,0.04,12.42,35068
"hello",0.52,0.00,0.53,6676,0.52,0.00,0.53,6676,0.52,0.00,0.52,6676
"identFuncDeclarator",0.25,0.00,0.25,6380,0.24,0.00,0.25,6380,0.25,0.00,0.25,6380
"identity",7.09,0.07,7.17,87264,7.08,0.09,7.18,87264,7.06,0.10,7.17,87264
"identParamDeclarator",0.25,0.00,0.26,6404,0.26,0.00,0.26,6404,0.26,0.00,0.26,6404
"ifwhileCtl",0.59,0.00,0.59,6676,0.60,0.00,0.60,6676,0.61,0.00,0.61,6676
"init_once",0.42,0.00,0.42,6532,0.42,0.00,0.43,6532,0.42,0.00,0.42,6532
"KRfunctions",0.35,0.01,0.36,26572,0.36,0.01,0.38,26568,0.36,0.02,0.38,26572
"labelledExit",0.30,0.00,0.30,6380,0.30,0.00,0.30,6380,0.29,0.00,0.29,6380
"limits",0.66,0.00,0.66,6592,0.65,0.01,0.66,6592,0.69,0.00,0.69,6592
"literals",3.32,0.08,3.41,85764,3.32,0.08,3.40,85764,3.36,0.05,3.41,85764
"matrixSum",11.96,0.04,12.01,46412,11.94,0.03,11.98,46412,11.94,0.04,11.99,46412
"maybe",0.57,0.00,0.58,10920,0.61,0.00,0.61,10920,0.60,0.00,0.60,10920
"memberCtors",0.30,0.00,0.30,6388,0.30,0.00,0.30,6388,0.32,0.00,0.32,6388
"monitor",11.88,0.03,11.92,47244,11.86,0.04,11.91,47244,12.00,0.02,12.03,47244
"nested-types",0.45,0.00,0.45,8640,0.44,0.00,0.45,8640,0.42,0.00,0.42,8640
"numericConstants",0.24,0.00,0.24,6380,0.25,0.00,0.25,6380,0.25,0.00,0.25,6376
"operators",0.31,0.00,0.31,6384,0.30,0.00,0.30,6384,0.30,0.00,0.31,6384
"pingpong",6.19,0.00,6.20,11900,6.14,0.00,6.15,11900,6.14,0.00,6.15,11900
"polymorphism",0.70,0.00,0.71,12128,0.69,0.01,0.71,12128,0.68,0.00,0.68,12128
"preempt",13.70,0.02,13.73,35252,13.72,0.04,13.77,35252,13.84,0.02,13.87,35248
"prodcons",46.56,3.81,50.42,5046676,46.23,3.82,50.10,5046676,46.33,3.99,50.37,5046676
"quickSort",13.41,0.07,13.49,102132,13.58,0.06,13.66,102132,13.40,0.09,13.51,102132
"quoted_keyword",0.70,0.02,0.72,45000,0.72,0.01,0.74,45000,0.72,0.02,0.74,45000
"random",6.70,0.08,6.79,45496,6.63,0.06,6.69,45496,6.62,0.04,6.67,45496
"rational",23.87,0.18,24.08,154448,23.88,0.20,24.10,154448,23.89,0.16,24.08,154448
"recurse",12.86,0.02,12.89,36036,12.92,0.04,12.96,36036,12.74,0.03,12.78,36036
"references",0.48,0.01,0.50,26404,0.51,0.00,0.51,26404,0.49,0.02,0.51,26404
"result",0.89,0.00,0.89,14700,0.93,0.00,0.93,14700,0.89,0.00,0.89,14700
"runningTotal",21.92,1.82,23.76,2516316,21.56,2.05,23.64,2516316,21.82,1.82,23.66,2516316
"self-assignment",0.28,0.00,0.29,6380,0.28,0.00,0.28,6380,0.27,0.00,0.27,6380
"shortCircuit",0.66,0.01,0.68,33504,0.68,0.02,0.70,33504,0.65,0.02,0.68,33504
"simpleGenericTriple",0.71,0.00,0.71,20268,0.69,0.01,0.70,20268,0.68,0.00,0.69,20268
"stdincludes",9.01,0.01,9.03,10212,8.91,0.00,8.91,10212,9.03,0.00,9.03,10212
"sum",362.14,13.97,376.35,7440144,362.64,13.88,376.78,7440208,357.70,14.09,372.05,7440204
"switch",0.31,0.00,0.31,6380,0.31,0.00,0.31,6380,0.30,0.00,0.30,6380
"sync",10.64,0.06,10.70,43776,10.26,0.04,10.31,43776,10.28,0.04,10.33,43776
"thread",12.65,0.06,12.73,87984,12.82,0.06,12.89,87984,12.67,0.06,12.74,87984
"tupleCast",0.25,0.00,0.26,6380,0.26,0.00,0.26,6380,0.24,0.00,0.24,6380
"tupleMember",0.58,0.04,0.63,49404,0.58,0.05,0.64,49404,0.60,0.03,0.63,49404
"tuplePolymorphism",0.43,0.02,0.45,41420,0.43,0.02,0.46,41420,0.44,0.02,0.47,41420
"tupleVariadic",2.26,0.02,2.29,33196,2.24,0.02,2.26,33196,2.25,0.02,2.28,33196
"typedefRedef",0.24,0.00,0.24,6380,0.24,0.00,0.24,6380,0.25,0.00,0.25,6380
"typeof",0.24,0.00,0.24,6380,0.24,0.00,0.24,6380,0.24,0.00,0.24,6380
"user_literals",3.32,0.08,3.41,85872,3.31,0.08,3.39,85872,3.34,0.07,3.42,85872
"variableDeclarator",0.25,0.00,0.26,6472,0.26,0.00,0.26,6472,0.25,0.00,0.25,6472
"vector",173.32,2.72,176.14,1309264,173.67,2.37,176.15,1309264,173.38,2.50,175.98,1309264
"voidPtr",0.24,0.00,0.24,6380,0.25,0.00,0.25,6380,0.25,0.00,0.25,6380
"wait",15.45,0.03,15.49,35648,15.53,0.04,15.57,35648,15.48,0.02,15.51,35648
"when",15.34,0.07,15.42,87888,15.34,0.06,15.41,87888,15.34,0.07,15.42,87888
"with-statement",0.43,0.00,0.43,8640,0.42,0.00,0.42,8640,0.42,0.00,0.42,8640
