"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",6.45,0.20,6.66,228736,6.52,0.22,6.75,228736,6.48,0.31,6.81,228736
"array",1.39,0.03,1.42,78440,1.38,0.04,1.43,78440,1.40,0.02,1.42,78440
"attributes",1.71,0.06,1.77,94324,1.73,0.04,1.78,94324,1.74,0.04,1.79,94324
"avl_test",7.88,0.30,8.19,270612,7.85,0.29,8.16,270612,7.86,0.24,8.12,270612
"alloc",6.29,0.25,6.55,228736,6.28,0.19,6.47,228736,6.32,0.20,6.53,228736
"array",1.40,0.04,1.45,78440,1.39,0.04,1.44,78440,1.38,0.05,1.44,78440
"attributes",1.76,0.04,1.81,94324,1.75,0.05,1.80,94324,1.74,0.04,1.79,94324
"avl_test",7.81,0.34,8.16,270612,7.78,0.32,8.12,270612,7.85,0.28,8.15,270612
"castError",1.39,0.05,1.45,78432,1.39,0.05,1.45,78432,1.40,0.01,1.42,78432
"cast",1.38,0.04,1.42,78432,1.37,0.05,1.43,78432,1.38,0.03,1.41,78432
"completeTypeError",1.38,0.04,1.44,80320,1.38,0.06,1.45,80320,1.36,0.06,1.43,80320
"counter",1.42,0.04,1.46,81184,1.42,0.03,1.46,81184,1.40,0.05,1.46,81184
"ctor-autogen",2.74,0.13,2.87,147756,2.78,0.08,2.88,147756,2.88,0.09,2.98,147756
"declarationSpecifier",2.60,0.09,2.70,143500,2.58,0.12,2.71,143500,2.61,0.08,2.70,143500
"designations",1.93,0.04,1.98,102616,1.90,0.07,1.98,102616,1.91,0.05,1.97,102616
"enum",1.37,0.04,1.42,78436,1.38,0.03,1.42,78436,1.38,0.04,1.43,78436
"expression",1.42,0.02,1.45,78428,1.47,0.06,1.53,78428,1.45,0.03,1.49,78428
"extension",1.54,0.05,1.60,84816,1.67,0.04,1.72,84816,1.53,0.06,1.60,84816
"fallthrough",1.39,0.04,1.44,78428,1.39,0.04,1.44,78428,1.37,0.07,1.44,78428
"functions",1.43,0.04,1.48,81256,1.43,0.05,1.49,81256,1.47,0.04,1.52,81256
"gccExtensions",1.54,0.02,1.57,78408,1.51,0.04,1.56,78408,1.52,0.04,1.56,78408
"genericUnion",1.88,0.04,1.93,106816,1.84,0.08,1.92,106816,1.86,0.05,1.92,106816
"heap",11.78,0.55,12.35,406804,11.86,0.43,12.30,406804,11.75,0.54,12.30,406804
"identFuncDeclarator",1.42,0.02,1.44,78428,1.36,0.06,1.43,78428,1.38,0.06,1.44,78428
"identParamDeclarator",1.38,0.05,1.43,78480,1.38,0.04,1.43,78480,1.46,0.05,1.51,78480
"init_once",1.73,0.07,1.81,90108,1.77,0.04,1.82,90108,1.78,0.03,1.81,90108
"KRfunctions",1.44,0.04,1.48,81212,1.39,0.07,1.47,81212,1.42,0.05,1.47,81212
"labelledExit",1.38,0.04,1.43,78432,1.39,0.04,1.43,78432,1.38,0.04,1.43,78432
"limits",1.46,0.03,1.50,78640,1.46,0.05,1.52,78640,1.44,0.04,1.50,78640
"maybe",2.04,0.08,2.13,117028,2.05,0.07,2.12,117028,2.05,0.07,2.12,117028
"memberCtors",1.56,0.07,1.64,87724,1.60,0.03,1.64,87724,1.56,0.06,1.63,87724
"nested-types",1.96,0.10,2.07,113580,1.98,0.08,2.07,113580,2.00,0.06,2.07,113580
"numericConstants",1.40,0.03,1.44,78428,1.40,0.03,1.43,78428,1.38,0.05,1.44,78428
"operators",1.43,0.05,1.48,81184,1.45,0.03,1.49,81184,1.40,0.08,1.49,81184
"polymorphism",36.87,2.36,39.27,2544632,36.94,2.14,39.12,2544628,36.84,2.36,39.23,2544632
"references",1.56,0.05,1.62,86108,1.57,0.05,1.63,86108,1.57,0.04,1.62,86108
"result",2.29,0.12,2.42,134448,2.30,0.10,2.41,134448,2.32,0.09,2.41,134448
"self-assignment",1.48,0.06,1.54,83160,1.50,0.04,1.54,83160,1.48,0.06,1.54,83160
"simpleGenericTriple",2.34,0.08,2.43,121872,2.36,0.08,2.45,121872,2.32,0.11,2.44,121872
"stdincludes",8.80,0.42,9.23,383504,8.86,0.34,9.21,383504,8.76,0.42,9.19,383504
"switch",1.39,0.03,1.43,78432,1.38,0.05,1.44,78432,1.39,0.04,1.43,78432
"sync",1.61,0.04,1.66,78428,1.63,0.03,1.66,78428,1.61,0.04,1.66,78428
"tupleCast",1.28,0.05,1.34,78448,1.32,0.02,1.34,78448,1.29,0.05,1.35,78448
"tupleFunction",1.46,0.04,1.50,82616,1.46,0.03,1.50,82616,1.47,0.02,1.49,82616
"tupleMember",1.58,0.04,1.63,85096,1.56,0.07,1.64,85096,1.57,0.06,1.63,85096
"tuplePolymorphism",1.52,0.04,1.58,85964,1.53,0.04,1.57,85964,1.52,0.05,1.58,85964
"tupleVariadic",4.72,0.16,4.89,169036,4.70,0.16,4.87,169036,4.72,0.18,4.91,169036
"typedefRedef",1.42,0.02,1.44,78432,1.38,0.03,1.42,78432,1.39,0.04,1.44,78432
"typeof",1.38,0.06,1.44,78428,1.39,0.05,1.44,78428,1.39,0.05,1.44,78428
"variableDeclarator",1.40,0.04,1.44,78576,1.40,0.04,1.44,78576,1.39,0.04,1.44,78576
"voidPtr",1.37,0.06,1.44,78428,1.37,0.06,1.44,78428,1.39,0.04,1.44,78428
"with-statement",1.98,0.09,2.08,113052,1.98,0.05,2.04,113052,1.99,0.06,2.06,113052
