"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",7.04,0.80,7.86,728036,7.07,0.97,8.06,728036,7.02,0.76,7.80,728036
"array",1.34,0.10,1.44,177940,1.34,0.10,1.45,177940,1.34,0.10,1.45,177940
"attributes",1.74,0.11,1.86,231372,1.75,0.13,1.89,231372,1.73,0.14,1.88,231372
"avl_test",7.50,0.72,8.23,660016,7.43,0.72,8.17,660016,7.41,0.75,8.18,660016
"castError",1.34,0.11,1.46,177928,1.34,0.11,1.45,177928,1.34,0.11,1.46,177928
"cast",1.34,0.10,1.45,177928,1.34,0.11,1.46,177928,1.36,0.10,1.46,177928
"completeTypeError",1.39,0.11,1.51,183044,1.37,0.14,1.51,183044,1.44,0.08,1.52,183044
"counter",1.46,0.08,1.55,185744,1.44,0.11,1.56,185744,1.43,0.11,1.54,185744
"ctor-autogen",2.77,0.27,3.05,339604,2.77,0.26,3.04,339604,2.74,0.28,3.03,339604
"declarationSpecifier",2.68,0.32,3.01,370692,2.71,0.31,3.03,370692,2.70,0.32,3.03,370692
"designations",1.97,0.19,2.16,260700,1.94,0.19,2.14,260700,1.96,0.18,2.15,260700
"enum",1.34,0.10,1.45,177932,1.34,0.10,1.45,177932,1.32,0.12,1.45,177932
"expression",1.37,0.08,1.46,177928,1.34,0.12,1.46,177928,1.64,0.09,1.74,177928
"extension",1.58,0.12,1.71,198676,1.50,0.12,1.63,198676,1.53,0.10,1.63,198676
"fallthrough",1.37,0.08,1.47,177928,1.33,0.12,1.45,177928,1.35,0.09,1.44,177928
"functions",1.43,0.10,1.54,185820,1.46,0.08,1.54,185820,1.43,0.09,1.53,185820
"gccExtensions",1.46,0.10,1.57,178216,1.47,0.10,1.57,178216,1.47,0.09,1.57,178216
"genericUnion",1.71,0.15,1.87,217916,1.74,0.12,1.87,217916,1.76,0.12,1.88,217916
"heap",13.69,2.44,16.15,1322388,13.60,2.54,16.16,1322388,13.52,3.49,17.04,1322388
"identFuncDeclarator",1.34,0.10,1.45,177928,1.36,0.13,1.50,177928,1.34,0.10,1.45,177928
"identParamDeclarator",1.34,0.10,1.45,177980,1.32,0.12,1.44,177980,1.34,0.10,1.45,177980
"init_once",1.72,0.11,1.84,211516,1.66,0.17,1.84,211516,1.70,0.13,1.84,211516
"KRfunctions",1.44,0.08,1.53,185776,1.45,0.08,1.53,185776,1.42,0.10,1.53,185776
"labelledExit",1.35,0.10,1.45,177928,1.34,0.11,1.45,177928,1.36,0.08,1.45,177928
"limits",1.40,0.13,1.54,178168,1.42,0.12,1.54,178168,1.45,0.08,1.54,178168
"maybe",1.89,0.23,2.13,235128,1.98,0.13,2.12,235128,2.00,0.12,2.13,235128
"memberCtors",1.59,0.14,1.74,211216,1.60,0.12,1.73,211216,1.58,0.16,1.74,211216
"nested-types",1.87,0.14,2.02,238040,1.83,0.18,2.02,238264,1.86,0.14,2.01,238040
"numericConstants",1.36,0.07,1.44,177928,1.34,0.09,1.44,177928,1.31,0.12,1.44,177928
"operators",1.43,0.09,1.53,185752,1.44,0.09,1.53,185752,1.42,0.10,1.53,185752
"polymorphism",31.84,4.66,36.55,5681004,33.07,6.09,39.21,5681004,31.82,4.60,36.48,5681004
"references",1.58,0.11,1.70,204396,1.54,0.14,1.69,204396,1.56,0.12,1.69,204396
"result",2.20,0.17,2.38,256384,2.16,0.20,2.37,256384,2.14,0.22,2.37,256384
"self-assignment",1.48,0.12,1.61,194648,1.50,0.11,1.61,194648,1.51,0.10,1.61,194648
"simpleGenericTriple",2.12,0.22,2.35,251908,2.15,0.20,2.36,251908,2.12,0.21,2.34,251908
"stdincludes",10.05,1.29,11.36,1323576,10.15,1.19,11.36,1323576,10.03,1.22,11.28,1323576
"switch",1.38,0.06,1.44,177928,1.36,0.08,1.44,177928,1.33,0.11,1.45,177928
"sync",1.64,0.10,1.74,177928,1.61,0.12,1.74,177928,1.65,0.08,1.74,177928
"tupleCast",1.28,0.10,1.39,177672,1.28,0.11,1.39,177672,1.30,0.08,1.39,177672
"tupleFunction",1.43,0.10,1.54,194776,1.42,0.12,1.54,194776,1.44,0.09,1.54,194776
"tupleMember",1.56,0.12,1.69,201216,1.58,0.10,1.69,201216,1.55,0.14,1.69,201216
"tuplePolymorphism",1.58,0.10,1.69,203176,1.55,0.13,1.68,203176,1.56,0.11,1.68,203176
"tupleVariadic",5.20,0.50,5.71,503936,5.19,0.50,5.71,503936,5.21,0.54,5.77,503936
"typedefRedef",1.32,0.11,1.44,177932,1.32,0.12,1.45,177932,1.36,0.08,1.44,177932
"typeof",1.36,0.08,1.44,177928,1.33,0.10,1.44,177928,1.33,0.10,1.44,177924
"variableDeclarator",1.34,0.10,1.44,178080,1.33,0.10,1.44,178080,1.34,0.09,1.44,178080
"voidPtr",1.35,0.10,1.45,177928,1.36,0.08,1.45,177928,1.33,0.11,1.45,177928
"with-statement",1.88,0.14,2.04,238436,1.87,0.18,2.06,238436,1.91,0.11,2.03,238436
