"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",0.79,0.06,0.86,90720,0.80,0.05,0.86,90720,0.81,0.04,0.86,90720
"array",0.07,0.00,0.07,9552,0.06,0.00,0.07,9552,0.07,0.00,0.07,9552
"attributes",0.07,0.00,0.07,9640,0.07,0.00,0.07,9640,0.07,0.00,0.07,9640
"avl_test",0.74,0.04,0.78,86116,0.72,0.05,0.78,86116,0.76,0.02,0.78,86116
"castError",0.07,0.00,0.07,9544,0.06,0.00,0.07,9544,0.07,0.00,0.07,9544
"cast",0.07,0.00,0.07,9544,0.06,0.00,0.07,9544,0.07,0.00,0.07,9544
"completeTypeError",0.07,0.00,0.07,9552,0.07,0.00,0.07,9552,0.07,0.00,0.07,9552
"counter",0.07,0.00,0.08,9552,0.07,0.00,0.07,9552,0.07,0.00,0.07,9552
"ctor-autogen",0.10,0.00,0.11,9608,0.10,0.00,0.11,9608,0.10,0.00,0.11,9608
"datingService",1.40,0.06,1.47,92144,1.41,0.05,1.47,92144,1.42,0.04,1.47,92144
"declarationSpecifier",0.07,0.00,0.08,9428,0.07,0.00,0.08,9428,0.07,0.00,0.08,9428
"designations",0.07,0.00,0.08,9716,0.08,0.00,0.08,9716,0.07,0.00,0.08,9716
"enum",0.06,0.00,0.07,9548,0.07,0.00,0.07,9548,0.07,0.00,0.07,9548
"expression",0.07,0.00,0.08,9640,0.07,0.00,0.08,9640,0.07,0.00,0.07,9640
"extension",0.06,0.01,0.08,9564,0.08,0.00,0.08,9564,0.08,0.00,0.08,9564
"fallthrough",0.07,0.00,0.07,9544,0.07,0.00,0.07,9544,0.06,0.00,0.07,9544
"forall",3.57,0.41,3.98,501132,3.66,0.34,4.01,501132,3.61,0.41,4.03,501132
"function-operator",43.75,3.18,46.98,4258220,43.45,3.16,46.66,4258220,43.24,3.17,46.46,4258220
"functions",0.07,0.00,0.07,9720,0.07,0.00,0.07,9720,0.07,0.00,0.07,9720
"gccExtensions",0.08,0.00,0.08,9544,0.08,0.00,0.08,9544,0.08,0.00,0.08,9544
"genericUnion",0.07,0.00,0.08,9700,0.07,0.00,0.08,9700,0.08,0.00,0.08,9700
"heap",1.36,0.08,1.45,91736,1.39,0.06,1.45,91736,1.40,0.04,1.45,91736
"identFuncDeclarator",0.07,0.00,0.07,9544,0.06,0.00,0.07,9544,0.07,0.00,0.07,9544
"identParamDeclarator",0.06,0.00,0.07,9592,0.07,0.00,0.07,9592,0.07,0.00,0.07,9592
"init_once",0.10,0.00,0.10,9744,0.09,0.00,0.10,9744,0.10,0.00,0.10,9744
"KRfunctions",0.07,0.00,0.07,9680,0.06,0.00,0.07,9680,0.07,0.00,0.07,9680
"labelledExit",0.06,0.00,0.07,9544,0.07,0.00,0.08,9544,0.07,0.00,0.07,9544
"limits",0.13,0.00,0.13,9840,0.12,0.01,0.13,9836,0.12,0.00,0.13,9840
"maybe",0.10,0.00,0.10,9596,0.09,0.00,0.10,9596,0.10,0.00,0.10,9596
"memberCtors",0.07,0.00,0.07,9568,0.06,0.00,0.07,9568,0.07,0.00,0.07,9568
"nested-types",0.07,0.00,0.07,9568,0.07,0.00,0.08,9568,0.07,0.00,0.07,9568
"numericConstants",0.07,0.00,0.07,9544,0.06,0.00,0.07,9544,0.06,0.00,0.07,9544
"operators",0.07,0.00,0.07,9552,0.06,0.01,0.08,9552,0.07,0.00,0.07,9552
"polymorphism",0.39,0.01,0.41,34944,0.39,0.01,0.41,34944,0.38,0.02,0.41,34944
"references",0.08,0.00,0.08,9664,0.08,0.00,0.08,9664,0.07,0.00,0.08,9664
"result",0.11,0.00,0.11,9732,0.11,0.00,0.11,9732,0.11,0.00,0.11,9732
"self-assignment",0.07,0.00,0.08,9552,0.06,0.01,0.07,9552,0.07,0.00,0.07,9552
"simpleGenericTriple",0.08,0.00,0.09,9668,0.09,0.00,0.09,9668,0.09,0.00,0.09,9668
"stdincludes",0.64,0.01,0.65,12600,0.63,0.01,0.65,12600,0.64,0.00,0.65,12600
"switch",0.07,0.00,0.07,9544,0.07,0.00,0.07,9544,0.07,0.00,0.08,9544
"sync",0.28,0.00,0.29,9640,0.28,0.00,0.28,9640,0.28,0.00,0.29,9640
"tupleCast",0.07,0.00,0.07,9660,0.06,0.00,0.07,9660,0.07,0.00,0.07,9660
"tupleFunction",0.06,0.00,0.08,9680,0.07,0.00,0.08,9680,0.07,0.00,0.07,9680
"tupleMember",0.11,0.00,0.11,15276,0.10,0.00,0.11,15276,0.10,0.01,0.11,15276
"tuplePolymorphism",0.08,0.00,0.08,9632,0.07,0.00,0.08,9632,0.06,0.01,0.08,9632
"tupleVariadic",0.70,0.04,0.75,85976,0.72,0.04,0.76,85976,0.68,0.07,0.75,85976
"typedefRedef",0.06,0.00,0.07,9548,0.07,0.00,0.07,9548,0.06,0.00,0.07,9548
"typeof",0.06,0.00,0.07,9544,0.07,0.00,0.07,9544,0.07,0.00,0.07,9544
"variableDeclarator",0.06,0.00,0.07,9688,0.07,0.00,0.07,9688,0.06,0.00,0.07,9688
"voidPtr",0.06,0.00,0.07,9544,0.06,0.00,0.07,9544,0.07,0.00,0.07,9540
"with-statement",0.07,0.00,0.08,9576,0.07,0.00,0.08,9576,0.07,0.00,0.08,9576
