"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",1.16,0.15,1.32,250268,1.17,0.14,1.31,250268,1.19,0.12,1.32,250268
"array",0.09,0.00,0.10,14840,0.09,0.00,0.09,14840,0.09,0.00,0.09,14840
"attributes",0.09,0.00,0.10,15184,0.08,0.01,0.10,15184,0.08,0.01,0.10,15184
"avl_test",1.09,0.10,1.20,239460,1.08,0.10,1.19,239460,1.04,0.15,1.20,239456
"castError",0.09,0.00,0.09,15040,0.08,0.00,0.09,15040,0.09,0.00,0.09,15040
"cast",0.09,0.00,0.09,15040,0.08,0.00,0.09,15040,0.09,0.00,0.10,15040
"completeTypeError",0.09,0.00,0.09,14840,0.08,0.00,0.09,14840,0.09,0.00,0.10,14840
"counter",0.09,0.00,0.10,15052,0.09,0.00,0.10,15052,0.07,0.02,0.09,15052
"ctor-autogen",0.12,0.01,0.13,14792,0.12,0.00,0.13,14792,0.11,0.02,0.13,14792
"datingService",2.04,0.12,2.17,252208,2.04,0.14,2.18,252208,1.98,0.20,2.18,252208
"declarationSpecifier",0.10,0.00,0.10,14220,0.10,0.00,0.10,14220,0.10,0.00,0.10,14220
"designations",0.09,0.00,0.10,15436,0.10,0.00,0.10,15436,0.09,0.01,0.10,15436
"enum",0.08,0.00,0.09,15048,0.09,0.00,0.10,15048,0.07,0.02,0.09,15048
"expression",0.09,0.00,0.10,14828,0.08,0.01,0.10,14828,0.10,0.00,0.10,14828
"extension",0.10,0.00,0.10,15108,0.10,0.00,0.11,15108,0.10,0.00,0.10,15108
"fallthrough",0.07,0.02,0.09,14832,0.09,0.00,0.09,14832,0.09,0.00,0.09,14828
"forall",2.08,0.39,2.48,589576,2.18,0.31,2.50,589576,2.12,0.36,2.49,589576
"function-operator",24.98,4.63,29.65,5854112,24.82,4.79,29.66,5854112,25.14,4.72,29.90,5854112
"functions",0.09,0.00,0.09,15124,0.09,0.00,0.09,15124,0.09,0.00,0.10,15124
"gccExtensions",0.09,0.01,0.11,14828,0.10,0.00,0.11,14828,0.11,0.00,0.11,14828
"genericUnion",0.09,0.01,0.10,15144,0.09,0.00,0.10,15144,0.08,0.01,0.10,15144
"heap",2.07,0.15,2.23,252032,2.09,0.14,2.24,252032,2.07,0.16,2.24,252032
"identFuncDeclarator",0.09,0.00,0.09,15040,0.08,0.00,0.09,15040,0.08,0.01,0.10,15040
"identParamDeclarator",0.08,0.01,0.09,14876,0.10,0.00,0.10,14876,0.09,0.00,0.10,14876
"init_once",0.12,0.00,0.12,15376,0.11,0.01,0.12,15376,0.11,0.01,0.12,15376
"KRfunctions",0.08,0.00,0.09,15084,0.08,0.00,0.09,15084,0.08,0.00,0.09,15084
"labelledExit",0.09,0.00,0.10,15040,0.08,0.00,0.10,15040,0.08,0.00,0.09,15040
"limits",0.18,0.00,0.19,15064,0.19,0.01,0.21,15064,0.20,0.00,0.20,15064
"maybe",0.11,0.00,0.12,15128,0.10,0.01,0.12,15128,0.11,0.00,0.12,15128
"memberCtors",0.09,0.00,0.10,15112,0.08,0.01,0.10,15112,0.09,0.00,0.10,15112
"nested-types",0.10,0.00,0.10,15108,0.09,0.00,0.10,15108,0.09,0.00,0.10,15108
"numericConstants",0.09,0.00,0.09,14828,0.08,0.01,0.09,14828,0.08,0.00,0.09,14828
"operators",0.10,0.00,0.10,14840,0.10,0.00,0.10,14840,0.09,0.00,0.10,14840
"polymorphism",0.29,0.02,0.31,36904,0.29,0.02,0.31,36904,0.30,0.00,0.31,36904
"references",0.10,0.00,0.11,15112,0.10,0.00,0.10,15112,0.10,0.00,0.10,15112
"result",0.13,0.00,0.13,15164,0.13,0.00,0.14,15164,0.12,0.00,0.13,15164
"self-assignment",0.09,0.00,0.09,15052,0.09,0.00,0.09,15052,0.10,0.00,0.10,15052
"simpleGenericTriple",0.10,0.01,0.11,15104,0.10,0.01,0.11,15104,0.10,0.00,0.11,15104
"stdincludes",0.98,0.01,0.99,17964,0.98,0.01,0.99,17964,0.97,0.00,0.98,17964
"switch",0.08,0.01,0.09,14832,0.09,0.00,0.09,14832,0.09,0.00,0.10,14832
"sync",0.38,0.00,0.39,15096,0.38,0.00,0.39,15096,0.38,0.01,0.39,15096
"tupleCast",0.09,0.00,0.10,15096,0.09,0.00,0.10,15096,0.09,0.00,0.10,15096
"tupleFunction",0.09,0.00,0.10,15124,0.08,0.01,0.10,15124,0.09,0.00,0.10,15124
"tupleMember",0.15,0.01,0.16,32960,0.14,0.02,0.16,32960,0.14,0.02,0.17,32960
"tuplePolymorphism",0.09,0.00,0.10,15128,0.09,0.00,0.10,15128,0.09,0.01,0.10,15128
"tupleVariadic",0.99,0.14,1.14,239364,1.00,0.12,1.13,239364,0.98,0.14,1.13,239364
"typedefRedef",0.08,0.01,0.09,14832,0.08,0.00,0.09,14832,0.09,0.00,0.09,14832
"typeof",0.09,0.00,0.09,14828,0.08,0.00,0.09,14828,0.08,0.00,0.09,14828
"variableDeclarator",0.08,0.00,0.09,15188,0.09,0.00,0.09,15188,0.09,0.00,0.09,15188
"voidPtr",0.08,0.00,0.09,14828,0.08,0.00,0.09,14828,0.09,0.00,0.10,14828
"with-statement",0.09,0.00,0.10,15116,0.10,0.00,0.10,15116,0.09,0.00,0.10,15116
