"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",4.48,0.06,4.55,29476,4.54,0.01,4.56,29476,4.52,0.02,4.54,29476
"array",0.25,0.00,0.25,5660,0.27,0.00,0.27,5660,0.25,0.00,0.25,5660
"ato",13.36,0.19,13.57,267064,13.36,0.24,13.62,267064,13.40,0.24,13.66,267064
"attributes",0.31,0.00,0.31,5688,0.30,0.00,0.30,5688,0.30,0.00,0.30,5688
"avl_test",3.27,0.02,3.29,31296,3.23,0.04,3.28,31296,3.25,0.01,3.27,31296
"barge",14.14,0.03,14.18,33348,14.06,0.07,14.14,33348,14.08,0.02,14.12,33348
"block",18.60,0.04,18.64,70460,18.50,0.07,18.59,70460,18.62,0.06,18.69,70460
"boundedBufferEXT",16.42,0.05,16.48,86996,16.42,0.06,16.50,86996,16.26,0.10,16.37,86996
"boundedBufferINT",16.54,0.07,16.62,87004,16.52,0.08,16.61,87004,16.46,0.07,16.54,87004
"castError",0.26,0.00,0.26,5656,0.27,0.00,0.27,5656,0.26,0.00,0.26,5656
"cast",0.26,0.00,0.26,5656,0.26,0.00,0.26,5656,0.26,0.00,0.26,5656
"completeTypeError",0.25,0.00,0.26,5660,0.25,0.00,0.25,5660,0.26,0.00,0.26,5660
"coroutineYield",17.27,0.02,17.31,33244,17.07,0.02,17.10,33244,17.15,0.02,17.19,33244
"counter",0.25,0.00,0.26,5660,0.26,0.00,0.26,5660,0.26,0.00,0.26,5660
"ctor-autogen",0.81,0.00,0.81,8556,0.80,0.00,0.81,8556,0.80,0.00,0.81,8556
"datingService",14.68,0.01,14.70,32728,14.74,0.02,14.77,32728,14.56,0.04,14.61,32728
"declarationSpecifier",0.50,0.00,0.50,5720,0.48,0.00,0.49,5720,0.50,0.00,0.51,5720
"disjoint",18.48,0.02,18.52,87224,18.42,0.08,18.51,87224,18.40,0.06,18.46,87224
"dtor-early-exit",5.85,0.13,5.99,85988,5.82,0.07,5.90,85988,5.97,0.08,6.06,85988
"dtor",13.55,0.04,13.60,33028,13.45,0.02,13.47,33028,13.50,0.04,13.55,33028
"else",14.25,0.13,14.39,165984,14.18,0.12,14.31,165984,14.16,0.12,14.30,165984
"enum",0.26,0.00,0.27,5660,0.26,0.00,0.27,5660,0.28,0.00,0.28,5660
"expression",0.32,0.00,0.32,6404,0.32,0.00,0.33,6404,0.34,0.00,0.34,6404
