"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",8.42,0.05,8.49,52056,8.41,0.05,8.47,52056,8.38,0.07,8.46,52056
"array",0.43,0.00,0.44,18772,0.44,0.00,0.45,18772,0.43,0.02,0.45,18772
"ato",14.46,0.32,14.81,377940,14.40,0.35,14.78,377940,14.42,0.28,14.73,377940
"attributes",0.53,0.00,0.54,19868,0.52,0.01,0.54,19868,0.54,0.01,0.56,19868
"avl_test",5.02,0.05,5.09,52160,5.06,0.08,5.15,52160,5.12,0.08,5.21,52160
"barge",23.76,0.22,24.02,86184,23.70,0.18,23.92,86184,23.67,0.20,23.91,86184
"block",31.10,0.16,31.30,99620,31.06,0.16,31.26,99620,30.97,0.16,31.17,99620
"boundedBufferEXT",26.60,0.14,26.77,120008,26.65,0.12,26.81,120008,26.67,0.11,26.82,120008
"boundedBufferINT",26.72,0.18,26.94,120020,26.69,0.17,26.90,120020,26.64,0.13,26.80,120020
"castError",0.43,0.00,0.44,18768,0.44,0.00,0.44,18768,0.43,0.00,0.44,18768
"cast",0.44,0.00,0.45,18768,0.42,0.01,0.44,18768,0.41,0.02,0.43,18768
"completeTypeError",0.42,0.01,0.43,18776,0.43,0.01,0.45,18776,0.42,0.01,0.44,18772
"coroutineYield",29.10,0.35,29.50,88132,29.11,0.30,29.46,88132,28.98,0.35,29.38,88132
"counter",0.44,0.01,0.45,19040,0.44,0.01,0.46,19040,0.43,0.01,0.45,19040
"ctor-autogen",1.12,0.03,1.16,25976,1.13,0.04,1.17,25976,1.14,0.03,1.18,25976
"datingService",24.91,0.12,25.06,84768,24.85,0.11,25.00,84768,24.82,0.10,24.95,84752
"declarationSpecifier",0.93,0.02,0.96,27832,0.91,0.03,0.95,27832,0.94,0.02,0.97,27832
"disjoint",31.17,0.18,31.40,120284,30.99,0.19,31.22,120284,30.95,0.20,31.19,120284
"dtor-early-exit",7.70,0.10,7.82,119256,7.77,0.11,7.90,119256,7.81,0.09,7.91,119256
