"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",3.55,0.02,3.58,33928,3.52,0.04,3.57,33928,3.49,0.01,3.50,33928
"array",0.21,0.00,0.21,5860,0.22,0.00,0.22,5860,0.20,0.00,0.20,5860
"ato",12.54,0.33,12.89,314564,12.63,0.29,12.94,314564,12.69,0.29,13.00,314564
"attributes",0.24,0.00,0.24,5884,0.25,0.00,0.25,5884,0.24,0.00,0.24,5884
"avl_test",2.77,0.04,2.81,33456,2.78,0.03,2.82,33548,2.78,0.03,2.82,33548
"barge",11.76,0.02,11.79,37532,11.70,0.04,11.76,37532,11.69,0.05,11.75,37532
"block",15.58,0.06,15.66,80160,15.98,0.08,16.07,80160,15.50,0.06,15.57,80160
"boundedBufferEXT",13.93,0.08,14.02,101864,13.88,0.08,13.97,101864,14.32,0.05,14.38,101864
"boundedBufferINT",14.25,0.07,14.33,101876,14.16,0.05,14.22,101876,13.90,0.08,13.99,101876
"castError",0.21,0.00,0.21,5860,0.21,0.00,0.22,5860,0.20,0.00,0.20,5860
"cast",0.21,0.00,0.21,5860,0.20,0.00,0.21,5860,0.20,0.00,0.20,5860
"completeTypeError",0.20,0.00,0.20,5860,0.20,0.00,0.20,5860,0.20,0.00,0.20,5860
"coroutineYield",14.84,0.03,14.88,35376,14.34,0.03,14.38,35376,14.34,0.03,14.38,35376
"counter",0.22,0.00,0.23,5860,0.22,0.00,0.22,5860,0.20,0.00,0.21,5860
"ctor-autogen",0.72,0.00,0.72,8896,0.75,0.00,0.76,8896,0.74,0.00,0.75,8896
"datingService",12.74,0.02,12.77,34560,12.44,0.01,12.46,34560,12.20,0.04,12.25,34560
"declarationSpecifier",0.38,0.00,0.38,5916,0.38,0.00,0.38,5916,0.38,0.00,0.38,5916
"disjoint",15.62,0.10,15.73,102164,16.06,0.07,16.14,102164,15.49,0.08,15.59,102164
"dtor-early-exit",5.12,0.09,5.22,100668,5.29,0.11,5.41,100668,5.09,0.11,5.20,100668
"dtor",11.30,0.03,11.35,33408,11.60,0.02,11.63,33408,11.65,0.03,11.69,33408
"else",12.28,0.16,12.46,196468,12.24,0.16,12.41,196468,12.30,0.17,12.48,196468
"enum",0.23,0.00,0.23,5860,0.22,0.00,0.23,5860,0.21,0.00,0.22,5860
"expression",0.26,0.00,0.26,6616,0.25,0.00,0.25,6616,0.27,0.00,0.27,6616
"extension",0.30,0.01,0.32,19924,0.29,0.02,0.32,19924,0.32,0.00,0.32,19924
"fallthrough",0.20,0.00,0.20,5860,0.20,0.00,0.21,5860,0.20,0.00,0.20,5860
"fibonacci",15.24,1.85,17.11,2523892,15.33,1.92,17.28,2523892,15.25,1.88,17.15,2523892
"fmtLines",5.86,0.00,5.87,9632,5.81,0.00,5.82,9632,6.16,0.00,6.17,9632
"function-operator",5.68,0.05,5.74,98804,5.84,0.07,5.92,98804,5.59,0.09,5.69,98804
"functions",0.20,0.00,0.21,5876,0.23,0.00,0.23,5876,0.20,0.00,0.21,5876
"gccExtensions",0.29,0.00,0.30,20012,0.30,0.00,0.31,20012,0.32,0.00,0.32,20012
"genericUnion",0.34,0.00,0.34,7016,0.33,0.01,0.35,7016,0.34,0.00,0.34,7016
"globals",3.26,0.07,3.34,99800,3.17,0.06,3.24,99800,3.33,0.10,3.44,99800
"heap",11.94,0.04,11.98,33108,11.84,0.04,11.88,33108,11.77,0.05,11.83,33108
"hello",0.44,0.00,0.45,6384,0.45,0.00,0.45,6384,0.42,0.01,0.44,6384
"identFuncDeclarator",0.20,0.00,0.20,5852,0.20,0.00,0.21,5852,0.21,0.00,0.21,5852
"identity",5.14,0.09,5.23,100956,5.31,0.08,5.40,100956,5.23,0.06,5.30,100956
"identParamDeclarator",0.21,0.00,0.21,5876,0.20,0.00,0.21,5876,0.20,0.00,0.21,5876
"ifwhileCtl",0.53,0.00,0.53,6404,0.54,0.00,0.54,6404,0.50,0.00,0.51,6404
"init_once",0.32,0.00,0.32,6072,0.31,0.00,0.31,6072,0.30,0.00,0.30,6072
"KRfunctions",0.31,0.02,0.33,26528,0.33,0.00,0.34,26528,0.32,0.00,0.33,26528
"labelledExit",0.25,0.00,0.25,5860,0.25,0.00,0.26,5860,0.26,0.00,0.26,5860
"limits",0.60,0.00,0.60,6060,0.61,0.00,0.61,6060,0.62,0.00,0.62,6060
"literals",2.50,0.04,2.54,99676,2.43,0.06,2.50,99680,2.43,0.07,2.51,99680
"matrixSum",11.39,0.05,11.46,37444,11.37,0.06,11.44,37444,11.48,0.02,11.51,37444
"maybe",0.49,0.00,0.49,8164,0.52,0.00,0.52,8164,0.53,0.00,0.53,8164
"memberCtors",0.24,0.00,0.24,5860,0.26,0.00,0.26,5860,0.24,0.00,0.24,5860
"monitor",11.47,0.02,11.51,37452,11.26,0.04,11.31,37452,11.69,0.02,11.72,37452
"nested-types",0.37,0.00,0.37,7004,0.37,0.00,0.37,7004,0.37,0.00,0.37,7004
"numericConstants",0.21,0.00,0.21,5852,0.21,0.00,0.21,5852,0.21,0.00,0.21,5852
"operators",0.26,0.00,0.26,5860,0.26,0.00,0.27,5860,0.26,0.00,0.26,5860
"pingpong",6.12,0.00,6.12,8776,5.84,0.00,5.85,8776,6.07,0.00,6.07,8776
"polymorphism",0.42,0.00,0.42,14424,0.42,0.00,0.43,14424,0.40,0.01,0.42,14424
"preempt",13.23,0.02,13.26,35028,13.15,0.02,13.18,35028,13.38,0.02,13.41,35028
