"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",0.90,0.00,0.90,9916,0.90,0.00,0.91,9916,0.91,0.00,0.92,9916
"alloc",0.37,0.00,0.37,5664,0.37,0.00,0.37,5664,0.36,0.00,0.37,5664
"array",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"ato",0.74,0.00,0.75,8204,0.76,0.00,0.77,8204,0.76,0.00,0.76,8204
"attributes",0.02,0.00,0.03,4484,0.02,0.00,0.03,4484,0.02,0.00,0.03,4484
"avl_test",0.24,0.00,0.24,5560,0.24,0.00,0.25,5560,0.24,0.00,0.24,5560
"barge",0.94,0.00,0.95,7200,0.95,0.00,0.95,7200,0.94,0.00,0.94,7200
"block",1.26,0.00,1.26,10204,1.25,0.00,1.25,10204,1.24,0.00,1.25,10204
"boundedBufferEXT",1.01,0.00,1.02,8040,1.02,0.00,1.02,8040,1.01,0.00,1.02,8040
"boundedBufferINT",1.04,0.00,1.05,8128,1.03,0.00,1.03,8128,1.03,0.00,1.03,8128
"castError",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"cast",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"completeTypeError",0.02,0.00,0.02,4456,0.02,0.00,0.02,4456,0.02,0.00,0.02,4456
"complex",0.34,0.00,0.34,11800,0.34,0.00,0.34,11800,0.34,0.00,0.34,11800
"coroutineYield",1.14,0.00,1.14,7508,1.14,0.00,1.14,7508,1.14,0.00,1.14,7508
"counter",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"ctor-autogen",0.05,0.00,0.05,4620,0.05,0.00,0.05,4620,0.06,0.00,0.06,4620
"datingService",0.96,0.00,0.96,6636,0.96,0.00,0.97,6636,0.96,0.00,0.97,6636
"declarationSpecifier",0.03,0.00,0.03,4516,0.03,0.00,0.03,4516,0.03,0.00,0.03,4516
"designations",0.04,0.00,0.04,4480,0.03,0.00,0.03,4480,0.03,0.00,0.03,4480
"disjoint",1.24,0.00,1.24,8244,1.23,0.00,1.23,8244,1.22,0.00,1.23,8244
"div",0.26,0.00,0.26,9124,0.28,0.00,0.28,9124,0.26,0.00,0.26,9124
"dtor-early-exit",0.58,0.00,0.59,7200,0.59,0.00,0.59,7200,0.60,0.00,0.60,7200
"dtor",0.94,0.00,0.94,7084,0.94,0.00,0.95,7084,0.90,0.00,0.91,7084
"else",0.88,0.00,0.88,8164,0.87,0.00,0.87,8164,0.87,0.00,0.87,8164
"enum",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"expression",0.02,0.00,0.03,4452,0.02,0.00,0.03,4452,0.02,0.00,0.02,4452
"extension",0.02,0.00,0.03,4848,0.03,0.00,0.03,4848,0.03,0.00,0.03,4848
"fallthrough",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"fibonacci",0.50,0.00,0.51,9168,0.54,0.00,0.55,9168,0.50,0.00,0.50,9168
