"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",0.65,0.00,0.65,10948,0.65,0.00,0.65,10948,0.66,0.00,0.66,10948
"alloc",0.26,0.00,0.26,5924,0.26,0.00,0.26,5924,0.25,0.00,0.26,5924
"array",0.01,0.00,0.01,4484,0.01,0.00,0.01,4484,0.02,0.00,0.02,4484
"ato",0.44,0.00,0.45,8096,0.45,0.00,0.45,8096,0.44,0.00,0.45,8096
"attributes",0.02,0.00,0.02,4512,0.02,0.00,0.02,4512,0.01,0.00,0.02,4512
"avl_test",0.14,0.00,0.14,5556,0.14,0.00,0.14,5556,0.14,0.00,0.14,5556
"barge",0.66,0.00,0.66,8352,0.66,0.00,0.66,8348,0.67,0.00,0.67,8352
"block",0.86,0.00,0.86,8944,0.86,0.00,0.86,8944,0.86,0.00,0.86,8944
"boundedBufferEXT",0.72,0.00,0.72,9048,0.73,0.00,0.73,9048,0.73,0.00,0.73,9048
"boundedBufferINT",0.73,0.00,0.74,9064,0.74,0.00,0.74,9064,0.74,0.00,0.75,9064
"castError",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"cast",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"completeTypeError",0.01,0.00,0.01,4484,0.01,0.00,0.01,4484,0.01,0.00,0.01,4484
"complex",0.17,0.00,0.17,10992,0.18,0.00,0.18,10992,0.17,0.00,0.18,10992
"coroutineYield",0.81,0.00,0.81,7676,0.81,0.00,0.81,7676,0.80,0.00,0.80,7676
"counter",0.01,0.00,0.01,4484,0.01,0.00,0.01,4484,0.01,0.00,0.01,4484
"ctor-autogen",0.02,0.00,0.03,4656,0.02,0.00,0.03,4656,0.03,0.00,0.03,4656
"datingService",0.69,0.00,0.69,7068,0.69,0.00,0.70,7068,0.70,0.00,0.70,7068
"declarationSpecifier",0.02,0.00,0.02,4548,0.02,0.00,0.02,4548,0.02,0.00,0.02,4548
"designations",0.02,0.00,0.03,4568,0.02,0.00,0.03,4568,0.02,0.00,0.03,4568
"disjoint",0.86,0.00,0.87,9356,0.86,0.00,0.87,9356,0.86,0.00,0.87,9356
"div",0.16,0.00,0.16,7300,0.16,0.00,0.17,7300,0.16,0.00,0.16,7300
"dtor-early-exit",0.33,0.00,0.33,7800,0.33,0.00,0.33,7800,0.33,0.00,0.34,7800
"dtor",0.64,0.00,0.64,7148,0.64,0.00,0.64,7148,0.64,0.00,0.65,7148
"else",0.64,0.00,0.64,9524,0.64,0.00,0.65,9524,0.67,0.00,0.67,9524
"enum",0.01,0.00,0.02,4484,0.01,0.00,0.01,4484,0.01,0.00,0.01,4484
"expression",0.02,0.00,0.02,4480,0.02,0.00,0.02,4480,0.02,0.00,0.02,4480
