"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",0.81,0.06,0.87,90724,0.79,0.08,0.87,90724,0.80,0.06,0.87,90724
"array",0.06,0.00,0.07,9556,0.06,0.00,0.07,9556,0.07,0.00,0.07,9556
"attributes",0.06,0.00,0.08,9644,0.07,0.00,0.07,9644,0.07,0.00,0.07,9644
"avl_test",0.74,0.04,0.79,86128,0.74,0.05,0.79,86128,0.74,0.04,0.79,86128
"castError",0.07,0.00,0.07,9548,0.06,0.01,0.07,9548,0.07,0.00,0.07,9548
"cast",0.07,0.00,0.07,9548,0.07,0.00,0.07,9548,0.06,0.00,0.07,9548
"completeTypeError",0.07,0.00,0.07,9556,0.07,0.00,0.07,9556,0.07,0.00,0.07,9556
"counter",0.07,0.00,0.07,9556,0.07,0.00,0.07,9556,0.07,0.00,0.07,9556
"ctor-autogen",0.09,0.00,0.10,9636,0.10,0.00,0.10,9632,0.09,0.00,0.10,9636
"datingService",1.38,0.09,1.48,92148,1.43,0.05,1.49,92148,1.40,0.07,1.48,92148
"declarationSpecifier",0.07,0.00,0.07,9432,0.07,0.00,0.07,9432,0.07,0.00,0.07,9432
"designations",0.07,0.00,0.08,9720,0.07,0.00,0.08,9720,0.07,0.00,0.08,9720
"enum",0.07,0.00,0.07,9552,0.06,0.00,0.07,9552,0.06,0.00,0.07,9552
"expression",0.07,0.00,0.07,9644,0.07,0.00,0.07,9644,0.07,0.00,0.07,9644
"extension",0.08,0.00,0.08,9568,0.08,0.00,0.08,9568,0.08,0.00,0.08,9568
"fallthrough",0.07,0.00,0.07,9548,0.07,0.00,0.07,9548,0.07,0.00,0.07,9548
"forall",3.33,0.41,3.75,501116,3.38,0.34,3.73,501116,3.36,0.37,3.74,501116
"function-operator",44.13,2.99,47.17,4258228,44.14,2.98,47.17,4258224,44.04,2.99,47.08,4258228
"functions",0.06,0.00,0.07,9724,0.06,0.00,0.07,9724,0.06,0.00,0.07,9724
"gccExtensions",0.08,0.00,0.08,9548,0.06,0.01,0.08,9548,0.08,0.00,0.08,9548
"genericUnion",0.07,0.00,0.08,9704,0.07,0.00,0.08,9704,0.07,0.00,0.08,9704
"heap",1.44,0.03,1.47,91740,1.40,0.06,1.47,91740,1.39,0.07,1.47,91740
"identFuncDeclarator",0.07,0.00,0.07,9548,0.07,0.00,0.07,9548,0.07,0.00,0.07,9548
"identParamDeclarator",0.07,0.00,0.07,9596,0.06,0.01,0.07,9596,0.07,0.00,0.07,9596
"init_once",0.10,0.00,0.10,9748,0.09,0.00,0.10,9748,0.10,0.00,0.10,9748
"KRfunctions",0.07,0.00,0.07,9684,0.07,0.00,0.07,9684,0.07,0.00,0.07,9684
"labelledExit",0.07,0.00,0.07,9548,0.07,0.00,0.07,9548,0.06,0.00,0.07,9544
"limits",0.14,0.00,0.14,9844,0.13,0.00,0.13,9844,0.13,0.00,0.13,9844
"maybe",0.10,0.00,0.10,9600,0.10,0.00,0.10,9600,0.08,0.01,0.10,9600
"memberCtors",0.08,0.00,0.08,9572,0.07,0.00,0.08,9572,0.07,0.00,0.08,9572
"nested-types",0.07,0.00,0.08,9572,0.07,0.00,0.08,9572,0.07,0.00,0.07,9572
"numericConstants",0.07,0.00,0.07,9548,0.06,0.00,0.07,9548,0.07,0.00,0.07,9548
"operators",0.07,0.00,0.08,9556,0.07,0.00,0.07,9556,0.07,0.00,0.07,9556
"polymorphism",0.38,0.02,0.41,34948,0.38,0.02,0.41,34948,0.40,0.00,0.41,34948
"references",0.08,0.00,0.08,9668,0.08,0.00,0.08,9668,0.08,0.00,0.08,9668
"result",0.11,0.00,0.12,9736,0.11,0.00,0.11,9732,0.11,0.00,0.11,9736
"self-assignment",0.07,0.00,0.07,9556,0.06,0.00,0.07,9556,0.06,0.00,0.07,9556
"simpleGenericTriple",0.09,0.00,0.09,9672,0.09,0.00,0.09,9672,0.09,0.00,0.09,9668
"stdincludes",0.63,0.02,0.65,12604,0.65,0.00,0.65,12604,0.64,0.01,0.66,12604
"switch",0.07,0.00,0.07,9548,0.07,0.00,0.07,9548,0.07,0.00,0.07,9548
"sync",0.28,0.00,0.29,9644,0.29,0.00,0.29,9644,0.28,0.00,0.29,9644
"tupleCast",0.06,0.00,0.07,9664,0.07,0.00,0.07,9664,0.06,0.00,0.07,9664
"tupleFunction",0.09,0.00,0.09,9684,0.06,0.00,0.07,9684,0.07,0.00,0.07,9684
"tupleMember",0.10,0.00,0.11,15280,0.11,0.00,0.11,15280,0.10,0.01,0.11,15280
"tuplePolymorphism",0.07,0.00,0.08,9636,0.08,0.00,0.08,9636,0.07,0.00,0.07,9636
"tupleVariadic",0.72,0.03,0.76,85980,0.69,0.06,0.75,85980,0.72,0.04,0.76,85980
"typedefRedef",0.06,0.00,0.07,9552,0.06,0.00,0.07,9552,0.07,0.00,0.07,9552
"typeof",0.06,0.00,0.07,9548,0.06,0.01,0.07,9548,0.06,0.01,0.07,9548
"variableDeclarator",0.07,0.00,0.07,9692,0.06,0.00,0.07,9688,0.07,0.00,0.07,9692
"voidPtr",0.07,0.00,0.07,9548,0.06,0.00,0.07,9548,0.06,0.01,0.07,9548
"with-statement",0.08,0.00,0.08,9676,0.07,0.00,0.08,9676,0.07,0.00,0.08,9676
