"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",1.11,0.16,1.28,250276,1.12,0.15,1.28,250276,1.15,0.12,1.28,250276
"array",0.08,0.00,0.09,14848,0.08,0.00,0.09,14848,0.08,0.01,0.09,14848
"attributes",0.08,0.01,0.09,15192,0.09,0.00,0.10,15192,0.08,0.01,0.10,15192
"avl_test",0.96,0.18,1.15,239472,0.99,0.15,1.15,239472,1.03,0.12,1.15,239472
"castError",0.08,0.01,0.09,15048,0.08,0.00,0.09,15048,0.09,0.00,0.09,15048
"cast",0.09,0.00,0.09,15048,0.09,0.00,0.09,15048,0.08,0.00,0.09,15048
"completeTypeError",0.08,0.01,0.09,14848,0.08,0.01,0.10,14848,0.09,0.00,0.09,14848
"counter",0.09,0.00,0.10,15060,0.09,0.00,0.10,15060,0.09,0.00,0.10,15060
"ctor-autogen",0.12,0.00,0.12,14800,0.12,0.00,0.12,14800,0.12,0.00,0.12,14800
"datingService",1.98,0.12,2.12,252216,1.95,0.16,2.12,252216,1.95,0.15,2.11,252216
"declarationSpecifier",0.09,0.00,0.10,14228,0.08,0.02,0.10,14228,0.09,0.00,0.10,14228
"designations",0.10,0.00,0.10,15444,0.09,0.00,0.10,15444,0.09,0.01,0.11,15444
"enum",0.09,0.00,0.10,15056,0.08,0.00,0.09,15056,0.08,0.01,0.09,15056
"expression",0.09,0.01,0.10,14836,0.08,0.01,0.10,14836,0.09,0.00,0.10,14836
"extension",0.10,0.00,0.10,15116,0.10,0.00,0.11,15116,0.10,0.00,0.11,15116
"fallthrough",0.08,0.00,0.09,14840,0.08,0.00,0.09,14840,0.09,0.00,0.09,14840
"forall",1.88,0.38,2.27,588548,1.95,0.32,2.28,588548,1.92,0.34,2.27,588548
"function-operator",24.36,4.96,29.37,6044748,24.39,4.83,29.26,6044748,24.52,4.88,29.44,6044748
"functions",0.09,0.00,0.09,15132,0.09,0.00,0.09,15132,0.08,0.00,0.09,15132
"gccExtensions",0.11,0.00,0.11,14836,0.10,0.00,0.11,14836,0.10,0.00,0.11,14836
"genericUnion",0.09,0.00,0.10,15152,0.08,0.01,0.10,15152,0.09,0.00,0.10,15152
"heap",2.05,0.12,2.17,252040,1.99,0.17,2.17,252040,2.01,0.16,2.17,252040
"identFuncDeclarator",0.08,0.00,0.09,15048,0.08,0.01,0.09,15048,0.09,0.00,0.10,15048
"identParamDeclarator",0.08,0.00,0.09,14884,0.08,0.00,0.09,14884,0.09,0.00,0.10,14884
"init_once",0.12,0.00,0.12,15384,0.10,0.01,0.12,15384,0.12,0.00,0.12,15384
"KRfunctions",0.08,0.00,0.09,15092,0.09,0.00,0.09,15092,0.07,0.01,0.09,15092
"labelledExit",0.08,0.00,0.09,15048,0.09,0.00,0.09,15048,0.08,0.01,0.09,15048
"limits",0.18,0.00,0.19,15072,0.19,0.00,0.20,15072,0.20,0.00,0.20,15072
"maybe",0.12,0.00,0.12,15136,0.11,0.00,0.12,15136,0.11,0.01,0.12,15136
"memberCtors",0.09,0.00,0.10,15120,0.10,0.00,0.10,15120,0.09,0.00,0.10,15120
"nested-types",0.08,0.01,0.09,15116,0.09,0.00,0.09,15116,0.09,0.00,0.09,15116
"numericConstants",0.09,0.00,0.09,14836,0.09,0.00,0.10,14836,0.08,0.00,0.09,14836
"operators",0.09,0.00,0.10,14848,0.09,0.00,0.10,14848,0.10,0.00,0.10,14848
"polymorphism",0.28,0.02,0.31,36648,0.29,0.02,0.32,36648,0.29,0.01,0.31,36648
"references",0.10,0.00,0.10,15120,0.10,0.00,0.10,15120,0.10,0.00,0.10,15120
"result",0.12,0.00,0.13,15172,0.12,0.00,0.13,15172,0.12,0.01,0.13,15172
"self-assignment",0.09,0.00,0.09,15060,0.08,0.00,0.09,15060,0.09,0.00,0.10,15060
"simpleGenericTriple",0.11,0.00,0.11,15112,0.10,0.01,0.11,15112,0.10,0.00,0.11,15112
"stdincludes",0.94,0.00,0.95,17972,0.94,0.01,0.96,17972,0.95,0.00,0.95,17972
"switch",0.08,0.01,0.10,14840,0.08,0.00,0.09,14840,0.09,0.00,0.09,14840
"sync",0.37,0.00,0.38,15104,0.39,0.00,0.40,15104,0.37,0.00,0.38,15104
"tupleCast",0.09,0.00,0.09,15104,0.09,0.00,0.10,15104,0.09,0.00,0.09,15104
"tupleFunction",0.09,0.00,0.10,15132,0.09,0.00,0.10,15132,0.09,0.00,0.10,15132
"tupleMember",0.15,0.01,0.17,32968,0.14,0.02,0.17,32968,0.15,0.00,0.16,32968
"tuplePolymorphism",0.10,0.00,0.10,15136,0.10,0.00,0.10,15136,0.09,0.01,0.10,15136
"tupleVariadic",1.00,0.13,1.14,239372,0.98,0.12,1.12,239372,1.01,0.10,1.11,239372
"typedefRedef",0.08,0.00,0.09,14840,0.08,0.00,0.09,14840,0.08,0.00,0.09,14840
"typeof",0.09,0.00,0.09,14836,0.08,0.00,0.09,14836,0.08,0.00,0.09,14836
"variableDeclarator",0.08,0.00,0.10,15196,0.09,0.00,0.09,15196,0.09,0.00,0.09,15196
"voidPtr",0.08,0.00,0.09,14836,0.09,0.00,0.09,14836,0.08,0.01,0.09,14836
"with-statement",0.08,0.01,0.10,15120,0.09,0.00,0.10,15124,0.09,0.01,0.10,15124
