"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",4.65,0.02,4.68,29520,4.65,0.02,4.67,29520,4.67,0.03,4.71,29520
"array",0.27,0.00,0.27,5704,0.27,0.00,0.28,5704,0.26,0.00,0.27,5700
"ato",12.89,0.22,13.12,265560,12.83,0.25,13.10,265560,12.98,0.22,13.22,265560
"attributes",0.32,0.00,0.32,5732,0.31,0.00,0.32,5732,0.32,0.00,0.32,5732
"avl_test",3.28,0.01,3.29,31336,3.29,0.04,3.34,31336,3.26,0.03,3.30,31336
"barge",14.43,0.03,14.47,33088,14.39,0.02,14.42,33088,14.29,0.04,14.34,33088
"block",18.74,0.05,18.80,68692,18.78,0.06,18.86,68692,18.82,0.03,18.86,68692
"boundedBufferEXT",16.63,0.08,16.72,86284,16.86,0.06,16.93,86284,16.61,0.07,16.69,86284
"boundedBufferINT",16.74,0.08,16.83,86292,17.05,0.09,17.15,86288,16.76,0.07,16.83,86292
"castError",0.26,0.00,0.26,5700,0.27,0.00,0.27,5700,0.26,0.00,0.27,5700
"cast",0.26,0.00,0.27,5700,0.26,0.00,0.26,5700,0.27,0.00,0.27,5700
"completeTypeError",0.26,0.00,0.26,5704,0.26,0.00,0.26,5704,0.27,0.00,0.27,5704
"coroutineYield",17.60,0.02,17.64,33284,17.51,0.03,17.55,33284,17.72,0.02,17.75,33284
"counter",0.27,0.00,0.27,5704,0.27,0.00,0.27,5704,0.27,0.00,0.27,5704
"ctor-autogen",0.84,0.00,0.85,8732,0.81,0.01,0.82,8732,0.84,0.00,0.85,8732
"datingService",15.59,0.02,15.62,32772,15.41,0.02,15.44,32772,14.92,0.02,14.95,32772
"declarationSpecifier",0.52,0.00,0.53,5764,0.54,0.00,0.55,5764,0.54,0.00,0.54,5764
"disjoint",18.93,0.04,18.99,86500,18.99,0.08,19.08,86500,18.70,0.07,18.78,86500
"dtor-early-exit",5.64,0.07,5.72,85172,5.68,0.03,5.73,85172,5.62,0.08,5.71,85172
"dtor",13.81,0.02,13.84,33072,13.80,0.04,13.85,33072,13.66,0.03,13.70,33072
"else",14.19,0.14,14.34,165232,14.20,0.10,14.32,165232,14.38,0.10,14.50,165232
"enum",0.27,0.00,0.27,5704,0.27,0.00,0.27,5704,0.28,0.00,0.28,5704
"expression",0.34,0.00,0.35,6448,0.33,0.00,0.34,6448,0.32,0.00,0.32,6448
"extension",0.39,0.00,0.40,15852,0.40,0.00,0.40,15852,0.39,0.02,0.41,15852
"fallthrough",0.26,0.00,0.26,5700,0.26,0.00,0.26,5700,0.26,0.00,0.26,5700
"fibonacci",15.92,1.46,17.40,2125836,15.83,1.53,17.38,2125836,15.89,1.46,17.38,2125836
"fmtLines",7.12,0.00,7.13,9096,7.12,0.00,7.13,9096,7.06,0.00,7.07,9096
"function-operator",6.37,0.06,6.44,84932,6.38,0.06,6.45,84932,6.41,0.05,6.47,84932
"functions",0.27,0.00,0.27,5728,0.29,0.00,0.29,5724,0.26,0.00,0.27,5728
"gccExtensions",0.38,0.00,0.39,15844,0.38,0.01,0.40,15844,0.37,0.00,0.38,15844
"genericUnion",0.41,0.00,0.41,6856,0.42,0.00,0.42,6856,0.42,0.00,0.42,6856
"globals",3.22,0.07,3.29,84480,3.30,0.05,3.36,84480,3.25,0.07,3.32,84476
"heap",14.36,0.03,14.40,32788,14.38,0.02,14.41,32788,14.48,0.04,14.52,32788
"hello",0.55,0.00,0.55,5984,0.55,0.00,0.55,5984,0.56,0.00,0.57,5984
"identFuncDeclarator",0.26,0.00,0.26,5700,0.26,0.00,0.26,5700,0.26,0.00,0.26,5696
"identity",4.96,0.08,5.04,85116,4.95,0.09,5.05,85116,4.97,0.07,5.05,85116
"identParamDeclarator",0.27,0.00,0.27,5724,0.27,0.00,0.27,5724,0.28,0.00,0.28,5724
"ifwhileCtl",0.64,0.00,0.64,5940,0.65,0.00,0.66,5940,0.65,0.00,0.65,5940
"init_once",0.39,0.00,0.39,5660,0.38,0.00,0.39,5660,0.39,0.00,0.39,5660
"KRfunctions",0.41,0.00,0.41,26212,0.40,0.01,0.41,26212,0.38,0.00,0.39,26212
"labelledExit",0.32,0.00,0.32,5700,0.33,0.00,0.33,5700,0.33,0.00,0.33,5700
"limits",0.77,0.00,0.78,5860,0.79,0.00,0.79,5860,0.77,0.00,0.77,5860
"literals",2.46,0.06,2.53,84384,2.47,0.06,2.54,84384,2.59,0.06,2.66,84384
"matrixSum",13.91,0.04,13.95,33116,13.90,0.02,13.93,33116,13.95,0.01,13.97,33116
"maybe",0.57,0.00,0.57,8000,0.58,0.00,0.58,8000,0.56,0.00,0.57,8000
"memberCtors",0.32,0.00,0.32,5708,0.33,0.00,0.33,5708,0.33,0.00,0.33,5708
"monitor",13.73,0.03,13.77,33064,13.86,0.03,13.90,33064,13.71,0.02,13.75,33064
"nested-types",0.45,0.00,0.45,6840,0.44,0.00,0.44,6840,0.44,0.00,0.45,6840
