"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alloc",8.26,0.05,8.33,52056,8.32,0.07,8.40,52056,8.24,0.08,8.34,52056
"array",0.43,0.01,0.44,18772,0.43,0.01,0.44,18772,0.44,0.01,0.45,18772
"ato",14.18,0.34,14.54,376384,14.22,0.27,14.52,376384,14.14,0.34,14.50,376384
"attributes",0.51,0.02,0.53,19868,0.51,0.02,0.53,19868,0.48,0.04,0.53,19868
"avl_test",4.98,0.10,5.10,52156,5.01,0.09,5.11,52156,5.02,0.08,5.11,52156
"barge",23.90,0.26,24.19,86180,23.84,0.18,24.04,86180,23.87,0.20,24.10,86180
"block",31.16,0.16,31.36,98104,31.18,0.13,31.35,98104,31.21,0.14,31.38,98104
"boundedBufferEXT",26.46,0.16,26.64,119408,26.54,0.14,26.70,119408,26.60,0.14,26.77,119408
"boundedBufferINT",26.68,0.14,26.85,119420,26.58,0.17,26.77,119420,26.59,0.16,26.78,119420
"castError",0.42,0.00,0.43,18768,0.42,0.02,0.44,18764,0.41,0.02,0.43,18768
"cast",0.43,0.00,0.44,18768,0.40,0.02,0.43,18768,0.41,0.02,0.43,18768
"completeTypeError",0.42,0.00,0.43,18776,0.40,0.02,0.43,18776,0.42,0.00,0.43,18776
"coroutineYield",29.18,0.34,29.55,88132,29.24,0.30,29.56,88132,29.35,0.29,29.66,88132
"counter",0.42,0.02,0.45,19040,0.43,0.01,0.45,19040,0.44,0.01,0.45,19040
"ctor-autogen",1.12,0.04,1.16,25976,1.13,0.03,1.17,25976,1.12,0.03,1.16,25976
"datingService",24.87,0.09,24.99,84752,24.72,0.13,24.87,84700,24.89,0.16,25.08,84752
"declarationSpecifier",0.90,0.04,0.95,27832,0.92,0.03,0.95,27832,0.92,0.02,0.95,27832
"disjoint",31.17,0.19,31.39,119672,31.18,0.19,31.40,119672,31.04,0.22,31.29,119672
"dtor-early-exit",7.64,0.10,7.76,118320,7.58,0.11,7.70,118320,7.57,0.09,7.67,118320
"dtor",22.68,0.12,22.83,83968,22.74,0.10,22.87,83964,22.70,0.10,22.83,83964
"else",21.53,0.32,21.87,232060,21.51,0.35,21.89,232060,21.55,0.34,21.92,232060
"enum",0.45,0.01,0.46,18772,0.44,0.01,0.46,18772,0.44,0.01,0.46,18772
"expression",0.54,0.01,0.55,18768,0.52,0.01,0.53,18768,0.52,0.00,0.54,18768
"extension",0.56,0.00,0.57,28076,0.56,0.02,0.58,28076,0.57,0.00,0.57,28076
"fallthrough",0.42,0.01,0.43,18768,0.43,0.00,0.44,18768,0.42,0.01,0.43,18768
"fibonacci",19.44,2.13,21.59,2999040,19.38,2.16,21.56,2999040,19.48,1.98,21.49,2999040
"fmtLines",11.36,0.06,11.43,43284,11.48,0.06,11.55,43284,11.38,0.06,11.45,43284
"function-operator",9.34,0.06,9.41,119488,9.18,0.12,9.32,119484,9.17,0.11,9.30,119488
"functions",0.43,0.02,0.45,19068,0.43,0.01,0.45,19068,0.44,0.00,0.45,19068
"gccExtensions",0.52,0.01,0.54,28016,0.53,0.00,0.54,28016,0.52,0.00,0.53,28016
"genericUnion",0.59,0.01,0.60,20260,0.59,0.02,0.62,20260,0.62,0.01,0.63,20260
"globals",3.48,0.08,3.57,117476,3.45,0.11,3.56,117476,3.50,0.09,3.60,117476
"heap",23.85,0.14,24.01,80948,23.84,0.09,23.96,80948,23.78,0.11,23.92,80948
"hello",0.86,0.01,0.88,21888,0.85,0.01,0.86,21888,0.86,0.02,0.88,21888
"identFuncDeclarator",0.42,0.00,0.43,18768,0.40,0.02,0.42,18768,0.42,0.00,0.42,18768
"identity",4.72,0.10,4.83,122708,4.73,0.12,4.86,122708,4.78,0.10,4.89,122708
"identParamDeclarator",0.42,0.01,0.44,18796,0.42,0.00,0.43,18796,0.43,0.00,0.44,18796
"ifwhileCtl",1.04,0.00,1.05,21888,1.05,0.01,1.07,21888,1.02,0.02,1.04,21888
"init_once",0.62,0.01,0.64,19596,0.63,0.00,0.64,19596,0.63,0.01,0.65,19596
"KRfunctions",0.61,0.06,0.68,117304,0.61,0.06,0.68,117304,0.60,0.08,0.68,117304
"labelledExit",0.52,0.00,0.53,18768,0.53,0.01,0.54,18768,0.52,0.00,0.53,18768
"limits",1.24,0.01,1.26,18964,1.25,0.00,1.25,18964,1.24,0.01,1.26,18964
"literals",2.66,0.10,2.77,117340,2.68,0.09,2.77,117340,2.69,0.08,2.78,117340
"matrixSum",22.81,0.09,22.94,84080,22.78,0.13,22.96,84080,22.74,0.12,22.90,84080
"maybe",0.74,0.02,0.77,21696,0.75,0.02,0.77,21696,0.77,0.01,0.78,21696
"memberCtors",0.51,0.00,0.52,20028,0.50,0.01,0.52,20028,0.52,0.00,0.53,20028
"monitor",22.50,0.24,22.78,84768,22.57,0.24,22.85,84768,22.78,0.23,23.05,84768
"nested-types",0.63,0.00,0.64,20972,0.62,0.01,0.64,20972,0.62,0.02,0.65,20972
"numericConstants",0.41,0.01,0.43,18768,0.41,0.01,0.42,18768,0.40,0.01,0.42,18768
"operators",0.52,0.01,0.54,19040,0.52,0.01,0.53,19040,0.52,0.01,0.53,19040
"pingpong",11.44,0.04,11.50,43224,11.41,0.04,11.46,43224,11.35,0.08,11.45,43224
"polymorphism",0.81,0.08,0.89,140184,0.81,0.08,0.90,140184,0.82,0.08,0.91,140184
"preempt",26.76,0.13,26.93,84244,26.85,0.16,27.05,84304,26.76,0.15,26.95,84304
"quickSort",25.21,0.70,25.96,996036,25.28,0.61,25.93,996036,25.11,0.70,25.85,996036
"quoted_keyword",0.99,0.06,1.06,53072,1.01,0.03,1.05,53072,1.02,0.04,1.07,53072
"random",7.27,0.05,7.34,46728,7.30,0.07,7.38,46728,7.31,0.06,7.38,46728
"rational",17.00,0.19,17.22,157624,17.02,0.23,17.29,157624,16.86,0.18,17.07,157624
"recurse",24.44,0.20,24.67,84796,24.09,0.20,24.33,84796,24.23,0.24,24.50,84796
"references",0.78,0.01,0.79,32012,0.76,0.04,0.81,32012,0.76,0.02,0.79,32012
"result",1.04,0.01,1.05,23484,1.03,0.01,1.04,23484,1.04,0.01,1.05,23484
"runningTotal",19.42,2.05,21.50,2999064,19.78,1.92,21.73,2999064,19.56,2.04,21.63,2999064
"self-assignment",0.49,0.00,0.50,19292,0.48,0.01,0.49,19292,0.51,0.00,0.51,19292
"shortCircuit",0.98,0.02,1.01,25040,0.98,0.02,1.01,25040,0.98,0.02,1.01,25040
"simpleGenericTriple",0.86,0.01,0.88,27176,0.87,0.02,0.89,27176,0.88,0.01,0.90,27176
"stdincludes",21.16,0.16,21.36,52780,21.24,0.16,21.44,52780,21.23,0.18,21.44,52780
"switch",0.51,0.01,0.53,18768,0.52,0.01,0.53,18768,0.52,0.00,0.53,18768
"sync",23.26,1.78,25.07,1191428,23.56,1.89,25.48,1191428,23.68,3.24,26.96,1191428
"thread",23.10,0.16,23.30,123040,23.11,0.16,23.31,123040,23.19,0.17,23.39,123040
"tupleCast",0.44,0.00,0.44,18768,0.42,0.00,0.42,18768,0.42,0.00,0.42,18768
"tupleMember",0.81,0.04,0.86,54544,0.83,0.04,0.87,54544,0.80,0.05,0.86,54544
"tuplePolymorphism",0.70,0.04,0.74,42600,0.70,0.03,0.73,42600,0.70,0.02,0.73,42600
"tupleVariadic",4.31,0.04,4.37,46932,4.28,0.04,4.32,46932,4.24,0.03,4.28,46932
"typedefRedef",0.41,0.00,0.42,18768,0.40,0.01,0.41,18768,0.41,0.01,0.42,18768
"typeof",0.41,0.00,0.42,18768,0.43,0.00,0.43,18768,0.41,0.02,0.43,18768
"user_literals",3.02,0.08,3.11,117996,3.02,0.08,3.11,117996,3.00,0.10,3.11,117996
"variableDeclarator",0.43,0.01,0.45,18856,0.44,0.00,0.44,18856,0.42,0.00,0.43,18856
"voidPtr",0.40,0.02,0.42,18768,0.40,0.01,0.42,18768,0.42,0.00,0.42,18768
"wait",30.56,0.12,30.74,91460,30.60,0.11,30.76,91460,30.56,0.15,30.75,91460
"when",25.57,0.10,25.71,120640,25.56,0.15,25.76,120640,25.45,0.09,25.58,120640
"with-statement",0.62,0.02,0.65,20980,0.62,0.02,0.65,20980,0.63,0.00,0.64,20980
