"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",0.70,0.00,0.70,7668,0.68,0.00,0.69,7668,0.68,0.00,0.69,7668
"alloc",0.42,0.00,0.42,5712,0.40,0.00,0.40,5712,0.36,0.00,0.37,5712
"array",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"ato",0.62,0.00,0.62,6684,0.59,0.00,0.59,6684,0.59,0.00,0.59,6684
"attributes",0.02,0.00,0.02,4532,0.02,0.00,0.03,4532,0.02,0.00,0.03,4532
"avl_test",0.24,0.00,0.24,5548,0.22,0.00,0.22,5548,0.23,0.00,0.23,5548
"barge",0.95,0.00,0.95,6912,0.96,0.00,0.96,6912,1.04,0.00,1.05,6912
"block",1.36,0.00,1.37,8296,1.34,0.00,1.35,8296,1.26,0.00,1.26,8296
"boundedBufferEXT",1.14,0.00,1.15,7348,1.12,0.00,1.13,7348,1.04,0.00,1.05,7348
"boundedBufferINT",1.02,0.00,1.03,7524,1.19,0.00,1.19,7524,1.06,0.00,1.07,7524
"castError",0.01,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"cast",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"completeTypeError",0.02,0.00,0.02,4504,0.02,0.00,0.02,4504,0.02,0.00,0.02,4504
"complex",0.24,0.00,0.25,7172,0.24,0.00,0.24,7172,0.23,0.00,0.24,7172
"coroutineYield",1.16,0.00,1.16,7076,1.16,0.00,1.16,7076,1.13,0.00,1.13,7076
"counter",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"ctor-autogen",0.04,0.00,0.05,4568,0.05,0.00,0.05,4568,0.05,0.00,0.05,4568
"datingService",0.97,0.00,0.98,6696,1.10,0.00,1.10,6696,0.97,0.00,0.97,6696
"declarationSpecifier",0.04,0.00,0.04,4564,0.03,0.00,0.04,4564,0.03,0.00,0.03,4564
"designations",0.04,0.00,0.04,4528,0.04,0.00,0.04,4528,0.04,0.00,0.04,4528
"disjoint",1.24,0.00,1.24,7732,1.25,0.00,1.25,7732,1.35,0.00,1.36,7732
"div",0.26,0.00,0.26,8964,0.26,0.00,0.26,8964,0.27,0.00,0.28,8964
"dtor-early-exit",0.48,0.00,0.49,6328,0.48,0.00,0.48,6324,0.45,0.00,0.46,6328
"dtor",0.88,0.00,0.89,6808,0.96,0.00,0.96,6808,0.95,0.00,0.95,6808
"else",0.84,0.00,0.84,7412,0.88,0.00,0.89,7412,0.94,0.00,0.95,7412
"enum",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"expression",0.02,0.00,0.03,4500,0.02,0.00,0.03,4500,0.02,0.00,0.03,4500
"extension",0.02,0.00,0.03,4896,0.02,0.00,0.03,4896,0.02,0.00,0.03,4896
"fallthrough",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"fibonacci",0.57,0.00,0.57,8488,0.50,0.00,0.50,8488,0.56,0.00,0.57,8488
"fmtLines",0.50,0.00,0.50,6064,0.45,0.00,0.46,6064,0.44,0.00,0.45,6064
"forall",0.43,0.00,0.44,20844,0.42,0.01,0.43,20844,0.43,0.00,0.44,20844
"forctrl",0.32,0.00,0.33,12616,0.32,0.00,0.33,12616,0.33,0.00,0.33,12616
"fstream_test",0.29,0.00,0.29,10108,0.28,0.00,0.29,10108,0.29,0.00,0.29,10108
"function-operator",0.49,0.00,0.49,8304,0.48,0.00,0.48,8304,0.49,0.00,0.50,8304
"functions",0.02,0.00,0.02,4524,0.02,0.00,0.02,4524,0.02,0.00,0.02,4524
"gccExtensions",0.03,0.00,0.03,4900,0.02,0.00,0.03,4900,0.02,0.00,0.03,4900
"genericUnion",0.02,0.00,0.02,4528,0.02,0.00,0.02,4528,0.02,0.00,0.03,4528
"globals",0.20,0.00,0.20,5700,0.20,0.00,0.21,5700,0.20,0.00,0.20,5700
"gmp",0.61,0.00,0.61,7868,0.63,0.00,0.64,7868,0.62,0.00,0.62,7868
"heap",0.99,0.00,0.99,6280,1.00,0.00,1.00,6280,1.04,0.00,1.05,6280
"hello",0.08,0.00,0.08,5340,0.08,0.00,0.08,5340,0.08,0.00,0.08,5340
"identFuncDeclarator",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"identity",0.39,0.00,0.39,6152,0.39,0.00,0.39,6152,0.39,0.00,0.39,6152
"identParamDeclarator",0.02,0.00,0.02,4524,0.02,0.00,0.02,4524,0.02,0.00,0.02,4524
"ifwhileCtl",0.09,0.00,0.09,5376,0.09,0.00,0.09,5376,0.09,0.00,0.09,5376
"init_once",0.04,0.00,0.04,4648,0.03,0.00,0.04,4648,0.04,0.00,0.04,4648
"io1",2.13,0.00,2.14,25664,2.11,0.02,2.14,25664,2.11,0.02,2.14,25664
"io2",7.90,0.07,7.98,70380,8.00,0.05,8.05,70372,7.99,0.05,8.05,70380
"KRfunctions",0.02,0.00,0.02,4508,0.02,0.00,0.02,4508,0.02,0.00,0.02,4508
"labelledExit",0.02,0.00,0.03,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"limits",0.09,0.00,0.10,4656,0.10,0.00,0.10,4656,0.10,0.00,0.10,4656
"literals",0.21,0.00,0.21,5664,0.20,0.00,0.21,5664,0.20,0.00,0.20,5664
"math1",3.19,0.01,3.21,28968,3.24,0.01,3.26,28968,3.22,0.01,3.24,28968
"math2",4.74,0.02,4.76,21112,4.78,0.02,4.81,21112,4.74,0.01,4.75,21112
"math3",3.39,0.02,3.41,20736,3.38,0.01,3.39,20736,3.42,0.01,3.44,20736
"math4",3.54,0.00,3.55,12484,3.56,0.01,3.57,12484,3.57,0.01,3.58,12484
"matrixSum",1.02,0.00,1.02,6852,1.01,0.00,1.01,6852,0.90,0.00,0.90,6852
"maybe",0.04,0.00,0.04,4532,0.04,0.00,0.04,4532,0.04,0.00,0.04,4532
"memberCtors",0.02,0.00,0.02,4508,0.02,0.00,0.03,4508,0.02,0.00,0.02,4508
"minmax",2.24,0.00,2.25,12076,2.22,0.01,2.24,12076,2.26,0.00,2.27,12076
"monitor",0.99,0.00,1.00,6852,1.00,0.00,1.00,6852,0.90,0.00,0.90,6852
"multi-monitor",1.04,0.00,1.04,11780,1.05,0.00,1.06,11780,0.99,0.00,1.00,11780
"nested-types",0.02,0.00,0.02,4512,0.02,0.00,0.02,4512,0.02,0.00,0.02,4512
"numericConstants",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"operators",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"pingpong",0.43,0.00,0.43,6124,0.48,0.00,0.48,6124,0.48,0.00,0.49,6124
"polymorphism",0.07,0.01,0.08,9800,0.08,0.00,0.08,9800,0.08,0.00,0.09,9800
"preempt",1.16,0.00,1.17,6544,1.14,0.00,1.15,6544,1.17,0.00,1.17,6544
"prodcons",0.88,0.00,0.89,7304,0.82,0.00,0.83,7304,0.91,0.00,0.91,7304
"quickSort",0.96,0.00,0.96,7204,1.09,0.00,1.09,7204,0.99,0.00,0.99,7204
"quoted_keyword",0.06,0.00,0.06,5616,0.05,0.00,0.06,5616,0.06,0.00,0.06,5616
"random",0.49,0.00,0.49,6292,0.51,0.00,0.52,6292,0.50,0.00,0.50,6292
"rational",10.58,0.20,10.80,60224,10.61,0.23,10.86,60224,10.55,0.17,10.73,60224
"recurse",0.96,0.00,0.96,6956,1.03,0.00,1.03,6956,1.06,0.00,1.06,6956
"references",0.04,0.00,0.04,4664,0.04,0.00,0.04,4664,0.04,0.00,0.04,4664
"result",0.06,0.00,0.06,4696,0.05,0.00,0.05,4696,0.06,0.00,0.06,4696
"runningTotal",0.50,0.00,0.50,8496,0.54,0.00,0.54,8496,0.51,0.00,0.51,8496
"searchsort",1.83,0.00,1.83,14556,1.84,0.01,1.85,14556,1.85,0.00,1.86,14556
"self-assignment",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"shortCircuit",0.06,0.00,0.06,5288,0.07,0.00,0.07,5288,0.06,0.00,0.07,5288
"simpleGenericTriple",0.03,0.00,0.03,4516,0.03,0.00,0.03,4516,0.03,0.00,0.03,4516
"statement",1.32,0.00,1.32,8292,1.31,0.00,1.32,8292,1.36,0.00,1.37,8292
"stdincludes",1.15,0.00,1.15,6348,1.23,0.00,1.23,6348,1.06,0.00,1.07,6348
"sum",1.16,0.00,1.16,10076,1.13,0.01,1.14,10076,1.15,0.00,1.16,10076
"swap",3.07,0.00,3.07,13028,3.08,0.00,3.08,13028,3.06,0.00,3.07,13028
"switch",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.03,4500
"sync",0.14,0.00,0.14,4756,0.13,0.00,0.13,4756,0.13,0.00,0.13,4756
"thread",1.04,0.00,1.05,7332,0.96,0.00,0.97,7332,1.05,0.00,1.05,7332
"time",0.58,0.00,0.58,10600,0.58,0.00,0.59,10600,0.58,0.00,0.59,10600
"tupleAssign",0.68,0.00,0.69,11192,0.68,0.00,0.69,11192,0.68,0.00,0.69,11188
"tupleCast",0.02,0.00,0.02,4524,0.02,0.00,0.02,4524,0.02,0.00,0.02,4524
"tupleFunction",0.02,0.00,0.03,4532,0.02,0.00,0.03,4532,0.02,0.00,0.03,4532
"tupleMember",0.02,0.00,0.03,4544,0.02,0.00,0.02,4544,0.02,0.00,0.03,4544
"tuplePolymorphism",0.03,0.00,0.03,4664,0.03,0.00,0.03,4664,0.03,0.00,0.03,4664
"tupleVariadic",0.18,0.00,0.18,5036,0.18,0.00,0.18,5036,0.17,0.00,0.17,5036
"typedefRedef",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"typeof",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"user_literals",0.21,0.00,0.21,5748,0.21,0.00,0.21,5748,0.21,0.00,0.21,5748
"variableDeclarator",0.02,0.00,0.02,4576,0.02,0.00,0.02,4576,0.02,0.00,0.02,4576
"vector",0.80,0.00,0.80,7384,0.79,0.00,0.79,7384,0.80,0.00,0.80,7384
"voidPtr",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
"wait",1.22,0.00,1.22,7328,1.19,0.00,1.19,7328,1.35,0.00,1.35,7328
"when",1.18,0.00,1.19,7368,1.06,0.00,1.06,7372,1.07,0.00,1.08,7372
"with-statement",0.02,0.00,0.03,4516,0.02,0.00,0.02,4516,0.02,0.00,0.03,4516
