"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",0.68,0.02,0.70,22364,0.69,0.01,0.70,22364,0.69,0.01,0.70,22364
"alloc",0.71,0.00,0.72,8560,0.72,0.00,0.72,8560,0.72,0.00,0.72,8560
"array",0.03,0.00,0.04,5576,0.03,0.00,0.04,5576,0.03,0.00,0.04,5576
"ato",0.64,0.01,0.65,11728,0.63,0.02,0.65,11728,0.63,0.02,0.66,11728
"attributes",0.04,0.00,0.05,5672,0.03,0.00,0.04,5672,0.04,0.00,0.04,5672
"avl_test",0.33,0.00,0.34,7236,0.34,0.00,0.34,7236,0.34,0.00,0.34,7236
"barge",1.85,0.02,1.88,11784,1.86,0.02,1.88,11780,1.83,0.04,1.87,11784
"block",2.42,0.04,2.46,12944,2.40,0.06,2.46,12944,2.38,0.08,2.46,12944
"boundedBufferEXT",1.97,0.04,2.02,13756,2.00,0.02,2.02,13756,1.98,0.03,2.02,13756
"boundedBufferINT",1.99,0.04,2.04,13772,1.97,0.06,2.04,13772,2.00,0.03,2.04,13772
"castError",0.04,0.00,0.04,5576,0.03,0.00,0.04,5576,0.03,0.00,0.03,5576
"cast",0.03,0.00,0.04,5576,0.03,0.00,0.03,5576,0.03,0.00,0.03,5576
"completeTypeError",0.03,0.00,0.03,5576,0.03,0.00,0.03,5576,0.03,0.00,0.03,5576
"complex",0.26,0.00,0.26,24320,0.25,0.01,0.27,24320,0.24,0.02,0.26,24320
"coroutineYield",2.30,0.04,2.35,12856,2.30,0.03,2.34,12856,2.26,0.06,2.33,12856
"counter",0.03,0.00,0.04,5576,0.03,0.00,0.04,5576,0.04,0.00,0.04,5576
"ctor-autogen",0.06,0.00,0.06,5768,0.06,0.00,0.07,5768,0.06,0.00,0.07,5768
"datingService",1.95,0.02,1.98,11040,1.96,0.02,1.98,11040,1.96,0.02,1.99,11040
"declarationSpecifier",0.06,0.00,0.06,5868,0.05,0.00,0.06,5868,0.06,0.00,0.06,5868
"designations",0.07,0.00,0.08,5816,0.07,0.00,0.07,5816,0.06,0.00,0.07,5816
"disjoint",2.48,0.05,2.54,14024,2.43,0.05,2.49,14024,2.44,0.03,2.48,14024
"div",0.40,0.00,0.41,10992,0.39,0.00,0.40,10992,0.40,0.00,0.40,10992
"dtor-early-exit",0.53,0.02,0.55,12636,0.54,0.00,0.55,12636,0.53,0.01,0.55,12636
"dtor",1.75,0.04,1.80,11076,1.76,0.04,1.81,11076,1.77,0.02,1.80,11076
"else",1.52,0.02,1.55,15820,1.54,0.01,1.55,15820,1.53,0.01,1.55,15820
"enum",0.04,0.00,0.04,5576,0.04,0.00,0.04,5576,0.04,0.00,0.04,5576
"expression",0.04,0.00,0.05,5576,0.04,0.00,0.04,5576,0.04,0.00,0.05,5576
"extension",0.04,0.00,0.04,5608,0.04,0.00,0.04,5608,0.04,0.00,0.04,5608
"fallthrough",0.04,0.00,0.04,5576,0.03,0.00,0.03,5576,0.03,0.00,0.03,5576
"fibonacci",0.87,0.02,0.90,33084,0.86,0.02,0.89,33084,0.86,0.02,0.89,33084
"fmtLines",0.84,0.00,0.84,9116,0.83,0.00,0.84,9116,0.84,0.00,0.85,9116
"forall",0.32,0.01,0.34,27932,0.33,0.00,0.34,27932,0.33,0.02,0.35,27932
"forctrl",0.26,0.02,0.29,73312,0.25,0.03,0.29,73312,0.25,0.04,0.29,73312
"fstream_test",0.20,0.03,0.23,49780,0.21,0.02,0.23,49780,0.18,0.04,0.23,49780
"function-operator",0.64,0.02,0.66,16520,0.65,0.00,0.66,16520,0.65,0.00,0.66,16520
"functions",0.04,0.00,0.04,5664,0.03,0.00,0.03,5664,0.04,0.00,0.04,5664
"gccExtensions",0.04,0.00,0.04,5680,0.04,0.00,0.04,5680,0.04,0.00,0.04,5680
"genericUnion",0.03,0.00,0.04,5600,0.04,0.00,0.04,5600,0.04,0.00,0.04,5600
"globals",0.17,0.00,0.18,11748,0.17,0.00,0.18,11748,0.18,0.00,0.18,11748
"gmp",0.64,0.00,0.65,21544,0.64,0.00,0.65,21544,0.65,0.00,0.66,21544
"heap",1.85,0.04,1.89,10676,1.83,0.05,1.89,10676,1.84,0.04,1.89,10676
"hello",0.08,0.00,0.09,5996,0.09,0.00,0.09,5996,0.08,0.00,0.09,5996
"identFuncDeclarator",0.03,0.00,0.03,5576,0.03,0.00,0.03,5576,0.03,0.00,0.03,5576
"identity",0.29,0.00,0.30,13360,0.28,0.01,0.30,13360,0.29,0.00,0.30,13348
