"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"abs",0.68,0.00,0.69,10440,0.64,0.00,0.64,10440,0.63,0.00,0.64,10440
"alloc",0.26,0.00,0.27,5924,0.26,0.00,0.26,5924,0.26,0.00,0.27,5924
"array",0.01,0.00,0.01,4484,0.01,0.00,0.01,4484,0.01,0.00,0.01,4484
"ato",0.41,0.00,0.41,7712,0.42,0.00,0.42,7712,0.42,0.00,0.42,7712
"attributes",0.02,0.00,0.02,4512,0.02,0.00,0.02,4512,0.01,0.00,0.02,4512
"avl_test",0.14,0.00,0.14,5548,0.14,0.00,0.14,5548,0.14,0.00,0.14,5548
"barge",0.67,0.00,0.67,8248,0.67,0.00,0.67,8248,0.67,0.00,0.67,8248
"block",0.89,0.00,0.89,8624,0.89,0.00,0.89,8624,0.89,0.00,0.89,8624
"boundedBufferEXT",0.76,0.00,0.76,9052,0.74,0.00,0.75,9052,0.74,0.00,0.74,9052
"boundedBufferINT",0.74,0.00,0.75,9064,0.74,0.00,0.75,9064,0.75,0.00,0.75,9060
"castError",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"cast",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"completeTypeError",0.01,0.00,0.01,4484,0.01,0.00,0.01,4484,0.01,0.00,0.01,4484
"complex",0.16,0.00,0.17,10512,0.17,0.00,0.17,10512,0.16,0.00,0.17,10512
"coroutineYield",0.82,0.00,0.82,7672,0.82,0.00,0.82,7672,0.82,0.00,0.82,7672
"counter",0.01,0.00,0.02,4484,0.01,0.00,0.01,4484,0.01,0.00,0.02,4484
"ctor-autogen",0.02,0.00,0.03,4608,0.03,0.00,0.03,4608,0.03,0.00,0.03,4608
"datingService",0.70,0.00,0.70,7064,0.70,0.00,0.70,7064,0.70,0.00,0.70,7064
"declarationSpecifier",0.02,0.00,0.02,4548,0.02,0.00,0.02,4548,0.02,0.00,0.02,4548
"designations",0.02,0.00,0.03,4568,0.02,0.00,0.03,4568,0.02,0.00,0.03,4568
"disjoint",0.88,0.00,0.88,9348,0.88,0.00,0.88,9348,0.88,0.00,0.88,9348
"div",0.16,0.00,0.17,7140,0.16,0.00,0.17,7140,0.16,0.00,0.17,7140
"dtor-early-exit",0.32,0.00,0.32,7708,0.31,0.00,0.32,7708,0.31,0.00,0.32,7708
"dtor",0.65,0.00,0.65,7252,0.64,0.01,0.65,7252,0.65,0.00,0.65,7252
"else",0.64,0.00,0.64,9520,0.64,0.00,0.64,9520,0.64,0.00,0.64,9520
"enum",0.01,0.00,0.01,4484,0.01,0.00,0.01,4484,0.01,0.00,0.01,4484
"expression",0.02,0.00,0.02,4480,0.02,0.00,0.02,4480,0.02,0.00,0.02,4476
"extension",0.02,0.00,0.02,4768,0.02,0.00,0.02,4768,0.02,0.00,0.02,4768
"fallthrough",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"fibonacci",0.33,0.00,0.34,10464,0.33,0.00,0.34,10464,0.33,0.00,0.34,10464
"fmtLines",0.32,0.00,0.32,6240,0.31,0.00,0.31,6240,0.31,0.00,0.32,6240
"forall",0.24,0.00,0.24,15172,0.23,0.00,0.24,15172,0.23,0.00,0.24,15168
"forctrl",0.16,0.00,0.17,14452,0.16,0.00,0.16,14452,0.16,0.00,0.17,14452
"fstream_test",0.17,0.00,0.17,11308,0.17,0.00,0.17,11308,0.17,0.00,0.17,11308
