"test","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",0.53,0.00,0.53,7032
"assert",0.04,0.00,0.04,4760
"common",0.04,0.00,0.04,4868
"coroutine",0.52,0.00,0.52,6988
"debug",0.10,0.00,0.10,5416
"fstream",0.13,0.00,0.13,5752
"heap",0.34,0.00,0.35,6624
"interpose",0.37,0.00,0.37,6428
"iostream",0.05,0.00,0.05,5628
"iterator",0.01,0.00,0.01,4524
"kernel",1.25,0.00,1.25,8448
"limits",0.06,0.00,0.06,5048
"maybe",0.02,0.00,0.02,4600
"monitor",0.63,0.00,0.64,7896
"mutex",0.57,0.00,0.57,7300
"pair",0.02,0.00,0.02,4552
"preemption",1.03,0.01,1.05,8028
"rational",0.62,0.00,0.63,8660
"result",0.02,0.00,0.03,4800
"startup",0.02,0.00,0.02,4680
"stdlib",0.19,0.00,0.19,6100
"thread",0.54,0.00,0.54,6744
"time",0.13,0.00,0.13,8680
"vector",0.22,0.00,0.22,18496
