"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",1.57,0.00,1.58,7420,1.55,0.00,1.56,7420,1.48,0.00,1.49,7420
"assert",0.14,0.00,0.14,5076,0.14,0.00,0.14,5076,0.14,0.00,0.14,5076
"common",0.24,0.00,0.24,5132,0.25,0.00,0.25,5132,0.28,0.00,0.28,5132
"coroutine",1.52,0.00,1.52,7284,1.53,0.00,1.53,7284,1.52,0.00,1.53,7284
"debug",0.34,0.00,0.34,5416,0.36,0.00,0.37,5416,0.35,0.00,0.35,5416
"fstream",0.42,0.00,0.42,5536,0.42,0.00,0.42,5536,0.42,0.00,0.42,5536
"heap",1.09,0.00,1.09,6996,1.08,0.00,1.09,6996,1.10,0.00,1.10,6996
"interpose",1.06,0.00,1.06,5888,1.04,0.00,1.04,5888,1.04,0.00,1.04,5888
"iostream",0.23,0.00,0.24,9976,0.23,0.00,0.23,9976,0.23,0.00,0.24,9976
"iterator",0.06,0.00,0.06,4988,0.06,0.00,0.07,4988,0.06,0.00,0.06,4988
"kernel",3.34,0.00,3.34,8368,3.32,0.00,3.33,8368,3.36,0.01,3.37,8368
"limits",0.16,0.00,0.17,5408,0.15,0.00,0.16,5408,0.16,0.00,0.16,5408
"maybe",0.08,0.00,0.08,5200,0.08,0.00,0.08,5200,0.08,0.00,0.08,5200
"monitor",2.23,0.00,2.23,7900,2.23,0.00,2.23,7920,2.22,0.00,2.23,7920
"mutex",1.65,0.00,1.65,7656,1.65,0.00,1.66,7656,1.66,0.00,1.67,7656
"pair",0.08,0.00,0.08,5336,0.08,0.00,0.08,5336,0.08,0.00,0.08,5336
"preemption",2.77,0.00,2.78,7816,2.78,0.00,2.79,7816,2.80,0.00,2.80,7816
"rational",3.46,0.00,3.47,31824,3.47,0.00,3.48,31824,3.43,0.02,3.46,31824
"result",0.12,0.00,0.13,5860,0.11,0.00,0.11,5860,0.11,0.00,0.11,5860
"startup",0.07,0.00,0.07,5144,0.07,0.00,0.07,5144,0.06,0.00,0.07,5144
"stdlib",0.65,0.00,0.65,5836,0.66,0.00,0.66,5836,0.65,0.00,0.65,5836
"thread",1.56,0.00,1.56,7084,1.56,0.00,1.57,7084,1.57,0.00,1.57,7084
"time",0.81,0.02,0.83,52912,0.80,0.02,0.83,52912,0.80,0.02,0.83,52912
"vector",0.44,0.00,0.45,6424,0.46,0.00,0.46,6424,0.44,0.00,0.44,6424
