"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",2.71,0.02,2.74,31768,2.58,0.05,2.64,31768,2.61,0.02,2.63,31768
"assert",0.16,0.00,0.17,10752,0.18,0.00,0.18,10752,0.16,0.00,0.17,10752
"common",0.28,0.00,0.29,13608,0.28,0.00,0.29,13608,0.28,0.00,0.28,13608
"coroutine",2.66,0.02,2.70,32192,2.75,0.01,2.77,32192,2.64,0.02,2.66,32192
"debug",0.49,0.01,0.51,16580,0.48,0.00,0.49,16580,0.48,0.00,0.49,16580
"fstream",0.61,0.02,0.63,17896,0.66,0.01,0.67,17896,0.62,0.01,0.63,17896
"heap",1.64,0.03,1.68,40524,1.66,0.02,1.69,40524,1.62,0.02,1.65,40524
"interpose",1.76,0.00,1.77,25208,1.76,0.01,1.77,25208,1.75,0.02,1.77,25208
"iostream",0.22,0.01,0.24,12108,0.24,0.01,0.26,12108,0.24,0.00,0.24,12108
"iterator",0.06,0.00,0.07,8280,0.05,0.01,0.06,8280,0.06,0.00,0.06,8280
"kernel",5.99,0.08,6.08,45236,6.02,0.06,6.09,45236,6.22,0.04,6.27,45236
"limits",0.24,0.00,0.24,9040,0.25,0.00,0.25,9040,0.24,0.00,0.24,9040
"maybe",0.08,0.00,0.08,8764,0.08,0.00,0.08,8764,0.08,0.00,0.08,8764
"monitor",3.69,0.03,3.73,31376,3.58,0.02,3.62,31376,3.65,0.00,3.66,31376
"mutex",2.94,0.02,2.96,32868,2.91,0.02,2.94,32868,2.93,0.02,2.96,32868
"pair",0.07,0.00,0.08,8968,0.08,0.00,0.08,8968,0.08,0.00,0.08,8968
"preemption",5.02,0.05,5.08,40220,5.06,0.06,5.12,40220,5.02,0.04,5.07,40220
"result",0.10,0.00,0.10,9740,0.10,0.00,0.10,9740,0.09,0.00,0.10,9740
"startup",0.07,0.00,0.07,8448,0.07,0.00,0.07,8448,0.07,0.00,0.07,8448
"stdlib",0.94,0.00,0.95,17848,0.93,0.02,0.96,17848,0.97,0.01,0.98,17848
"thread",2.68,0.02,2.71,32112,2.71,0.00,2.72,31868,2.68,0.00,2.69,32112
"time",0.66,0.00,0.67,43568,0.66,0.02,0.68,43568,0.64,0.02,0.67,43568
"vector",0.50,0.00,0.50,15188,0.49,0.00,0.50,15188,0.48,0.00,0.48,15188
