"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",0.86,0.00,0.86,7488,0.86,0.00,0.87,7488,0.86,0.00,0.87,7488
"assert",0.07,0.00,0.07,4844,0.07,0.00,0.07,4844,0.06,0.00,0.07,4844
"common",0.10,0.00,0.11,5012,0.10,0.00,0.11,5012,0.11,0.00,0.11,5012
"coroutine",0.88,0.00,0.88,7260,0.88,0.00,0.88,7260,0.89,0.00,0.90,7260
"debug",0.18,0.00,0.18,5416,0.18,0.00,0.18,5416,0.18,0.00,0.18,5416
"fstream",0.23,0.00,0.23,5708,0.23,0.00,0.23,5708,0.23,0.00,0.23,5708
"heap",0.58,0.00,0.58,6820,0.57,0.00,0.57,6820,0.58,0.00,0.58,6816
"interpose",0.61,0.00,0.62,6288,0.61,0.00,0.61,6288,0.62,0.00,0.62,6288
"iostream",0.12,0.00,0.12,7704,0.12,0.00,0.12,7704,0.12,0.00,0.12,7704
"iterator",0.03,0.00,0.03,4756,0.03,0.00,0.03,4756,0.03,0.00,0.03,4756
"kernel",1.98,0.00,1.98,8732,1.97,0.00,1.98,8732,2.00,0.00,2.00,8856
"limits",0.10,0.00,0.10,5236,0.10,0.00,0.10,5236,0.11,0.00,0.11,5236
"maybe",0.04,0.00,0.04,5016,0.04,0.00,0.04,5016,0.04,0.00,0.04,5016
"monitor",1.20,0.00,1.21,8368,1.21,0.00,1.21,8368,1.21,0.00,1.21,8368
"mutex",0.96,0.00,0.97,7848,0.96,0.00,0.96,7848,0.96,0.00,0.96,7848
"pair",0.04,0.00,0.04,5168,0.04,0.00,0.04,5168,0.04,0.00,0.04,5168
"preemption",1.68,0.00,1.69,8104,1.66,0.00,1.66,8104,1.66,0.00,1.66,8104
"rational",2.22,0.01,2.24,16580,2.26,0.01,2.27,16580,2.20,0.02,2.22,16580
"result",0.06,0.00,0.06,5604,0.06,0.00,0.06,5604,0.05,0.00,0.06,5604
"startup",0.02,0.00,0.03,4912,0.03,0.00,0.03,4912,0.03,0.00,0.03,4912
"stdlib",0.34,0.00,0.34,5936,0.34,0.00,0.34,5936,0.34,0.00,0.34,5936
"thread",0.89,0.00,0.90,7180,0.89,0.00,0.90,7180,0.89,0.00,0.90,7180
"time",0.35,0.00,0.35,19716,0.34,0.01,0.36,19716,0.36,0.00,0.36,19716
"vector",0.21,0.00,0.21,6200,0.21,0.00,0.21,6200,0.22,0.00,0.22,6200
