"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",17.88,0.03,17.93,35396,17.73,0.04,17.78,35396,17.73,0.04,17.79,35396
"assert",0.88,0.00,0.89,6532,0.90,0.00,0.90,6532,0.91,0.00,0.91,6532
"common",1.63,0.00,1.64,6588,1.64,0.00,1.64,6588,1.62,0.00,1.62,6588
"coroutine",17.79,0.03,17.84,37952,17.81,0.02,17.85,37948,17.71,0.03,17.75,37952
"debug",2.81,0.00,2.81,6956,2.77,0.00,2.78,6956,2.79,0.00,2.79,6956
"fstream",3.71,0.00,3.71,7156,3.72,0.00,3.72,7156,3.78,0.00,3.78,7156
"interpose",9.38,0.00,9.38,7220,9.44,0.00,9.45,7216,9.36,0.00,9.37,7220
"iterator",0.37,0.00,0.37,6444,0.37,0.00,0.38,6444,0.36,0.00,0.36,6444
"limits",1.34,0.00,1.34,6864,1.37,0.00,1.37,6864,1.40,0.00,1.40,6864
"maybe",0.72,0.00,0.72,9792,0.72,0.00,0.72,9792,0.75,0.00,0.76,9792
"monitor",21.00,0.03,21.05,35280,21.00,0.02,21.02,35280,21.10,0.01,21.13,35280
"mutex",19.19,0.04,19.24,36936,19.30,0.04,19.35,36936,19.25,0.02,19.29,36936
"pair",0.78,0.00,0.79,10684,0.76,0.00,0.77,10684,0.75,0.00,0.76,10684
"preemption",32.31,0.05,32.37,37248,32.12,0.06,32.19,37248,32.19,0.04,32.24,37248
"rational",13.86,0.09,13.97,96540,13.74,0.07,13.83,96540,13.74,0.12,13.88,96540
"result",1.16,0.00,1.16,14804,1.14,0.00,1.15,14804,1.16,0.00,1.17,14804
"startup",0.44,0.00,0.44,6596,0.42,0.01,0.43,6596,0.44,0.00,0.44,6596
"stdlib",5.28,0.04,5.33,30128,5.36,0.02,5.38,30128,5.36,0.01,5.38,30128
"thread",17.88,0.03,17.92,35236,17.86,0.03,17.90,35236,17.78,0.01,17.81,35236
"vector",5.20,0.04,5.24,36980,5.18,0.03,5.21,36980,5.21,0.05,5.27,36980
