"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",29.25,0.32,29.63,130292,29.60,0.25,29.90,130308,29.27,0.28,29.60,130308
"assert",1.36,0.02,1.38,31344,1.38,0.02,1.41,31344,1.37,0.01,1.39,31344
"common",2.59,0.04,2.63,49024,2.59,0.06,2.66,49024,2.62,0.04,2.66,49024
"coroutine",29.22,0.20,29.47,131004,29.23,0.22,29.50,131004,29.07,0.22,29.34,131000
"debug",4.93,0.08,5.02,54008,4.80,0.06,4.86,54008,4.78,0.06,4.85,54008
"fstream",6.44,0.04,6.50,60708,6.77,0.06,6.84,60708,6.70,0.05,6.77,60708
"interpose",17.32,0.22,17.57,82876,17.20,0.25,17.48,82876,17.38,0.28,17.70,82876
"iterator",0.48,0.01,0.50,25568,0.48,0.02,0.51,25568,0.49,0.00,0.50,25568
"limits",2.22,0.01,2.24,26964,2.26,0.01,2.29,26964,2.25,0.01,2.27,26964
"maybe",0.86,0.03,0.90,30232,0.89,0.00,0.90,30232,0.90,0.01,0.91,30232
"monitor",34.14,0.36,34.57,129820,34.22,0.42,34.70,129820,33.95,0.32,34.33,129820
"mutex",31.09,0.20,31.34,135708,31.00,0.24,31.29,135612,30.96,0.20,31.22,135684
"pair",0.92,0.02,0.96,30692,0.94,0.02,0.97,30692,0.94,0.01,0.96,30692
"preemption",55.50,0.24,55.84,165440,55.31,0.20,55.60,165440,55.29,0.33,55.69,165440
"rational",13.67,0.15,13.83,149640,13.53,0.20,13.76,149640,13.61,0.15,13.79,149640
"result",1.27,0.03,1.31,35800,1.31,0.01,1.33,35800,1.31,0.01,1.33,35800
"startup",0.65,0.01,0.66,26604,0.61,0.00,0.62,26604,0.62,0.01,0.64,26604
"stdlib",9.32,0.10,9.44,67784,9.42,0.09,9.53,67784,9.76,0.11,9.89,67784
"thread",29.40,0.17,29.62,130932,29.44,0.19,29.68,130932,29.64,0.17,29.86,130932
"vector",6.95,0.07,7.03,69240,6.88,0.07,6.97,69240,6.92,0.06,6.99,69240
