"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",14.16,0.03,14.21,35612,14.13,0.03,14.17,35612,14.06,0.03,14.11,35612
"assert",0.65,0.00,0.65,6480,0.64,0.00,0.64,6480,0.66,0.00,0.66,6480
"common",1.07,0.00,1.07,6536,1.12,0.00,1.12,6536,1.11,0.00,1.12,6536
"coroutine",14.36,0.03,14.41,35356,14.26,0.04,14.30,35356,14.24,0.02,14.27,35356
"debug",1.99,0.00,1.99,6900,1.99,0.00,1.99,6900,1.96,0.00,1.97,6900
"fstream",2.67,0.00,2.68,7140,2.62,0.00,2.62,7140,2.58,0.01,2.59,7140
"interpose",6.91,0.00,6.91,7228,6.96,0.00,6.97,7228,6.86,0.00,6.87,7228
"iterator",0.24,0.00,0.25,6392,0.25,0.00,0.25,6392,0.24,0.00,0.25,6392
"limits",1.06,0.00,1.06,6880,1.00,0.00,1.00,6880,1.06,0.00,1.06,6880
"maybe",0.54,0.00,0.55,9560,0.55,0.00,0.55,9560,0.58,0.00,0.58,9560
"monitor",16.70,0.04,16.75,38176,16.67,0.04,16.72,38176,16.88,0.01,16.91,38176
"mutex",15.62,0.04,15.67,38932,15.68,0.02,15.71,38932,15.65,0.03,15.69,38932
"pair",0.64,0.00,0.64,10512,0.63,0.00,0.64,10512,0.64,0.00,0.64,10512
"preemption",25.87,0.02,25.91,38964,25.85,0.04,25.90,38964,26.14,0.05,26.20,38964
"rational",10.37,0.10,10.49,86548,10.39,0.09,10.49,86548,10.44,0.10,10.56,86548
"result",1.01,0.00,1.02,14704,0.96,0.01,0.98,14704,1.03,0.00,1.04,14704
"startup",0.32,0.00,0.32,6548,0.31,0.00,0.31,6548,0.31,0.00,0.31,6548
"stdlib",3.99,0.01,4.01,33728,4.05,0.04,4.09,33728,4.01,0.03,4.05,33728
"thread",14.37,0.03,14.41,35144,14.84,0.03,14.88,35144,14.44,0.04,14.49,35144
"vector",4.32,0.04,4.37,38764,4.34,0.02,4.37,38764,4.30,0.02,4.33,38764
