"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"assert",2.35,0.21,2.57,313580,2.31,0.18,2.50,313560,2.37,0.19,2.56,313580
"common",4.26,0.40,4.67,484752,4.14,0.45,4.61,484752,4.13,0.46,4.60,484752
"debug",4.59,0.56,5.17,629012,4.59,0.60,5.20,629012,4.52,0.68,5.21,629008
"fstream",5.15,0.67,5.83,704304,5.08,0.79,5.88,704304,5.39,1.20,6.60,704304
"heap",11.16,2.26,13.44,937308,11.18,1.77,12.97,937308,10.90,1.09,12.02,937308
"interpose",8.50,1.13,9.65,1117548,8.54,1.11,9.67,1117548,8.44,1.21,9.67,1117548
"iterator",1.34,0.10,1.45,177956,1.33,0.11,1.45,177956,1.34,0.11,1.45,177956
"maybe",1.84,0.11,1.95,226040,1.81,0.14,1.96,226040,1.83,0.13,1.97,226040
"pair",2.07,0.23,2.31,245136,2.09,0.19,2.28,245136,2.12,0.17,2.30,245136
"result",2.17,0.19,2.37,256392,2.15,0.20,2.36,256392,2.14,0.22,2.37,256392
"startup",1.42,0.07,1.49,185348,1.36,0.12,1.49,185348,1.42,0.07,1.49,185348
"stdlib",7.57,0.76,8.35,687968,7.63,0.79,8.43,687968,7.63,0.72,8.36,687968
"vector",6.30,0.94,7.25,573068,6.18,0.60,6.80,573068,6.13,0.62,6.77,573068
