"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",16.34,0.03,16.38,33228,16.36,0.02,16.39,33228,16.34,0.03,16.38,33228
"assert",0.74,0.00,0.74,5756,0.72,0.00,0.72,5756,0.71,0.00,0.71,5756
"common",1.26,0.00,1.27,5812,1.24,0.00,1.25,5812,1.30,0.00,1.30,5812
"coroutine",16.46,0.02,16.49,33028,16.49,0.02,16.52,33028,16.44,0.04,16.50,33028
"debug",2.38,0.00,2.38,6164,2.38,0.00,2.39,6164,2.38,0.00,2.39,6164
"fstream",3.22,0.00,3.22,6364,3.37,0.01,3.39,6364,3.22,0.00,3.22,6364
"interpose",8.58,0.00,8.58,6524,8.53,0.00,8.53,6524,8.53,0.00,8.54,6524
"iterator",0.26,0.00,0.26,5668,0.24,0.00,0.24,5668,0.25,0.00,0.25,5668
"limits",1.19,0.00,1.19,6092,1.18,0.00,1.19,6092,1.17,0.00,1.17,6092
"maybe",0.56,0.00,0.57,7004,0.58,0.00,0.58,7004,0.58,0.00,0.58,7004
"monitor",19.06,0.02,19.10,32772,19.08,0.01,19.10,32772,19.21,0.02,19.25,32772
"mutex",17.89,0.02,17.92,33820,17.82,0.03,17.86,33820,17.86,0.02,17.90,33820
"pair",0.60,0.00,0.60,7780,0.58,0.00,0.59,7780,0.61,0.00,0.61,7780
"preemption",30.76,0.05,30.83,36820,30.75,0.05,30.82,36820,30.74,0.02,30.78,36820
"rational",10.39,0.06,10.46,67848,10.40,0.05,10.46,67848,10.38,0.10,10.48,67848
"result",0.98,0.00,0.99,9816,1.00,0.00,1.00,9816,0.96,0.00,0.97,9816
"startup",0.31,0.00,0.31,5844,0.31,0.00,0.31,5844,0.32,0.00,0.33,5844
"stdlib",4.86,0.04,4.90,29464,4.88,0.02,4.91,29464,4.81,0.03,4.84,29484
"thread",16.62,0.04,16.67,32820,16.69,0.00,16.70,32820,16.92,0.02,16.95,32820
"vector",7.37,0.14,7.52,149592,7.34,0.13,7.48,149592,7.40,0.10,7.52,149592
