"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",28.05,0.16,28.26,87916,27.96,0.13,28.13,87916,28.09,0.11,28.25,87916
"assert",1.26,0.01,1.27,21328,1.24,0.01,1.26,21328,1.26,0.01,1.27,21328
"common",2.32,0.04,2.37,33332,2.33,0.03,2.37,33332,2.33,0.04,2.38,33332
"coroutine",28.18,0.10,28.33,88616,28.13,0.12,28.30,88616,27.94,0.13,28.12,88616
"debug",4.54,0.07,4.63,31124,4.45,0.08,4.54,31124,4.60,0.04,4.66,31124
"fstream",6.35,0.04,6.40,33888,6.15,0.03,6.20,33888,6.10,0.06,6.17,33888
"interpose",17.26,0.20,17.50,43432,17.04,0.18,17.25,43432,16.62,0.19,16.84,43528
"iterator",0.40,0.01,0.41,18780,0.41,0.01,0.43,18780,0.41,0.00,0.42,18780
"limits",2.12,0.02,2.15,19684,2.08,0.02,2.11,19684,2.07,0.04,2.12,19668
"maybe",0.79,0.01,0.81,20896,0.77,0.01,0.79,20896,0.76,0.00,0.77,20896
"monitor",32.25,0.30,32.61,87656,32.21,0.26,32.52,87656,32.11,0.28,32.44,87656
"mutex",29.57,0.14,29.76,92052,29.70,0.10,29.86,92052,29.66,0.12,29.82,92052
"pair",0.81,0.01,0.82,21220,0.84,0.01,0.85,21220,0.83,0.00,0.84,21220
"preemption",53.23,0.19,53.50,111372,53.38,0.23,53.70,111372,53.61,0.21,53.90,111372
"rational",12.10,0.14,12.26,147068,12.16,0.30,12.47,147068,12.30,0.14,12.45,147068
"result",1.16,0.00,1.17,23492,1.16,0.01,1.17,23492,1.17,0.00,1.18,23492
"startup",0.54,0.00,0.55,19208,0.53,0.02,0.55,19208,0.53,0.01,0.54,19208
"stdlib",9.02,0.06,9.10,50280,9.32,0.07,9.41,50280,9.11,0.08,9.21,50280
"thread",28.38,0.13,28.55,88128,28.43,0.12,28.59,88344,28.43,0.13,28.61,88276
"vector",6.84,0.07,6.93,102688,6.87,0.08,6.96,102688,6.95,0.10,7.06,102688
