"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"assert",0.08,0.00,0.09,9676,0.08,0.00,0.09,9676,0.08,0.00,0.09,9676
"common",0.10,0.00,0.10,9544,0.10,0.00,0.10,9544,0.10,0.00,0.10,9544
"debug",0.15,0.00,0.16,10728,0.15,0.00,0.15,10728,0.15,0.00,0.16,10728
"fstream",0.19,0.00,0.19,10964,0.19,0.00,0.20,10964,0.20,0.00,0.20,10964
"heap",1.15,0.04,1.20,91488,1.15,0.04,1.20,91488,1.12,0.06,1.19,91488
"interpose",0.40,0.00,0.41,11380,0.42,0.00,0.42,11380,0.40,0.00,0.41,11380
"iterator",0.07,0.00,0.07,9664,0.06,0.01,0.07,9664,0.07,0.00,0.07,9664
"limits",0.47,0.02,0.49,16248,0.47,0.00,0.47,16248,0.46,0.01,0.47,16248
"maybe",0.08,0.00,0.09,9688,0.07,0.01,0.08,9684,0.08,0.00,0.08,9688
"pair",0.07,0.00,0.08,9692,0.07,0.00,0.08,9692,0.07,0.00,0.08,9692
"result",0.10,0.00,0.11,9740,0.10,0.00,0.10,9740,0.10,0.00,0.10,9740
"startup",0.07,0.00,0.07,9904,0.07,0.00,0.08,9904,0.08,0.00,0.08,9904
"stdlib",1.19,0.06,1.26,91084,1.15,0.06,1.21,91084,1.15,0.05,1.21,91084
"vector",0.70,0.07,0.78,86228,0.73,0.05,0.78,86228,0.71,0.06,0.78,86228
