"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"assert",0.10,0.00,0.12,14724,0.11,0.00,0.12,14724,0.11,0.00,0.12,14724
"common",0.14,0.00,0.14,14808,0.11,0.02,0.14,14808,0.12,0.01,0.14,14808
"debug",0.21,0.00,0.21,16752,0.19,0.02,0.21,16752,0.20,0.00,0.21,16752
"fstream",0.26,0.00,0.27,16260,0.27,0.00,0.27,16260,0.26,0.00,0.27,16260
"heap",1.60,0.16,1.77,251096,1.64,0.13,1.78,251096,1.63,0.12,1.76,251096
"interpose",0.57,0.01,0.59,17448,0.57,0.01,0.58,17452,0.58,0.00,0.58,17452
"iterator",0.08,0.01,0.09,15064,0.09,0.00,0.09,15064,0.09,0.00,0.09,15064
"maybe",0.10,0.00,0.11,15128,0.10,0.00,0.11,15128,0.10,0.00,0.11,15128
"pair",0.09,0.00,0.10,15128,0.10,0.00,0.10,15128,0.08,0.01,0.10,15128
"result",0.11,0.01,0.12,15172,0.12,0.00,0.12,15172,0.11,0.00,0.12,15172
"startup",0.08,0.00,0.09,15504,0.08,0.00,0.09,15504,0.09,0.00,0.10,15504
"stdlib",1.68,0.12,1.81,250592,1.68,0.12,1.81,250592,1.64,0.16,1.81,250592
"vector",1.01,0.15,1.17,239544,1.00,0.16,1.17,239544,1.02,0.14,1.17,239544
