"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",13.52,0.02,13.54,35384,13.48,0.06,13.55,35384,13.45,0.04,13.49,35384
"assert",0.56,0.00,0.56,5952,0.57,0.00,0.57,5952,0.60,0.00,0.60,5952
"common",0.94,0.00,0.95,6008,0.99,0.00,1.00,6008,0.94,0.00,0.94,6008
"coroutine",14.32,0.05,14.38,35132,14.52,0.02,14.55,35132,13.60,0.04,13.66,35132
"debug",1.78,0.00,1.78,6388,1.80,0.00,1.80,6388,1.78,0.00,1.79,6388
"fstream",2.43,0.00,2.44,6604,2.44,0.00,2.45,6464,2.63,0.00,2.63,6604
"interpose",6.46,0.00,6.47,7084,6.74,0.00,6.74,7084,6.44,0.00,6.44,7084
"iterator",0.20,0.00,0.20,5864,0.20,0.00,0.20,5864,0.19,0.00,0.19,5864
"limits",0.97,0.00,0.98,6352,0.92,0.00,0.92,6352,0.99,0.00,1.00,6352
"maybe",0.50,0.00,0.50,7216,0.46,0.00,0.47,7216,0.50,0.00,0.50,7216
"monitor",15.77,0.07,15.85,34876,16.27,0.05,16.33,34876,15.74,0.03,15.79,34876
"mutex",15.14,0.04,15.19,35268,14.93,0.02,14.96,35264,15.05,0.03,15.09,35264
"pair",0.55,0.00,0.56,7940,0.56,0.00,0.56,7940,0.55,0.00,0.55,7940
"preemption",24.85,0.03,24.90,38012,25.83,0.04,25.89,38012,25.61,0.04,25.66,38012
"rational",8.56,0.06,8.63,75856,8.52,0.06,8.60,75856,8.51,0.08,8.61,75856
"result",0.87,0.00,0.88,10020,0.87,0.00,0.88,10020,0.85,0.00,0.86,10020
"startup",0.24,0.00,0.25,6020,0.25,0.00,0.25,6020,0.25,0.00,0.25,6020
"stdlib",3.88,0.02,3.90,33592,3.70,0.03,3.73,33592,3.89,0.03,3.93,33592
"thread",13.82,0.04,13.88,34920,13.80,0.03,13.84,34920,14.30,0.05,14.36,34920
"vector",4.34,0.03,4.38,42620,4.32,0.03,4.36,42620,4.38,0.03,4.42,42620
