"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",1.10,0.00,1.10,6380,1.08,0.00,1.08,6380,1.10,0.00,1.10,6380
"assert",0.06,0.00,0.06,4584,0.06,0.00,0.06,4584,0.06,0.00,0.07,4584
"common",0.10,0.00,0.10,4668,0.10,0.00,0.10,4668,0.10,0.00,0.10,4668
"coroutine",1.11,0.00,1.11,6756,1.13,0.00,1.14,6756,1.11,0.00,1.11,6756
"debug",0.20,0.00,0.20,5164,0.20,0.00,0.20,5164,0.20,0.00,0.20,5164
"fstream",0.27,0.00,0.27,5256,0.27,0.00,0.28,5256,0.26,0.00,0.27,5256
"heap",0.70,0.00,0.71,6996,0.71,0.00,0.72,6996,0.71,0.00,0.72,6996
"interpose",0.78,0.00,0.78,5856,0.77,0.00,0.78,5856,0.77,0.00,0.77,5856
"iostream",0.10,0.00,0.11,5480,0.10,0.00,0.10,5480,0.10,0.00,0.10,5480
"iterator",0.02,0.00,0.02,4460,0.02,0.00,0.02,4460,0.02,0.00,0.02,4460
"kernel",2.60,0.00,2.60,7588,2.58,0.00,2.58,7588,2.58,0.00,2.59,7588
"limits",0.12,0.00,0.12,4884,0.12,0.00,0.12,4884,0.11,0.00,0.12,4884
"maybe",0.02,0.00,0.03,4480,0.04,0.00,0.04,4480,0.03,0.00,0.04,4480
"monitor",1.31,0.00,1.31,7236,1.32,0.00,1.33,7236,1.33,0.00,1.33,7236
"mutex",1.18,0.00,1.18,7004,1.18,0.00,1.18,7004,1.18,0.00,1.18,7004
"pair",0.03,0.00,0.03,4492,0.03,0.00,0.03,4492,0.03,0.00,0.03,4492
"preemption",2.22,0.00,2.22,7332,2.21,0.00,2.21,7332,2.22,0.00,2.23,7332
"rational",1.46,0.02,1.48,8152,1.45,0.02,1.48,8148,1.44,0.01,1.46,8152
"result",0.05,0.00,0.05,4592,0.05,0.00,0.05,4592,0.05,0.00,0.05,4592
"startup",0.02,0.00,0.03,4616,0.02,0.00,0.03,4616,0.02,0.00,0.02,4616
"stdlib",0.43,0.00,0.44,5776,0.43,0.00,0.43,5776,0.43,0.00,0.43,5776
"thread",1.14,0.00,1.15,6472,1.14,0.00,1.15,6472,1.16,0.00,1.16,6472
"time",0.27,0.00,0.27,6896,0.27,0.00,0.27,6896,0.29,0.00,0.29,6896
"vector",2.15,0.02,2.18,55344,2.16,0.03,2.19,55312,2.18,0.02,2.21,55316
