"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",2.27,0.04,2.32,11660,2.20,0.05,2.26,11660,2.21,0.06,2.27,11660
"assert",0.12,0.00,0.12,6024,0.12,0.00,0.13,6024,0.12,0.00,0.12,6024
"common",0.18,0.00,0.18,6424,0.18,0.00,0.18,6424,0.17,0.01,0.18,6424
"coroutine",2.24,0.05,2.30,12700,2.22,0.07,2.30,12700,2.24,0.06,2.31,12700
"debug",0.39,0.00,0.39,7208,0.39,0.00,0.39,7208,0.41,0.00,0.41,7208
"fstream",0.55,0.00,0.55,7616,0.54,0.01,0.55,7616,0.55,0.00,0.55,7616
"heap",1.39,0.01,1.41,13484,1.40,0.01,1.41,13484,1.39,0.01,1.41,13484
"interpose",1.62,0.07,1.69,9316,1.59,0.07,1.66,9316,1.59,0.06,1.66,9316
"iostream",0.16,0.00,0.17,6616,0.17,0.00,0.17,6616,0.17,0.00,0.17,6616
"iterator",0.03,0.00,0.04,5588,0.04,0.00,0.04,5588,0.04,0.00,0.04,5588
"kernel",5.36,0.26,5.63,14828,5.54,0.24,5.78,14828,5.37,0.26,5.63,14828
"limits",0.22,0.00,0.22,5856,0.20,0.00,0.21,5856,0.22,0.00,0.22,5856
"maybe",0.05,0.00,0.05,5572,0.05,0.00,0.05,5572,0.05,0.00,0.05,5572
"monitor",2.63,0.09,2.73,12312,2.60,0.12,2.73,12312,2.62,0.09,2.71,12312
"mutex",2.31,0.04,2.35,13024,2.33,0.02,2.36,13024,2.35,0.03,2.39,13024
"pair",0.04,0.00,0.05,5572,0.04,0.00,0.04,5572,0.04,0.00,0.05,5572
"preemption",4.70,0.12,4.83,13044,4.65,0.16,4.82,13044,4.68,0.16,4.85,13044
"rational",1.05,0.01,1.07,13724,1.05,0.01,1.07,13724,1.05,0.02,1.08,13724
"result",0.05,0.00,0.06,5636,0.06,0.00,0.06,5636,0.06,0.00,0.06,5636
"startup",0.04,0.00,0.04,5692,0.04,0.00,0.05,5692,0.04,0.00,0.05,5692
"stdlib",0.83,0.00,0.84,8160,0.80,0.02,0.83,8160,0.81,0.01,0.83,8160
"thread",2.30,0.06,2.36,12484,2.29,0.06,2.36,12484,2.33,0.06,2.39,12484
"time",0.47,0.00,0.48,12320,0.48,0.00,0.48,12320,0.48,0.00,0.48,12320
"vector",0.59,0.03,0.63,52144,0.57,0.03,0.60,52144,0.59,0.02,0.61,52144
