"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",0.80,0.00,0.80,6788,0.80,0.00,0.80,6788,0.78,0.00,0.78,6788
"assert",0.04,0.00,0.05,4724,0.04,0.00,0.05,4724,0.04,0.00,0.05,4724
"common",0.07,0.00,0.07,4836,0.07,0.00,0.07,4836,0.07,0.00,0.07,4836
"coroutine",0.81,0.00,0.81,6960,0.80,0.00,0.80,6960,0.81,0.00,0.81,6960
"debug",0.14,0.00,0.15,5384,0.14,0.00,0.15,5384,0.14,0.00,0.15,5384
"fstream",0.20,0.00,0.20,5672,0.19,0.00,0.19,5672,0.19,0.00,0.19,5672
"heap",0.50,0.00,0.51,6556,0.50,0.00,0.50,6556,0.50,0.00,0.51,6556
"interpose",0.56,0.00,0.57,6348,0.56,0.00,0.57,6348,0.57,0.00,0.58,6348
"iostream",0.06,0.00,0.07,5596,0.07,0.00,0.07,5596,0.07,0.00,0.07,5596
"iterator",0.01,0.00,0.01,4492,0.01,0.00,0.01,4492,0.01,0.00,0.01,4492
"kernel",1.89,0.00,1.90,8232,1.87,0.00,1.87,8232,1.88,0.00,1.89,8232
"limits",0.08,0.00,0.08,4972,0.09,0.00,0.09,4972,0.08,0.00,0.09,4972
"maybe",0.02,0.00,0.02,4564,0.02,0.00,0.02,4564,0.02,0.00,0.02,4564
"monitor",0.95,0.00,0.95,7852,0.95,0.00,0.95,7852,0.96,0.00,0.96,7852
"mutex",0.86,0.00,0.86,7268,0.86,0.00,0.86,7268,0.85,0.00,0.85,7264
"pair",0.02,0.00,0.02,4520,0.02,0.00,0.02,4520,0.02,0.00,0.02,4520
"preemption",1.60,0.00,1.60,7836,1.59,0.00,1.59,7836,1.60,0.00,1.60,7836
"rational",0.90,0.00,0.90,8596,0.87,0.00,0.87,8596,0.90,0.00,0.90,8596
"result",0.03,0.00,0.03,4724,0.03,0.00,0.03,4724,0.03,0.00,0.03,4724
"startup",0.02,0.00,0.02,4648,0.02,0.00,0.02,4648,0.02,0.00,0.02,4648
"stdlib",0.30,0.00,0.30,6020,0.29,0.00,0.29,6016,0.30,0.00,0.30,6020
"thread",0.82,0.00,0.82,6684,0.83,0.00,0.83,6684,0.82,0.00,0.82,6684
"time",0.20,0.00,0.21,8884,0.20,0.00,0.21,8884,0.20,0.00,0.20,8884
"vector",0.31,0.01,0.32,18420,0.30,0.01,0.31,18420,0.32,0.00,0.32,18420
