"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"assert",0.09,0.00,0.09,9680,0.07,0.01,0.09,9680,0.09,0.00,0.09,9680
"common",0.10,0.00,0.10,9548,0.10,0.00,0.10,9548,0.10,0.00,0.10,9548
"debug",0.15,0.01,0.16,10732,0.15,0.00,0.15,10732,0.15,0.00,0.15,10732
"fstream",0.19,0.00,0.20,10968,0.20,0.00,0.20,10968,0.19,0.00,0.20,10968
"heap",1.16,0.04,1.21,91492,1.17,0.04,1.22,91492,1.12,0.08,1.21,91492
"interpose",0.41,0.00,0.41,11384,0.40,0.01,0.41,11384,0.41,0.00,0.41,11384
"iterator",0.07,0.00,0.07,9668,0.06,0.00,0.07,9668,0.06,0.00,0.07,9668
"limits",0.48,0.00,0.48,16252,0.47,0.01,0.48,16252,0.48,0.00,0.48,16252
"maybe",0.08,0.00,0.09,9692,0.08,0.00,0.09,9692,0.08,0.00,0.09,9692
"pair",0.08,0.00,0.08,9696,0.07,0.00,0.08,9696,0.08,0.00,0.08,9696
"result",0.10,0.00,0.10,9744,0.10,0.00,0.10,9744,0.10,0.00,0.10,9744
"startup",0.07,0.00,0.08,9908,0.07,0.00,0.07,9908,0.07,0.00,0.07,9908
"stdlib",1.15,0.07,1.22,91088,1.18,0.04,1.23,91088,1.18,0.04,1.22,91088
"vector",0.74,0.04,0.79,86232,0.73,0.05,0.78,86232,0.76,0.05,0.81,86232
