"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"assert",0.11,0.00,0.12,14732,0.10,0.01,0.12,14732,0.11,0.00,0.12,14732
"common",0.12,0.01,0.14,14816,0.13,0.00,0.14,14816,0.13,0.00,0.14,14816
"debug",0.20,0.00,0.21,16760,0.21,0.00,0.21,16760,0.20,0.01,0.21,16760
"fstream",0.26,0.01,0.27,16268,0.26,0.00,0.27,16268,0.26,0.00,0.27,16268
"heap",1.61,0.14,1.76,251104,1.72,0.12,1.84,251104,1.62,0.14,1.77,251104
"interpose",0.56,0.01,0.58,17460,0.56,0.01,0.58,17460,0.58,0.00,0.59,17460
"iterator",0.08,0.01,0.09,15072,0.09,0.00,0.09,15072,0.08,0.00,0.09,15072
"maybe",0.10,0.00,0.11,15136,0.10,0.00,0.11,15136,0.11,0.00,0.11,15136
"pair",0.09,0.00,0.10,15136,0.08,0.01,0.10,15136,0.10,0.00,0.10,15136
"result",0.12,0.00,0.12,15180,0.12,0.00,0.13,15180,0.12,0.00,0.13,15180
"startup",0.09,0.00,0.09,15512,0.08,0.00,0.09,15512,0.09,0.00,0.10,15512
"stdlib",1.61,0.18,1.80,250600,1.64,0.16,1.80,250600,1.64,0.14,1.79,250600
"vector",1.02,0.12,1.15,239552,0.98,0.16,1.15,239552,1.02,0.13,1.15,239552
