"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",16.78,0.02,16.82,33272,16.99,0.03,17.03,33272,16.75,0.04,16.80,33272
"assert",0.75,0.00,0.75,5800,0.74,0.00,0.74,5800,0.76,0.00,0.76,5800
"common",1.29,0.00,1.29,5856,1.30,0.00,1.30,5856,1.29,0.00,1.30,5856
"coroutine",16.79,0.02,16.83,33072,16.76,0.04,16.81,33072,16.78,0.02,16.81,33072
"debug",2.56,0.00,2.56,6208,2.56,0.00,2.57,6208,2.48,0.00,2.48,6208
"fstream",3.35,0.00,3.35,6408,3.42,0.00,3.43,6408,3.45,0.00,3.45,6408
"interpose",9.14,0.00,9.15,6572,8.82,0.00,8.82,6572,9.24,0.00,9.25,6572
"iterator",0.24,0.00,0.25,5712,0.25,0.00,0.26,5712,0.25,0.00,0.25,5712
"limits",1.21,0.00,1.22,6136,1.26,0.00,1.27,6136,1.21,0.00,1.22,6136
"maybe",0.60,0.00,0.60,7028,0.58,0.00,0.58,7028,0.59,0.00,0.59,7028
"monitor",19.48,0.03,19.52,32820,19.78,0.03,19.82,32820,19.61,0.02,19.65,32820
"mutex",18.40,0.05,18.46,33864,18.33,0.01,18.35,33864,18.32,0.02,18.35,33864
"pair",0.61,0.00,0.61,7824,0.60,0.00,0.60,7824,0.61,0.00,0.61,7824
"preemption",31.40,0.03,31.45,37040,31.18,0.04,31.24,36872,31.48,0.04,31.54,37040
"rational",9.78,0.05,9.85,67888,9.70,0.08,9.80,67888,9.68,0.08,9.77,67888
"result",1.01,0.00,1.01,9860,0.97,0.00,0.97,9860,0.95,0.00,0.96,9860
"startup",0.32,0.00,0.32,5888,0.32,0.00,0.32,5888,0.33,0.00,0.33,5888
"stdlib",4.91,0.02,4.94,29508,5.01,0.03,5.05,29508,4.93,0.03,4.97,29508
"thread",16.86,0.05,16.92,32864,16.97,0.04,17.02,32864,16.86,0.02,16.90,32864
"vector",7.60,0.14,7.75,149684,7.40,0.10,7.51,149684,7.42,0.14,7.57,149684
