"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"alarm",27.90,0.14,28.08,87912,28.24,0.12,28.39,87928,27.97,0.12,28.12,87912
"assert",1.22,0.01,1.24,21328,1.25,0.02,1.27,21328,1.27,0.01,1.28,21328
"common",2.31,0.03,2.35,33332,2.30,0.03,2.34,33332,2.30,0.04,2.35,33332
"coroutine",28.08,0.10,28.21,88616,28.08,0.14,28.24,88616,28.17,0.11,28.31,88616
"debug",4.46,0.05,4.52,31124,4.62,0.10,4.73,31124,4.46,0.08,4.55,31124
"fstream",6.22,0.06,6.30,33888,6.09,0.03,6.13,33888,6.08,0.02,6.12,33888
"interpose",16.60,0.22,16.85,43304,16.45,0.21,16.69,43304,16.62,0.19,16.84,43300
"iterator",0.39,0.02,0.41,18780,0.39,0.01,0.41,18776,0.41,0.01,0.42,18780
"limits",2.05,0.02,2.08,19684,2.06,0.02,2.09,19684,2.09,0.00,2.10,19684
"maybe",0.74,0.02,0.76,20896,0.76,0.02,0.78,20896,0.76,0.01,0.77,20896
"monitor",32.46,0.20,32.68,87652,32.09,0.31,32.44,87652,32.73,0.24,33.02,87652
"mutex",29.81,0.12,29.98,92052,29.74,0.08,29.88,92052,29.83,0.09,29.98,92052
"pair",0.83,0.00,0.83,21220,0.82,0.00,0.83,21220,0.81,0.01,0.83,21220
"preemption",53.10,0.20,53.38,111372,53.52,0.20,53.80,111372,53.12,0.26,53.45,111372
"rational",11.77,0.15,11.93,147068,11.71,0.14,11.87,147068,11.67,0.15,11.84,147068
"result",1.11,0.00,1.12,23492,1.12,0.00,1.13,23492,1.16,0.00,1.17,23492
"startup",0.51,0.01,0.52,19208,0.54,0.00,0.54,19208,0.52,0.01,0.53,19208
"stdlib",8.87,0.08,8.96,50280,8.95,0.12,9.09,50280,8.80,0.08,8.89,50280
"thread",28.11,0.12,28.26,88136,28.23,0.15,28.43,88372,28.13,0.14,28.32,88132
"vector",6.80,0.10,6.92,102684,6.84,0.06,6.91,102684,6.76,0.08,6.86,102684
